date,Con (pre-2024 election),Con (pre-2024 election) (low),Con (pre-2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (pre-2024 election),Lab (pre-2024 election) (low),Lab (pre-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (pre-2024 election),LDem (pre-2024 election) (low),LDem (pre-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (pre-2024 election),Ukip (pre-2024 election) (low),Ukip (pre-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (pre-2024 election),Grn (pre-2024 election) (low),Grn (pre-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (pre-2024 election),Reform (pre-2024 election) (low),Reform (pre-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2019-08-11,23.33,22.69,23.78,,,,16.99,15.0,18.67,,,,13.14,12.2,14.0,,,,1.93,1.0,2.78,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,24.0,19.0,13.0,3.0,0.0,,,0.0
2019-08-12,23.32,22.68,23.76,,,,16.97,15.0,18.65,,,,13.12,12.16,14.0,,,,1.92,1.0,2.76,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-13,23.3,22.67,23.75,,,,16.95,15.0,18.62,,,,13.1,12.12,14.0,,,,1.9,1.0,2.75,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-14,23.28,22.66,23.74,,,,16.93,15.0,18.6,,,,13.08,12.09,14.0,,,,1.89,1.0,2.74,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-15,23.27,22.64,23.72,,,,16.91,15.0,18.58,,,,13.06,12.05,14.0,,,,1.87,1.0,2.72,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-16,23.25,22.0,24.0,,,,16.89,15.0,19.0,,,,13.05,11.0,14.0,,,,1.86,1.0,3.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-17,23.24,22.0,24.0,,,,16.88,15.0,19.0,,,,13.03,11.0,14.0,,,,1.85,1.0,2.96,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-18,23.23,22.0,24.0,,,,16.86,15.0,19.0,,,,13.01,11.0,14.0,,,,1.83,1.0,2.96,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-19,23.21,22.01,24.0,,,,16.84,15.01,19.0,,,,12.99,10.99,13.99,,,,1.82,1.0,2.95,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-20,23.2,22.02,24.0,,,,16.83,15.01,19.0,,,,12.97,10.98,13.98,,,,1.81,1.0,2.94,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-21,23.19,22.03,24.01,,,,16.82,15.02,19.0,,,,12.95,10.96,13.97,,,,1.8,1.0,2.93,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-22,23.18,22.05,24.01,,,,16.81,15.04,19.0,,,,12.93,10.94,13.95,,,,1.79,1.0,2.91,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-23,23.17,22.07,24.01,,,,16.8,15.06,19.0,,,,12.91,10.91,13.93,,,,1.78,1.0,2.88,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-24,23.16,22.1,24.02,,,,16.79,15.08,19.0,,,,12.88,10.88,13.9,,,,1.76,1.0,2.86,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-25,23.16,22.13,24.03,,,,16.78,15.11,19.0,,,,12.85,10.84,13.86,,,,1.75,1.0,2.82,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-26,23.15,22.16,24.04,,,,16.78,15.14,19.0,,,,12.83,10.8,13.82,,,,1.74,1.0,2.78,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-27,23.15,22.19,24.05,,,,16.78,15.18,19.0,,,,12.8,10.76,13.78,,,,1.73,1.0,2.73,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
2019-08-28,23.15,22.23,24.06,,,,16.77,15.22,19.0,,,,12.77,10.71,13.73,,,,1.72,1.0,2.69,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
