date,Con (pre-2024 election),Con (pre-2024 election) (low),Con (pre-2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (pre-2024 election),Lab (pre-2024 election) (low),Lab (pre-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (pre-2024 election),LDem (pre-2024 election) (low),LDem (pre-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (pre-2024 election),Ukip (pre-2024 election) (low),Ukip (pre-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2019-08-11,53.74,53.16,54.0,,,,8.86,7.0,10.56,,,,10.87,8.77,12.24,,,,1.47,1.0,2.0,,,,,,,,,,,,,,,,54.0,11.0,13.0,2.0,,,,
2019-08-12,53.72,53.12,54.0,,,,8.83,7.0,10.53,,,,10.81,8.72,12.19,,,,1.46,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-13,53.7,53.08,54.0,,,,8.8,7.0,10.5,,,,10.75,8.66,12.17,,,,1.45,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-14,53.68,53.06,54.0,,,,8.77,7.0,10.46,,,,10.7,8.61,12.15,,,,1.44,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-15,53.67,53.03,54.0,,,,8.74,7.0,10.44,,,,10.64,8.56,12.12,,,,1.44,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-16,53.65,52.0,54.0,,,,8.72,7.0,11.0,,,,10.59,6.0,13.0,,,,1.43,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-17,53.63,52.0,54.0,,,,8.69,7.0,11.0,,,,10.54,6.0,12.87,,,,1.42,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-18,53.62,52.0,54.0,,,,8.67,7.0,11.0,,,,10.49,6.0,12.85,,,,1.42,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-19,53.6,52.01,54.0,,,,8.65,7.0,11.0,,,,10.44,6.0,12.84,,,,1.41,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-20,53.59,52.01,54.0,,,,8.62,7.0,11.0,,,,10.39,6.01,12.81,,,,1.4,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2019-08-21,53.57,52.02,54.0,,,,8.61,7.0,11.0,,,,10.34,6.01,12.77,,,,1.4,1.0,1.99,,,,,,,,,,,,,,,,,,,,,,,
2019-08-22,53.56,52.03,54.0,,,,8.59,7.0,11.0,,,,10.29,6.02,12.72,,,,1.39,1.0,1.99,,,,,,,,,,,,,,,,,,,,,,,
2019-08-23,53.55,52.05,54.0,,,,8.57,7.0,11.0,,,,10.24,6.02,12.65,,,,1.39,1.0,1.99,,,,,,,,,,,,,,,,,,,,,,,
2019-08-24,53.53,52.06,54.0,,,,8.56,7.0,11.0,,,,10.19,6.03,12.56,,,,1.38,1.0,1.98,,,,,,,,,,,,,,,,,,,,,,,
2019-08-25,53.52,52.08,54.0,,,,8.55,7.0,11.0,,,,10.14,6.04,12.46,,,,1.38,1.0,1.97,,,,,,,,,,,,,,,,,,,,,,,
2019-08-26,53.51,52.11,54.0,,,,8.53,7.0,11.0,,,,10.09,6.05,12.35,,,,1.37,1.0,1.96,,,,,,,,,,,,,,,,,,,,,,,
2019-08-27,53.5,52.13,54.0,,,,8.53,7.0,11.0,,,,10.04,6.06,12.22,,,,1.36,1.0,1.95,,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,53.49,52.15,54.0,,,,8.52,7.0,11.0,,,,9.99,6.08,12.08,,,,1.36,1.0,1.94,,,,,,,,,,,,,,,,,,,,,,,
2019-08-29,53.48,52.18,54.0,,,,8.51,7.0,11.0,,,,9.94,6.09,11.97,,,,1.35,1.0,1.93,,,,,,,,,,,,,,,,,,,,,,,
2019-08-30,53.47,52.21,54.0,,,,8.51,7.0,11.0,,,,9.89,6.1,11.97,,,,1.35,1.0,1.92,,,,,,,,,,,,,,,,,,,,,,,
2019-08-31,53.46,52.23,54.0,,,,8.5,7.0,11.0,,,,9.84,6.12,11.95,,,,1.34,1.0,1.91,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,53.46,52.26,54.0,,,,8.5,7.0,11.0,,,,9.79,6.13,11.82,,,,1.33,1.0,1.89,,,,,,,,,,,,,,,,,,,,,,,
2019-09-02,53.45,52.29,54.0,,,,8.5,7.0,11.0,,,,9.74,6.15,11.75,,,,1.33,1.0,1.88,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,53.44,52.32,54.0,,,,8.5,7.0,11.0,,,,9.69,6.16,11.73,,,,1.32,1.0,1.86,,,,,,,,,,,,,,,,,,,,,,,
2019-09-04,53.44,52.35,54.0,,,,8.5,7.0,11.0,,,,9.64,6.17,11.72,,,,1.32,1.0,1.84,,,,,,,,,,,,,,,,,,,,,,,
2019-09-05,53.43,52.38,54.0,,,,8.5,7.0,11.0,,,,9.6,6.19,11.7,,,,1.31,1.0,1.83,,,,,,,,,,,,,,,,,,,,,,,
2019-09-06,53.43,52.4,54.0,,,,8.5,7.0,11.0,,,,9.55,6.2,11.69,,,,1.3,1.0,1.81,,,,,,,,,,,,,,,,,,,,,,,
2019-09-07,53.42,52.43,54.0,,,,8.51,7.0,11.0,,,,9.5,6.22,11.68,,,,1.3,1.0,1.79,,,,,,,,,,,,,,,,,,,,,,,
2019-09-08,53.42,52.46,54.0,,,,8.51,7.0,11.0,,,,9.45,6.23,11.6,,,,1.29,1.0,1.77,,,,,,,,,,,,,,,,,,,,,,,
2019-09-09,53.41,52.48,54.0,,,,8.51,7.0,11.0,,,,9.4,6.24,11.5,,,,1.28,1.0,1.75,,,,,,,,,,,,,,,,54.0,7.0,10.0,1.0,,,,
2019-09-10,53.41,52.51,54.0,,,,8.51,7.0,11.0,,,,9.35,6.25,11.41,,,,1.28,1.0,1.74,,,,,,,,,,,,,,,,,,,,,,,
2019-09-11,53.41,52.53,54.0,,,,8.52,7.0,11.0,,,,9.31,6.27,11.37,,,,1.27,1.0,1.73,,,,,,,,,,,,,,,,,,,,,,,
2019-09-12,53.41,52.37,54.0,,,,8.52,7.0,11.0,,,,9.26,6.19,11.33,,,,1.26,1.0,1.73,,,,,,,,,,,,,,,,,,,,,,,
2019-09-13,53.4,52.4,54.0,,,,8.52,7.0,11.0,,,,9.21,6.11,11.29,,,,1.26,1.0,1.72,,,,,,,,,,,,,,,,,,,,,,,
2019-09-14,53.4,52.42,54.0,,,,8.52,7.0,11.0,,,,9.16,6.12,11.26,,,,1.25,1.0,1.72,,,,,,,,,,,,,,,,,,,,,,,
2019-09-15,53.4,52.43,54.01,,,,8.53,7.0,11.0,,,,9.12,6.12,11.22,,,,1.24,1.0,1.71,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,53.4,52.45,54.02,,,,8.53,7.0,10.99,,,,9.07,6.12,11.18,,,,1.24,1.0,1.7,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,53.4,52.47,54.03,,,,8.53,7.01,10.98,,,,9.02,6.13,11.1,,,,1.23,1.0,1.7,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,53.41,52.5,54.05,,,,8.53,7.01,10.97,,,,8.97,6.13,11.01,,,,1.22,1.0,1.69,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,53.41,52.52,54.08,,,,8.54,7.01,10.96,,,,8.91,6.14,10.96,,,,1.22,1.0,1.68,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,53.42,52.55,54.11,,,,8.54,7.02,10.94,,,,8.86,6.14,10.92,,,,1.21,1.0,1.67,,,,,,,,,,,,,,,,,,,,,,,
2019-09-21,53.43,52.57,54.15,,,,8.54,7.03,10.92,,,,8.81,6.14,10.86,,,,1.2,1.0,1.66,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,53.44,52.58,54.2,,,,8.54,7.04,10.9,,,,8.75,6.14,10.74,,,,1.2,1.0,1.66,,,,,,,,,,,,,,,,,,,,,,,
