date,Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),Reform (poll)
2025-05-02,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.06,10.02,,,,5.33,0.39,10.87,20.67,14.1,27.83,13.0,12.0,7.0,,5.0,13.0
2025-05-03,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.06,10.02,,,,5.33,0.39,10.87,20.67,14.1,27.83,,,,,,
2025-05-04,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.06,10.02,,,,5.33,0.39,10.87,20.67,14.1,27.83,,,,,,
2025-05-05,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.06,10.02,,,,5.33,0.39,10.87,20.67,14.1,27.83,,,,,,
2025-05-06,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.06,10.02,,,,5.33,0.39,10.87,20.67,14.1,27.83,,,,,,
2025-05-07,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.07,10.02,,,,5.33,0.39,10.87,20.67,14.11,27.83,,,,,,
2025-05-08,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.07,10.02,,,,5.33,0.39,10.87,20.67,14.11,27.83,15.5,14.0,6.0,,5.5,24.5
2025-05-09,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.07,10.02,,,,5.33,0.4,10.87,20.67,14.11,27.83,,,,,,
2025-05-10,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.07,10.02,,,,5.33,0.4,10.87,20.67,14.11,27.83,,,,,,
2025-05-11,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.07,10.02,,,,5.33,0.4,10.87,20.67,14.11,27.83,,,,,,
2025-05-12,14.67,10.9,19.3,13.33,8.1,18.72,6.33,2.07,10.02,,,,5.33,0.4,10.87,20.67,14.11,27.83,,,,,,
2025-05-13,14.67,10.89,19.3,13.33,8.09,18.72,6.33,2.07,10.02,,,,5.33,0.4,10.87,20.67,14.11,27.83,,,,,,
