subgroup,Positive latest,Positive 2m ago,Positive 6m ago,Negative latest,Negative 2m ago,Negative 6m ago
65+,13.42,13.2,10.8,70.69,71.0,76.3
50-64,16.6,16.5,16.9,65.28,65.2,64.9
35-49,19.25,19.1,18.0,56.26,56.7,59.5
18-34,26.33,26.2,26.6,46.61,46.6,44.9
C2DE voters,,,,,,
ABC1 voters,,,,,,
London,25.6,25.6,26.1,51.05,51.1,43.9
Southern England,17.09,17.0,16.0,62.7,62.9,59.4
Northern England,19.46,19.4,18.1,59.08,59.3,58.1
Midlands,18.23,18.1,17.6,60.04,60.1,56.9
UK/GB,20.59,20.5,19.3,60.78,61.1,61.4
Scotland,18.9,18.7,17.6,57.53,57.8,56.8
Wales,16.74,17.0,17.4,61.41,61.1,55.1
