date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (under-50s),Positive (under-50s) (low),Positive (under-50s) (high),Negative (under-50s),Negative (under-50s) (low),Negative (under-50s) (high),Positive (over-50s),Positive (over-50s) (low),Positive (over-50s) (high),Negative (over-50s),Negative (over-50s) (low),Negative (over-50s) (high),Positive (poll),Negative (poll),Positive (under-50s) (poll),Negative (under-50s) (poll),Positive (over-50s) (poll),Negative (over-50s) (poll)
2024-07-05,39.9,38.26,41.75,28.79,23.01,35.77,43.08,41.39,44.98,23.56,19.24,29.68,36.9,35.26,38.75,33.6,29.16,40.32,40.0,33.0,43.0,26.0,37.0,36.0
2024-07-06,39.78,38.11,41.62,29.26,23.79,36.09,43.0,41.36,44.82,23.98,19.54,30.08,36.78,35.11,38.62,34.07,29.71,40.71,,,,,,
2024-07-07,39.66,37.97,41.37,29.72,24.41,36.35,42.92,41.29,44.74,24.38,19.99,30.52,36.66,34.97,38.37,34.53,30.15,41.17,,,,,,
2024-07-08,39.53,37.83,41.31,30.16,25.02,36.67,42.83,41.2,44.67,24.78,20.5,30.69,36.53,34.82,38.3,34.98,30.51,41.45,45.0,25.0,48.0,18.0,42.0,28.0
2024-07-09,39.4,37.71,41.24,30.6,25.57,36.92,42.75,41.1,44.6,25.16,20.77,31.08,36.39,34.69,38.23,35.43,30.91,41.92,,,,,,
2024-07-10,39.27,37.52,41.11,31.02,26.08,37.15,42.66,41.0,44.5,25.53,21.07,31.4,36.26,34.51,38.1,35.86,31.36,42.34,,,,,,
2024-07-11,39.13,37.36,40.99,31.43,26.59,37.52,42.57,40.91,44.41,25.88,21.51,31.75,36.12,34.33,37.97,36.27,31.85,42.64,38.0,15.0,41.0,14.0,35.0,23.0
2024-07-12,39.0,37.21,40.81,31.82,27.06,37.74,42.48,40.81,44.35,26.22,22.12,32.09,35.98,34.18,37.81,36.67,32.2,42.82,,,,,,
2024-07-13,38.86,37.11,40.71,32.2,27.35,37.95,42.39,40.69,44.31,26.54,22.46,32.25,35.84,34.08,37.71,37.06,32.54,43.03,,,,,,
2024-07-14,38.73,36.98,40.63,32.55,27.58,38.16,42.31,40.55,44.19,26.84,22.79,32.27,35.7,33.9,37.6,37.42,32.84,43.16,,,,,,
2024-07-15,38.61,36.84,40.52,32.88,27.99,38.41,42.22,40.43,44.07,27.13,23.04,32.51,35.57,33.77,37.49,37.77,33.13,43.42,,,,,,
2024-07-16,38.49,36.71,40.41,33.2,28.28,38.7,42.14,40.39,44.02,27.4,23.25,32.69,35.44,33.66,37.41,38.09,33.44,43.66,,,,,,
2024-07-17,38.36,36.58,40.32,33.5,28.53,38.99,42.06,40.32,43.97,27.66,23.46,32.71,35.31,33.52,37.32,38.41,33.88,43.87,38.0,20.0,41.0,15.0,35.0,25.0
2024-07-18,38.24,36.44,40.22,33.79,28.78,39.36,41.98,40.25,43.9,27.9,23.63,32.72,35.18,33.38,37.22,38.71,34.1,44.07,,,,,,
2024-07-19,38.12,36.32,40.1,34.06,29.03,39.55,41.89,40.19,43.85,28.14,23.84,32.73,35.05,33.25,37.1,39.0,34.29,44.31,,,,,,
2024-07-20,38.0,36.19,39.98,34.33,29.27,39.72,41.8,40.13,43.71,28.37,24.1,32.83,34.92,33.12,36.97,39.28,34.5,44.51,,,,,,
2024-07-21,37.88,36.07,39.82,34.59,29.5,39.96,41.72,40.05,43.66,28.6,24.3,33.14,34.79,32.92,36.81,39.55,34.83,44.81,,,,,,
2024-07-22,37.76,35.94,39.68,34.86,29.72,40.23,41.62,39.95,43.61,28.83,24.55,33.43,34.66,32.82,36.68,39.83,35.07,45.11,,,,,,
2024-07-23,37.63,35.82,39.54,35.13,29.91,40.38,41.53,39.88,43.44,29.06,24.8,33.65,34.53,32.7,36.53,40.11,35.38,45.4,,,,,,
2024-07-24,37.5,35.74,39.45,35.4,30.14,40.57,41.42,39.76,43.36,29.31,25.1,33.82,34.39,32.56,36.34,40.4,35.63,45.61,,,,,,
2024-07-25,37.37,35.65,39.34,35.68,30.5,40.88,41.32,39.66,43.27,29.56,25.32,34.0,34.25,32.47,36.14,40.69,35.95,45.84,42.0,37.0,45.0,32.0,39.0,42.0
2024-07-26,37.23,35.52,39.14,35.98,30.81,41.17,41.21,39.52,43.11,29.83,25.54,34.06,34.11,32.29,35.99,41.0,36.27,46.18,,,,,,
2024-07-27,37.09,35.37,39.02,36.29,31.18,41.47,41.09,39.44,43.03,30.12,25.86,34.23,33.96,32.14,35.89,41.33,36.63,46.44,,,,,,
2024-07-28,36.94,35.21,38.86,36.61,31.59,41.61,40.96,39.33,42.87,30.42,26.22,34.45,33.8,31.92,35.79,41.67,37.02,46.69,,,,,,
2024-07-29,36.78,35.07,38.57,36.95,31.94,41.84,40.83,39.17,42.71,30.74,26.62,34.67,33.64,31.74,35.51,42.04,37.47,46.94,,,,,,
2024-07-30,36.63,34.9,38.4,37.31,32.38,42.1,40.69,38.97,42.51,31.07,27.05,34.93,33.47,31.55,35.38,42.42,37.95,47.2,40.0,49.0,43.0,44.0,37.0,54.0
2024-07-31,36.47,34.69,38.26,37.68,32.92,42.33,40.55,38.88,42.36,31.42,27.46,35.19,33.3,31.29,35.22,42.82,38.34,47.44,35.0,32.0,38.0,27.0,32.0,37.0
