day,Thatcher net,Thatcher net (low),Thatcher net (high),Major net,Major net (low),Major net (high),Blair net,Blair net (low),Blair net (high),Brown net,Brown net (low),Brown net (high),Cameron net,Cameron net (low),Cameron net (high),May net,May net (low),May net (high),Johnson net,Johnson net (low),Johnson net (high),Truss net,Truss net (low),Truss net (high),Sunak net,Sunak net (low),Sunak net (high),Starmer net,Starmer net (low),Starmer net (high)
0,,,,,,,61.84,59.59,64.02,,,,37.53,34.1,40.14,,,,-4.83,-10.52,0.21,,,,-3.73,-7.67,-0.37,-0.55,-6.09,4.7
1,,,,,,,61.82,59.51,64.75,,,,37.42,34.01,40.0,,,,-4.89,-10.52,0.2,-32.26,-41.32,-23.07,-3.8,-7.74,-0.4,-0.75,-6.31,4.47
2,,,,,,,61.81,59.18,64.7,,,,37.31,33.9,39.89,,,,-4.95,-10.54,0.19,-32.35,-41.42,-23.14,-3.88,-7.8,-0.45,-0.95,-6.56,4.23
3,,,,25.86,22.71,31.23,61.79,59.18,64.68,,,,37.2,33.8,39.8,,,,-5.01,-10.65,0.1,-32.44,-41.5,-23.21,-3.95,-7.86,-0.52,-1.15,-6.75,4.0
4,,,,26.01,22.86,31.39,61.77,59.17,64.64,,,,37.08,33.69,39.71,,,,-5.07,-10.76,-0.02,-32.53,-41.56,-23.33,-4.03,-7.9,-0.59,-1.35,-6.96,3.75
5,,,,26.16,22.89,31.52,61.75,59.16,64.59,,,,36.97,33.56,39.61,,,,-5.13,-10.82,-0.14,-32.61,-41.58,-23.43,-4.11,-7.95,-0.66,-1.54,-7.09,3.52
6,,,,26.31,22.91,31.66,61.72,59.15,64.51,,,,36.85,33.41,39.51,,,,-5.19,-10.83,-0.26,-32.68,-41.61,-23.54,-4.2,-8.0,-0.72,-1.73,-7.28,3.29
7,,,,26.46,23.02,31.8,61.69,59.13,64.41,,,,36.73,33.33,39.38,,,,-5.25,-10.82,-0.37,-32.75,-41.63,-23.64,-4.28,-8.05,-0.8,-1.93,-7.51,3.05
8,,,,26.61,23.12,31.93,61.65,59.11,64.28,,,,36.6,33.26,39.2,,,,-5.31,-10.82,-0.48,-32.82,-41.65,-23.72,-4.37,-8.11,-0.91,-2.12,-7.69,2.77
9,,,,26.76,23.18,32.06,61.61,59.09,64.12,,,,36.48,33.16,39.01,,,,-5.36,-10.81,-0.59,-32.88,-41.67,-23.81,-4.47,-8.16,-1.01,-2.32,-7.78,2.52
10,,,,26.91,23.31,32.18,61.56,59.07,63.97,,,,36.35,33.05,38.87,,,,-5.41,-10.79,-0.64,-32.94,-41.69,-23.89,-4.56,-8.22,-1.11,-2.51,-7.85,2.32
11,,,,27.05,23.37,32.31,61.51,58.98,63.89,,,,36.22,32.93,38.79,,,,-5.46,-10.8,-0.68,-33.0,-41.7,-23.97,-4.66,-8.28,-1.23,-2.71,-7.99,2.12
12,,,,27.2,23.4,32.49,61.45,58.82,63.76,,,,36.1,32.81,38.72,,,,-5.51,-10.78,-0.74,-33.05,-41.71,-24.04,-4.76,-8.36,-1.34,-2.9,-8.15,1.9
13,,,,27.34,23.42,32.7,61.39,58.7,63.66,,,,35.97,32.68,38.66,,,,-5.55,-10.75,-0.86,-33.1,-41.73,-24.1,-4.87,-8.45,-1.49,-3.1,-8.31,1.71
14,,,,27.48,23.5,32.83,61.32,58.56,63.65,,,,35.84,32.55,38.61,,,,-5.59,-10.71,-0.96,-33.15,-41.74,-24.12,-4.98,-8.54,-1.56,-3.3,-8.43,1.47
15,,,,27.62,23.63,32.9,61.25,58.41,63.64,25.74,18.25,34.22,35.7,32.44,38.47,,,,-5.63,-10.67,-1.07,-33.19,-41.74,-24.14,-5.09,-8.64,-1.67,-3.49,-8.62,1.19
