date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),Con (poll),Lab (poll)
2024-07-05,27.27,24.88,29.49,48.5,42.14,54.49,31.0,42.0
2024-07-06,27.27,24.91,29.48,48.45,42.13,54.51,21.0,69.0
2024-07-07,27.28,24.93,29.48,48.4,42.14,54.39,,
2024-07-08,27.28,24.94,29.46,48.36,42.16,54.37,,
2024-07-09,27.28,24.96,29.44,48.31,42.17,54.32,,
2024-07-10,27.28,24.99,29.43,48.26,42.2,54.29,,
2024-07-11,27.28,25.03,29.41,48.21,42.18,54.27,,
2024-07-12,27.29,25.05,29.39,48.16,42.18,54.25,,
2024-07-13,27.29,25.07,29.37,48.12,42.14,54.23,,
2024-07-14,27.3,25.1,29.36,48.07,42.09,54.18,,
2024-07-15,27.3,25.12,29.35,48.02,42.03,54.11,,
2024-07-16,27.31,25.14,29.33,47.96,41.97,54.03,,
2024-07-17,27.31,25.16,29.32,47.91,41.91,53.89,,
2024-07-18,27.32,25.18,29.31,47.86,41.86,53.73,,
2024-07-19,27.33,25.21,29.3,47.8,41.8,53.57,,
2024-07-20,27.33,25.23,29.29,47.75,41.75,53.5,,
2024-07-21,27.34,25.25,29.28,47.69,41.69,53.34,,
2024-07-22,27.35,25.28,29.27,47.63,41.65,53.12,,
2024-07-23,27.36,25.33,29.27,47.57,41.6,52.94,,
2024-07-24,27.37,25.37,29.26,47.51,41.56,52.86,,
2024-07-25,27.38,25.42,29.26,47.45,41.52,52.81,34.0,46.0
2024-07-26,27.39,25.47,29.25,47.39,41.5,52.75,,
2024-07-27,27.4,25.52,29.24,47.33,41.5,52.69,,
2024-07-28,27.41,25.57,29.23,47.27,41.49,52.63,,
2024-07-29,27.42,25.61,29.23,47.2,41.48,52.56,,
2024-07-30,27.43,25.66,29.22,47.14,41.47,52.5,28.0,59.0
2024-07-31,27.44,25.71,29.22,47.08,41.44,52.43,26.0,37.0
2024-08-01,27.45,25.75,29.22,47.01,41.39,52.36,,
