date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),Con (poll),Lab (poll)
2016-10-21,22.91,21.47,24.56,45.7,45.0,46.71,21.0,47.0
2016-10-22,22.92,21.48,24.57,45.7,45.0,46.71,,
2016-10-23,22.93,21.48,24.57,45.69,45.0,46.71,,
2016-10-24,22.94,21.48,24.57,45.69,45.0,46.71,,
2016-10-25,22.95,21.48,24.58,45.69,45.0,46.71,,
2016-10-26,22.95,21.48,24.58,45.68,45.0,46.71,,
2016-10-27,22.96,21.48,24.58,45.68,45.0,46.7,,
2016-10-28,22.97,21.48,24.58,45.68,45.0,46.7,,
2016-10-29,22.97,21.48,24.59,45.68,45.0,46.7,,
2016-10-30,22.98,21.48,24.59,45.67,45.0,46.7,,
2016-10-31,22.98,21.48,24.59,45.67,45.0,46.69,,
2016-11-01,22.99,21.48,24.59,45.67,45.0,46.69,,
2016-11-02,22.99,21.48,24.59,45.67,45.0,46.69,,
2016-11-03,23.0,21.48,24.59,45.67,45.0,46.69,,
2016-11-04,23.0,21.48,24.59,45.66,45.0,46.69,23.0,45.0
2016-11-05,23.0,21.48,24.6,45.66,45.0,46.68,,
2016-11-06,23.01,21.48,24.6,45.66,45.0,46.68,,
2016-11-07,23.01,21.48,24.6,45.66,45.0,46.68,,
2016-11-08,23.02,21.48,24.6,45.65,45.0,46.68,,
2016-11-09,23.02,21.49,24.6,45.65,45.0,46.68,,
2016-11-10,23.03,21.49,24.6,45.65,45.0,46.67,,
2016-11-11,23.03,21.49,24.6,45.64,45.0,46.67,,
2016-11-12,23.04,21.49,24.6,45.64,45.0,46.67,,
2016-11-13,23.05,21.5,24.6,45.64,45.0,46.67,,
2016-11-14,23.05,21.5,24.6,45.63,45.0,46.66,,
2016-11-15,23.06,21.5,24.6,45.63,45.0,46.66,,
2016-11-16,23.07,21.51,24.6,45.62,45.0,46.66,,
2016-11-17,23.08,21.51,24.6,45.62,45.0,46.65,,
2016-11-18,23.09,21.51,24.61,45.61,45.0,46.65,25.0,45.0
2016-11-19,23.1,21.52,24.61,45.61,45.0,46.64,,
2016-11-20,23.11,21.52,24.61,45.6,45.0,46.64,,
2016-11-21,23.12,21.53,24.61,45.6,45.0,46.63,,
2016-11-22,23.13,21.53,24.61,45.59,45.0,46.63,,
2016-11-23,23.14,21.54,24.61,45.58,45.0,46.62,,
2016-11-24,23.15,21.55,24.61,45.57,45.0,46.62,,
2016-11-25,23.17,21.55,24.62,45.57,45.0,46.61,,
2016-11-26,23.18,21.56,24.62,45.56,45.0,46.6,,
2016-11-27,23.2,21.57,24.62,45.55,45.0,46.59,,
2016-11-28,23.22,21.57,24.62,45.54,45.0,46.58,,
2016-11-29,23.23,21.58,24.63,45.53,45.0,46.57,,
2016-11-30,23.25,21.59,24.63,45.52,45.0,46.56,,
2016-12-01,23.27,21.6,24.63,45.51,45.0,46.55,,
2016-12-02,23.29,21.61,24.64,45.5,45.0,46.54,,
2016-12-03,23.31,21.62,24.64,45.49,45.0,46.53,,
2016-12-04,23.33,21.63,24.64,45.48,45.0,46.52,,
2016-12-05,23.35,21.64,24.65,45.47,45.0,46.51,,
2016-12-06,23.38,21.65,24.65,45.46,45.0,46.5,,
2016-12-07,23.4,21.66,24.65,45.45,45.0,46.48,,
2016-12-08,23.42,21.66,24.66,45.43,45.0,46.46,,
2016-12-09,23.45,21.68,24.66,45.42,45.0,46.44,,
2016-12-10,23.48,21.69,24.67,45.41,45.0,46.42,,
2016-12-11,23.51,21.71,24.67,45.39,45.0,46.4,,
2016-12-12,23.54,21.73,24.68,45.38,45.0,46.38,,
2016-12-13,23.57,21.74,24.68,45.36,45.0,46.35,,
2016-12-14,23.6,21.76,24.69,45.35,45.0,46.33,,
2016-12-15,23.63,21.79,24.69,45.33,45.0,46.31,,
2016-12-16,23.66,21.81,24.7,45.32,45.0,46.28,,
2016-12-17,23.7,21.83,24.7,45.3,45.0,46.24,,
2016-12-18,23.74,21.86,24.71,45.28,45.0,46.2,,
2016-12-19,23.77,21.88,24.71,45.27,45.0,46.16,,
2016-12-20,23.81,21.91,24.72,45.25,45.0,46.13,,
2016-12-21,23.85,21.94,24.73,45.23,45.0,46.09,,
2016-12-22,23.89,21.98,24.73,45.21,45.0,46.03,,
2016-12-23,23.93,22.01,24.74,45.2,45.0,45.99,,
2016-12-24,23.98,22.05,24.75,45.18,45.0,45.95,,
2016-12-25,24.02,22.09,24.76,45.16,45.0,45.91,,
2016-12-26,24.07,22.14,24.78,45.14,45.0,45.86,,
2016-12-27,24.11,22.2,24.81,45.13,45.0,45.8,,
2016-12-28,24.16,22.25,24.84,45.11,45.0,45.75,,
2016-12-29,24.2,22.31,24.86,45.09,45.0,45.69,,
2016-12-30,24.25,22.38,24.89,45.08,45.0,45.62,,
2016-12-31,24.29,22.44,24.91,45.06,45.0,45.56,,
2017-01-01,24.34,22.52,24.93,45.05,45.0,45.48,,
2017-01-02,24.38,22.6,24.95,45.04,45.0,45.4,,
2017-01-03,24.42,22.66,24.97,45.02,45.0,45.34,,
2017-01-04,24.46,22.74,24.98,45.02,45.0,45.26,,
2017-01-05,24.5,22.8,24.99,45.01,45.0,45.2,,
2017-01-06,24.54,22.84,24.99,45.0,45.0,45.16,,
2017-01-07,24.57,22.88,25.0,45.0,45.0,45.12,,
2017-01-08,24.61,22.9,25.0,45.0,45.0,45.1,,
2017-01-09,24.64,23.0,25.0,45.0,45.0,45.0,,
2017-01-10,24.67,23.0,25.0,45.0,45.0,45.0,,
2017-01-11,24.7,23.0,25.0,45.0,45.0,45.0,,
2017-01-12,24.74,23.0,25.0,45.0,45.0,45.0,,
2017-01-13,24.77,23.0,25.0,45.0,45.0,45.0,,
2017-01-14,24.81,23.0,25.0,45.0,45.0,45.0,,
2017-01-15,24.85,23.0,25.0,45.0,45.0,45.0,,
2017-01-16,24.88,23.0,25.0,45.0,45.0,45.0,,
2017-01-17,24.91,23.0,25.0,45.0,45.0,45.0,,
2017-01-18,24.94,23.0,25.0,45.0,45.0,45.0,,
2017-01-19,24.96,23.0,25.0,45.0,45.0,45.0,,
2017-01-20,24.98,23.0,25.0,45.0,45.0,45.0,,
2017-01-21,24.99,23.0,25.0,45.0,45.0,45.0,,
2017-01-22,25.0,23.0,25.0,45.0,45.0,45.0,,
2017-01-23,25.0,25.0,25.0,45.0,45.0,45.0,,
2019-08-07,32.0,32.0,32.0,39.0,39.0,39.0,,
2019-08-08,32.0,29.0,32.0,39.0,39.0,51.0,32.0,39.0
2019-08-09,32.0,29.0,32.0,39.0,39.0,51.0,,
2019-08-10,32.0,29.0,32.0,39.02,39.0,51.0,,
2019-08-11,31.99,29.0,32.0,39.03,39.0,51.0,,
2019-08-12,31.98,29.0,32.0,39.07,39.0,51.0,,
2019-08-13,31.97,29.0,32.0,39.11,39.0,51.0,,
2019-08-14,31.96,29.0,32.0,39.16,39.0,51.0,,
2019-08-15,31.94,29.0,32.0,39.23,39.0,51.0,,
2019-08-16,31.92,29.0,32.0,39.32,39.0,51.0,,
2019-08-17,31.9,29.0,32.0,39.42,39.0,51.0,,
2019-08-18,31.87,29.0,32.0,39.53,39.0,51.0,,
2019-08-19,31.84,29.0,32.0,39.66,39.0,51.0,,
2019-08-20,31.8,22.35,32.0,39.8,39.0,51.0,,
2019-08-21,31.76,22.34,32.0,39.95,39.0,50.99,,
2019-08-22,31.71,22.33,31.99,40.11,39.01,50.97,,
2019-08-23,31.66,22.31,31.98,40.29,39.01,50.94,,
2019-08-24,31.59,22.29,31.96,40.47,39.03,50.9,,
2019-08-25,31.52,22.27,31.94,40.67,39.04,50.86,,
2019-08-26,31.43,22.25,31.91,40.88,39.07,50.81,,
2019-08-27,31.34,22.23,31.86,41.09,39.1,50.76,,
2019-08-28,31.23,22.21,31.84,41.31,39.13,50.7,,
2019-08-29,31.12,22.2,31.81,41.54,39.17,50.65,,
2019-08-30,31.0,22.19,31.76,41.77,39.22,50.59,,
2019-08-31,30.88,22.17,31.7,41.99,39.28,50.54,,
2019-09-01,30.75,22.16,31.63,42.22,39.34,50.49,,
2019-09-02,30.61,22.0,31.99,42.45,39.01,51.0,,
2019-09-03,30.48,22.0,31.97,42.67,39.02,51.0,,
2019-09-04,30.33,22.01,31.96,42.89,39.03,50.99,,
2019-09-05,30.19,22.03,31.95,43.1,39.04,50.97,,
2019-09-06,30.04,22.06,31.92,43.31,39.06,50.94,,
2019-09-07,29.89,22.09,31.87,43.52,39.08,50.89,,
2019-09-08,29.73,22.13,31.81,43.71,39.11,50.83,,
2019-09-09,29.57,22.18,31.72,43.9,39.15,50.76,,
2019-09-10,29.41,22.23,31.61,44.08,39.19,50.67,,
2019-09-11,29.25,22.28,31.48,44.26,39.24,50.58,,
2019-09-12,29.09,22.33,31.32,44.42,39.31,50.47,,
2019-09-13,28.92,22.38,31.14,44.58,39.38,50.36,,
2019-09-14,28.76,22.35,31.39,44.73,39.31,50.24,,
2019-09-15,28.6,22.39,31.28,44.87,39.37,50.12,,
2019-09-16,28.44,22.34,31.13,45.0,39.55,50.09,,
2019-09-17,28.29,22.38,30.96,45.13,39.65,49.98,,
2019-09-18,28.13,22.42,30.81,45.26,39.78,49.95,,
2019-09-19,27.98,22.48,30.65,45.38,39.93,49.93,,
2019-09-20,27.83,22.56,30.47,45.5,40.11,49.9,,
2019-09-21,27.69,22.66,30.31,45.62,40.36,50.14,,
2019-09-22,27.54,22.81,30.26,45.74,40.58,50.06,,
2019-09-23,27.4,22.94,30.2,45.86,40.82,49.98,,
2019-09-24,27.26,23.01,30.1,45.97,41.16,49.93,,
2019-09-25,27.12,23.08,29.98,46.09,41.75,49.95,,
2019-09-26,26.99,23.16,29.79,46.2,41.9,49.97,,
2019-09-27,26.85,23.22,29.61,46.32,42.05,50.01,,
2019-09-28,26.71,23.28,29.26,46.44,42.5,50.04,,
2019-09-29,26.58,23.31,29.14,46.55,42.79,50.05,,
2019-09-30,26.45,23.33,28.94,46.67,43.16,49.9,,
2019-10-01,26.32,23.34,28.79,46.78,43.38,49.82,,
2019-10-02,26.2,23.41,28.74,46.89,43.61,49.74,,
2019-10-03,26.08,23.35,28.64,47.0,43.85,49.91,,
2019-10-04,25.96,23.23,28.49,47.11,44.08,50.02,,
2019-10-05,25.85,23.1,28.38,47.21,44.28,50.17,,
2019-10-06,25.74,23.05,28.28,47.31,44.48,50.3,,
2019-10-07,25.64,23.0,28.07,47.4,44.55,50.38,,
2019-10-08,25.54,23.02,27.94,47.49,44.63,50.36,,
2019-10-09,25.45,23.05,27.8,47.58,44.88,50.48,,
2019-10-10,25.36,23.05,27.65,47.66,45.15,50.63,,
2019-10-11,25.28,23.06,27.57,47.73,45.2,50.7,,
