date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (under-50s),Positive (under-50s) (low),Positive (under-50s) (high),Negative (under-50s),Negative (under-50s) (low),Negative (under-50s) (high),Positive (over-50s),Positive (over-50s) (low),Positive (over-50s) (high),Negative (over-50s),Negative (over-50s) (low),Negative (over-50s) (high),Positive (poll),Negative (poll),Positive (under-50s) (poll),Negative (under-50s) (poll),Positive (over-50s) (poll),Negative (over-50s) (poll)
2020-02-20,24.3,23.44,25.0,24.3,21.54,27.0,,,,,,,,,,,,,23.0,27.0,,,,
2020-02-21,24.31,23.0,25.0,24.3,19.0,27.0,,,,,,,,,,,,,,,,,,
2020-02-22,24.32,23.0,25.0,24.31,19.0,27.0,,,,,,,,,,,,,,,,,,
2020-02-23,24.32,23.01,25.0,24.31,19.01,27.0,,,,,,,,,,,,,,,,,,
2020-02-24,24.32,23.02,25.0,24.3,19.03,27.0,,,,,,,,,,,,,,,,,,
2020-02-25,24.33,23.04,25.0,24.3,19.07,27.0,,,,,,,,,,,,,,,,,,
2020-02-26,24.33,23.07,25.0,24.28,19.12,27.0,,,,,,,,,,,,,,,,,,
2020-02-27,24.33,23.1,25.0,24.27,19.18,27.0,,,,,,,,,,,,,,,,,,
2020-02-28,24.33,23.06,25.0,24.24,19.23,27.0,,,,,,,,,,,,,,,,,,
2020-02-29,24.34,23.09,25.0,24.21,19.31,27.0,,,,,,,,,,,,,25.0,19.0,,,,
2020-03-01,24.35,23.15,25.01,24.16,19.37,26.97,,,,,,,,,,,,,,,,,,
2020-03-02,24.37,23.28,25.06,24.09,19.4,26.91,,,,,,,,,,,,,,,,,,
2020-03-03,24.4,23.39,25.18,23.99,19.35,26.8,,,,,,,,,,,,,,,,,,
2020-03-04,24.45,23.53,25.32,23.86,19.14,26.64,,,,,,,,,,,,,25.0,27.0,,,,
2020-03-05,24.52,23.61,25.5,23.71,19.01,26.57,,,,,,,,,,,,,,,,,,
2020-03-06,24.61,23.67,25.74,23.53,19.02,26.49,,,,,,,,,,,,,,,,,,
2020-03-07,24.71,23.74,26.14,23.32,19.01,26.42,,,,,,,,,,,,,,,,,,
2020-03-08,24.82,23.84,26.67,23.1,18.54,26.29,,,,,,,,,,,,,,,,,,
2020-03-09,24.95,23.89,27.01,22.86,18.19,26.16,,,,,,,,,,,,,,,,,,
2020-03-10,25.09,23.94,27.35,22.6,17.47,26.04,,,,,,,,,,,,,,,,,,
2020-03-11,25.24,24.02,27.68,22.33,16.95,25.88,,,,,,,,,,,,,,,,,,
2020-03-12,25.41,24.04,27.98,22.06,16.75,25.7,,,,,,,,,,,,,,,,,,
2020-03-13,25.59,24.2,28.27,21.78,16.58,25.61,,,,,,,,,,,,,,,,,,
2020-03-14,25.78,24.25,28.57,21.51,16.43,25.4,,,,,,,,,,,,,,,,,,
2020-03-15,25.98,24.35,28.85,21.24,16.31,25.08,,,,,,,,,,,,,,,,,,
2020-03-16,26.2,24.46,29.16,20.99,16.24,24.89,,,,,,,,,,,,,,,,,,
2020-03-17,26.44,24.52,29.46,20.76,16.22,24.72,,,,,,,,,,,,,,,,,,
2020-03-18,26.71,24.67,29.76,20.56,16.11,24.47,,,,,,,,,,,,,,,,,,
2020-03-19,26.98,24.81,30.13,20.38,15.8,24.27,,,,,,,,,,,,,,,,,,
2020-03-20,27.27,25.13,30.51,20.23,15.61,24.11,,,,,,,,,,,,,,,,,,
2020-03-21,27.57,25.42,30.77,20.1,15.71,23.99,,,,,,,,,,,,,,,,,,
2020-03-22,27.86,25.6,30.92,20.0,15.62,23.87,,,,,,,,,,,,,,,,,,
2020-03-23,28.16,25.74,31.05,19.91,15.42,23.76,,,,,,,,,,,,,,,,,,
2020-03-24,28.46,25.92,31.44,19.85,15.34,23.71,,,,,,,,,,,,,,,,,,
2020-03-25,28.74,26.06,31.6,19.8,15.38,23.67,,,,,,,,,,,,,,,,,,
2020-03-26,29.02,26.24,31.95,19.76,15.49,23.53,,,,,,,,,,,,,,,,,,
2020-03-27,29.28,26.49,32.07,19.74,15.52,23.4,,,,,,,,,,,,,,,,,,
2020-03-28,29.53,26.77,32.28,19.72,15.41,23.31,,,,,,,,,,,,,,,,,,
2020-03-29,29.75,26.99,32.62,19.72,15.59,23.18,,,,,,,,,,,,,,,,,,
2020-03-30,29.95,27.28,32.69,19.72,15.6,23.1,,,,,,,,,,,,,,,,,,
2020-03-31,30.1,27.56,32.7,19.72,15.86,23.03,,,,,,,,,,,,,,,,,,
2020-04-01,30.22,27.76,32.74,19.72,16.18,22.89,,,,,,,,,,,,,24.0,22.0,,,,
2020-04-02,30.31,28.07,32.68,19.72,16.37,22.69,,,,,,,,,,,,,,,,,,
2020-04-03,30.36,28.26,32.6,19.71,16.53,22.39,,,,,,,,,,,,,,,,,,
2020-04-04,30.39,28.42,32.44,19.7,16.67,22.25,,,,,,,,,,,,,,,,,,
2020-04-05,30.41,28.5,32.32,19.69,16.8,22.11,,,,,,,,,,,,,,,,,,
2020-04-06,30.41,28.59,32.29,19.67,16.91,21.95,,,,,,,,,,,,,,,,,,
2020-04-07,30.4,28.67,32.17,19.66,17.04,21.83,,,,,,,,,,,,,,,,,,
2020-04-08,30.4,28.72,32.12,19.65,17.23,21.75,,,,,,,,,,,,,34.0,8.0,,,,
2020-04-09,30.39,28.83,32.09,19.64,17.36,21.67,,,,,,,,,,,,,,,,,,
2020-04-10,30.38,28.88,32.01,19.64,17.47,21.6,,,,,,,,,,,,,,,,,,
2020-04-11,30.38,28.87,31.98,19.64,17.58,21.55,,,,,,,,,,,,,26.0,21.0,,,,
2020-04-12,30.38,28.86,31.96,19.64,17.69,21.51,,,,,,,,,,,,,,,,,,
2020-04-13,30.38,28.85,31.97,19.65,17.79,21.48,,,,,,,,,,,,,,,,,,
2020-04-14,30.39,28.88,31.97,19.66,17.92,21.45,,,,,,,,,,,,,,,,,,
2020-04-15,30.41,28.93,31.98,19.67,17.98,21.43,,,,,,,,,,,,,,,,,,
2020-04-16,30.43,28.94,32.01,19.68,18.02,21.39,,,,,,,,,,,,,33.0,17.0,,,,
2020-04-17,30.46,28.98,32.03,19.69,18.05,21.37,,,,,,,,,,,,,,,,,,
2020-04-18,30.5,29.01,32.05,19.71,18.09,21.38,,,,,,,,,,,,,,,,,,
2020-04-19,30.54,29.02,32.1,19.72,18.13,21.37,,,,,,,,,,,,,,,,,,
2020-04-20,30.59,29.05,32.17,19.74,18.17,21.38,,,,,,,,,,,,,,,,,,
