date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (poll),Negative (poll)
1997-05-01,68.34,65.27,72.0,6.35,5.33,8.57,65.0,5.0
1997-05-02,68.38,65.3,72.0,6.4,5.36,8.66,,
1997-05-03,68.43,65.33,72.0,6.45,5.4,8.75,,
1997-05-04,68.46,65.37,72.0,6.5,5.44,8.83,,
1997-05-05,68.5,65.4,72.0,6.55,5.46,8.91,,
1997-05-06,68.54,65.43,72.0,6.6,5.46,8.98,,
1997-05-07,68.57,65.47,72.0,6.65,5.47,9.05,,
1997-05-08,68.6,65.5,72.0,6.7,5.47,9.12,,
1997-05-09,68.63,65.53,72.0,6.75,5.47,9.18,,
1997-05-10,68.66,65.57,72.0,6.8,5.48,9.24,,
1997-05-11,68.69,65.6,72.0,6.85,5.48,9.29,,
1997-05-12,68.72,65.63,72.0,6.89,5.49,9.34,,
1997-05-13,68.74,65.0,72.0,6.94,5.0,11.0,,
1997-05-14,68.77,65.0,72.0,6.98,5.0,11.0,,
1997-05-15,68.79,65.0,72.0,7.03,5.01,11.01,,
1997-05-16,68.81,65.0,72.0,7.07,5.02,11.02,,
1997-05-17,68.83,65.0,71.99,7.12,5.04,11.04,,
1997-05-18,68.85,65.0,71.98,7.17,5.08,11.07,,
1997-05-19,68.87,65.0,71.97,7.23,5.13,11.12,,
1997-05-20,68.88,65.0,71.95,7.29,5.2,11.17,,
1997-05-21,68.9,65.0,71.93,7.35,5.29,11.24,,
1997-05-22,68.91,65.0,71.91,7.42,5.39,11.31,,
1997-05-23,68.92,65.0,71.88,7.5,5.52,11.4,,
1997-05-24,68.92,65.0,71.84,7.57,5.66,11.49,,
1997-05-25,68.93,65.0,71.8,7.65,5.82,11.58,,
1997-05-26,68.93,65.0,71.76,7.74,6.0,11.68,,
1997-05-27,68.94,65.0,71.72,7.83,6.08,11.79,,
1997-05-28,68.94,65.0,71.67,7.92,6.13,11.9,,
1997-05-29,68.94,65.0,71.62,8.02,6.18,12.01,,
1997-05-30,68.94,65.0,71.56,8.12,6.24,12.12,,
1997-05-31,68.94,65.0,71.5,8.22,6.34,12.24,,
1997-06-01,68.94,65.0,71.45,8.33,6.37,12.35,72.0,7.0
1997-06-02,68.93,65.0,71.41,8.44,6.44,12.46,,
1997-06-03,68.93,65.0,71.4,8.55,6.51,12.57,,
1997-06-04,68.93,65.0,71.39,8.66,6.58,12.68,,
1997-06-05,68.93,65.0,71.39,8.77,6.59,12.79,,
1997-06-06,68.92,65.0,71.38,8.88,6.69,12.9,,
1997-06-07,68.92,65.0,71.38,9.0,6.8,13.0,,
1997-06-08,68.92,65.0,71.37,9.11,6.92,13.1,,
1997-06-09,68.91,65.0,71.37,9.23,7.0,13.2,,
1997-06-10,68.91,65.0,71.37,9.35,7.0,13.3,,
1997-06-11,68.91,65.0,71.36,9.46,7.0,13.39,,
1997-06-12,68.9,65.0,71.36,9.58,7.0,13.48,,
1997-06-13,68.9,65.0,71.75,9.7,6.72,14.8,,
1997-06-14,68.9,65.0,72.0,9.82,6.75,14.98,,
1997-06-15,68.89,65.0,72.0,9.94,6.78,15.15,,
1997-06-16,68.89,65.01,72.0,10.06,6.82,15.31,,
1997-06-17,68.89,65.03,72.0,10.18,6.85,15.46,,
1997-06-18,68.9,65.05,72.0,10.3,6.88,15.59,,
1997-06-19,68.9,65.08,72.0,10.42,6.88,15.71,,
1997-06-20,68.91,65.13,72.0,10.54,6.9,15.77,,
1997-06-21,68.92,65.19,72.0,10.66,6.91,15.93,,
1997-06-22,68.93,65.25,72.0,10.78,6.92,16.09,,
1997-06-23,68.95,65.33,72.0,10.9,6.93,16.23,,
1997-06-24,68.96,65.42,72.0,11.02,6.95,16.37,,
1997-06-25,68.98,65.52,72.0,11.14,7.0,16.5,,
1997-06-26,69.01,65.64,72.0,11.27,7.0,16.63,,
1997-06-27,69.03,65.76,72.0,11.38,7.0,16.79,,
1997-06-28,69.06,65.89,72.0,11.5,7.08,16.94,,
1997-06-29,69.08,66.02,72.0,11.62,7.18,17.08,,
1997-06-30,69.11,66.17,72.0,11.74,7.35,17.21,,
1997-07-01,69.14,66.32,72.0,11.85,7.49,17.19,70.0,11.0
1997-07-02,69.18,66.47,72.0,11.96,7.56,17.17,,
1997-07-03,69.21,66.62,72.0,12.07,7.63,17.14,,
1997-07-04,69.24,66.78,72.0,12.17,7.71,17.17,,
1997-07-05,69.27,66.91,72.01,12.28,7.79,17.2,,
1997-07-06,69.31,66.96,72.17,12.37,7.87,17.22,,
1997-07-07,69.34,66.99,72.33,12.47,7.95,17.29,,
1997-07-08,69.37,67.02,72.49,12.56,8.04,17.46,,
1997-07-09,69.4,67.05,72.59,12.65,8.13,17.42,,
1997-07-10,69.43,67.06,72.68,12.74,8.23,17.35,,
1997-07-11,69.46,67.1,72.76,12.82,8.31,17.28,,
1997-07-12,69.49,67.16,72.85,12.9,8.41,17.21,,
1997-07-13,69.52,67.18,73.12,12.97,8.45,17.14,,
1997-07-14,69.54,67.19,73.22,13.04,8.56,17.07,,
1997-07-15,69.56,67.2,73.32,13.11,8.65,17.01,,
1997-07-16,69.59,67.25,73.4,13.18,8.88,16.95,,
1997-07-17,69.61,67.4,73.48,13.24,8.99,16.89,,
1997-07-18,69.63,67.36,73.55,13.31,9.1,16.83,,
1997-07-19,69.65,67.31,73.6,13.37,9.22,16.78,,
1997-07-20,69.67,67.26,73.65,13.43,9.35,16.73,,
1997-07-21,69.69,67.19,73.42,13.49,9.45,16.68,,
1997-07-22,69.71,67.13,73.47,13.56,9.57,16.63,,
1997-07-23,69.74,67.07,73.51,13.62,9.67,16.59,,
1997-07-24,69.76,67.01,73.56,13.69,9.76,16.54,,
1997-07-25,69.78,67.0,73.6,13.75,9.85,16.5,,
1997-07-26,69.81,66.94,73.63,13.82,9.94,16.46,,
1997-07-27,69.83,66.89,73.67,13.88,10.04,16.44,,
1997-07-28,69.86,66.85,73.69,13.95,10.09,16.48,,
1997-07-29,69.88,66.83,73.71,14.01,10.15,16.64,,
1997-07-30,69.91,66.81,73.76,14.08,10.2,16.77,,
1997-07-31,69.93,66.8,73.81,14.14,10.53,16.82,,
1997-08-01,69.96,66.8,73.85,14.21,10.77,16.95,65.0,19.0
1997-08-02,69.98,66.71,73.89,14.27,10.92,16.99,,
1997-08-03,70.01,66.66,73.92,14.33,11.08,16.97,,
1997-08-04,70.03,66.63,73.95,14.39,11.18,16.95,,
1997-08-05,70.06,66.6,73.98,14.45,11.43,17.04,,
1997-08-06,70.08,66.61,74.0,14.51,11.54,17.16,,
1997-08-07,70.11,66.63,74.01,14.56,11.64,17.25,,
1997-08-08,70.13,66.59,74.02,14.62,11.73,17.31,,
1997-08-09,70.16,66.58,74.02,14.67,11.78,17.38,,
1997-08-10,70.18,66.59,74.02,14.71,11.83,17.44,,
1997-08-11,70.21,66.6,74.02,14.76,11.91,17.5,,
1997-08-12,70.24,66.63,74.01,14.8,12.0,17.55,,
1997-08-13,70.26,66.51,73.99,14.84,12.08,17.63,,
1997-08-14,70.29,66.53,73.98,14.88,12.16,17.62,,
1997-08-15,70.32,66.55,73.96,14.91,12.23,17.61,,
1997-08-16,70.35,66.57,73.94,14.94,12.27,17.58,,
1997-08-17,70.38,66.6,73.91,14.97,12.32,17.55,,
1997-08-18,70.4,66.63,73.89,15.0,12.37,17.6,,
1997-08-19,70.43,66.62,73.86,15.04,12.41,17.57,,
1997-08-20,70.46,66.57,73.84,15.07,12.46,17.61,,
1997-08-21,70.49,66.58,73.81,15.1,12.51,17.61,,
1997-08-22,70.52,66.56,73.79,15.14,12.59,17.69,,
1997-08-23,70.55,66.54,73.77,15.17,12.7,17.7,,
1997-08-24,70.58,66.53,73.75,15.21,12.83,17.7,,
1997-08-25,70.61,66.52,73.78,15.25,12.95,17.71,,
1997-08-26,70.64,66.53,73.82,15.29,12.98,17.73,,
1997-08-27,70.67,66.47,73.88,15.33,13.05,17.74,,
1997-08-28,70.71,66.41,73.91,15.37,13.17,17.76,,
1997-08-29,70.74,66.41,73.94,15.41,13.28,17.82,,
1997-08-30,70.77,66.43,73.94,15.45,13.33,17.89,,
1997-08-31,70.8,66.4,73.92,15.49,13.42,18.03,,
1997-09-01,70.84,66.36,73.9,15.53,13.45,18.17,75.0,13.0
1997-09-02,70.87,66.3,73.92,15.57,13.5,18.36,,
1997-09-03,70.91,66.25,73.97,15.61,13.56,18.62,,
1997-09-04,70.94,66.24,73.97,15.64,13.62,18.77,,
1997-09-05,70.98,66.26,73.96,15.68,13.68,18.86,,
1997-09-06,71.02,66.33,73.91,15.71,13.73,19.0,,
1997-09-07,71.05,66.41,73.92,15.74,13.78,19.13,,
1997-09-08,71.09,66.48,73.94,15.77,13.81,19.19,,
1997-09-09,71.13,66.57,73.95,15.8,13.84,19.21,,
1997-09-10,71.17,66.68,73.97,15.82,13.87,19.22,,
1997-09-11,71.2,66.79,73.98,15.85,13.9,19.24,,
1997-09-12,71.24,66.55,74.0,15.87,13.89,19.3,,
1997-09-13,71.28,66.64,74.0,15.89,13.92,19.34,,
1997-09-14,71.31,66.74,74.0,15.9,13.95,19.37,,
