date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (poll),Negative (poll)
2007-07-12,45.83,36.74,57.42,21.69,18.87,25.19,36.0,20.0
2007-07-13,45.94,36.88,57.13,21.69,18.89,25.16,,
2007-07-14,46.04,37.04,56.85,21.68,18.91,25.09,,
2007-07-15,46.12,37.23,56.56,21.68,18.97,25.07,,
2007-07-16,46.19,37.43,56.29,21.67,18.98,25.03,,
2007-07-17,46.25,37.63,56.02,21.67,18.96,24.95,,
2007-07-18,46.31,37.82,55.72,21.67,18.96,24.84,,
2007-07-19,46.37,38.03,55.42,21.66,18.95,24.73,,
2007-07-20,46.43,38.25,55.19,21.66,18.95,24.69,,
2007-07-21,46.5,38.49,55.14,21.66,18.97,24.65,,
2007-07-22,46.58,38.76,55.08,21.66,19.0,24.64,,
2007-07-23,46.67,39.02,55.04,21.66,18.98,24.65,34.0,27.0
2007-07-24,46.77,39.29,54.94,21.66,19.02,24.58,,
2007-07-25,46.87,39.56,54.85,21.66,18.98,24.51,,
2007-07-26,46.98,39.84,54.75,21.67,19.0,24.44,,
2007-07-27,47.1,40.13,54.66,21.68,19.02,24.4,,
2007-07-28,47.23,40.43,54.57,21.69,19.05,24.36,,
2007-07-29,47.35,40.73,54.49,21.7,19.08,24.32,,
2007-07-30,47.49,41.24,54.42,21.72,19.13,24.28,,
2007-07-31,47.62,41.51,54.33,21.73,19.14,24.24,,
2007-08-01,47.76,41.68,54.36,21.76,19.2,24.23,,
2007-08-02,47.9,41.99,54.36,21.78,19.26,24.22,,
2007-08-03,48.04,42.2,54.45,21.81,19.37,24.21,,
2007-08-04,48.18,42.4,54.56,21.84,19.46,24.21,,
2007-08-05,48.32,42.59,54.63,21.88,19.55,24.19,,
2007-08-06,48.45,42.84,54.71,21.92,19.65,24.18,,
2007-08-07,48.59,43.07,54.89,21.96,19.74,24.22,,
2007-08-08,48.73,43.3,54.84,22.0,19.8,24.25,59.0,19.0
2007-08-09,48.86,43.45,54.91,22.04,19.83,24.28,65.0,17.0
2007-08-10,49.0,43.57,54.9,22.09,19.86,24.31,,
2007-08-11,49.14,43.73,55.0,22.15,19.88,24.35,,
2007-08-12,49.29,44.03,55.07,22.2,19.92,24.4,,
2007-08-13,49.43,44.35,55.19,22.26,19.96,24.46,,
2007-08-14,49.58,44.54,55.25,22.32,19.99,24.52,,
2007-08-15,49.72,44.68,55.3,22.39,20.04,24.61,,
2007-08-16,49.87,44.92,55.32,22.46,20.08,24.72,,
2007-08-17,50.02,45.18,55.39,22.53,20.18,24.8,,
2007-08-18,50.16,45.24,55.45,22.6,20.24,24.91,,
2007-08-19,50.3,45.32,55.57,22.68,20.3,24.96,,
2007-08-20,50.45,45.45,55.7,22.75,20.44,25.06,,
2007-08-21,50.58,45.62,55.8,22.83,20.6,25.08,,
2007-08-22,50.72,46.02,55.85,22.91,20.75,25.11,,
2007-08-23,50.84,46.15,55.9,22.99,20.85,25.31,43.0,23.0
2007-08-24,50.96,46.22,55.92,23.08,20.93,25.42,40.0,30.0
2007-08-25,51.07,46.28,55.92,23.17,21.02,25.51,,
2007-08-26,51.17,46.4,55.89,23.26,21.1,25.61,,
2007-08-27,51.26,46.59,55.84,23.36,21.16,25.7,,
2007-08-28,51.34,46.77,55.75,23.47,21.3,25.77,,
2007-08-29,51.4,46.8,55.66,23.58,21.39,25.85,,
2007-08-30,51.45,46.91,55.83,23.7,21.49,25.99,,
2007-08-31,51.49,47.01,55.71,23.83,21.6,26.12,45.0,14.0
2007-09-01,51.51,47.11,55.58,23.96,21.77,26.16,,
2007-09-02,51.53,47.12,55.53,24.1,21.89,26.28,,
2007-09-03,51.52,47.11,55.46,24.24,22.02,26.45,,
2007-09-04,51.51,46.89,55.39,24.38,22.18,26.67,,
2007-09-05,51.48,46.94,55.29,24.53,22.33,26.98,,
