date,Positive (pre-Labour leader),Positive (pre-Labour leader) (low),Positive (pre-Labour leader) (high),Positive (post-Labour leader),Positive (post-Labour leader) (low),Positive (post-Labour leader) (high),Negative (pre-Labour leader),Negative (pre-Labour leader) (low),Negative (pre-Labour leader) (high),Negative (post-Labour leader),Negative (post-Labour leader) (low),Negative (post-Labour leader) (high),Positive (poll),Negative (poll)
2026-05-22,21.38,20.52,22.2,,,,29.54,26.3,34.2,,,,21.0,25.0
2026-05-23,21.38,20.51,22.19,,,,29.63,26.36,34.19,,,,,
2026-05-24,21.38,20.5,22.18,,,,29.71,26.41,34.18,,,,,
2026-05-25,21.38,20.48,22.17,,,,29.78,26.47,34.17,,,,,
2026-05-26,21.38,20.47,22.17,,,,29.86,26.52,34.16,,,,,
2026-05-27,21.38,20.46,22.19,,,,29.92,26.57,34.15,,,,,
2026-05-28,21.38,20.45,22.2,,,,29.99,26.62,34.14,,,,,
2026-05-29,21.38,20.44,22.21,,,,30.04,26.67,34.13,,,,,
2026-05-30,21.38,20.43,22.22,,,,30.1,26.72,34.12,,,,,
2026-05-31,21.38,20.43,22.24,,,,30.15,26.76,34.12,,,,,
2026-06-01,21.38,20.42,22.25,,,,30.2,26.81,34.11,,,,,
2026-06-02,21.38,20.41,22.25,,,,30.25,26.85,34.1,,,,,
2026-06-03,21.38,20.4,22.26,,,,30.3,26.89,34.1,,,,,
2026-06-04,21.38,20.4,22.27,,,,30.34,26.93,34.09,,,,,
2026-06-05,21.37,20.39,22.28,,,,30.38,26.97,34.09,,,,,
2026-06-06,21.37,20.38,22.29,,,,30.42,27.0,34.08,,,,,
2026-06-07,21.37,20.38,22.3,,,,30.46,27.04,34.07,,,,,
2026-06-08,21.37,20.37,22.3,,,,30.5,27.08,34.07,,,,,
2026-06-09,21.37,20.37,22.31,,,,30.53,27.11,34.06,,,,,
2026-06-10,21.37,20.36,22.32,,,,30.57,27.15,34.06,,,,,
2026-06-11,21.37,20.36,22.33,,,,30.6,27.18,34.05,,,,,
2026-06-12,21.37,20.35,22.33,,,,30.63,27.22,34.05,,,,,
2026-06-13,21.37,20.35,22.34,,,,30.67,27.25,34.05,,,,,
2026-06-14,21.37,20.34,22.35,,,,30.7,27.28,34.04,,,,,
2026-06-15,21.36,20.34,22.35,,,,30.73,27.32,34.04,,,,,
2026-06-16,21.36,20.33,22.36,,,,30.76,27.35,34.04,,,,,
2026-06-17,21.36,20.33,22.37,,,,30.8,27.38,34.03,,,,,
2026-06-18,21.36,20.32,22.38,,,,30.83,27.42,34.03,,,,,
2026-06-19,21.36,20.32,22.38,,,,30.87,27.45,34.03,,,,,
2026-06-20,21.36,20.31,22.39,,,,30.9,27.49,34.02,,,,,
2026-06-21,21.36,20.31,22.4,,,,30.94,27.53,34.02,,,,,
2026-06-22,21.36,20.3,22.41,,,,30.97,27.56,34.02,,,,,
2026-06-23,21.37,20.3,22.42,,,,31.01,27.6,34.02,,,,,
2026-06-24,21.37,20.29,22.42,,,,31.05,27.64,34.01,,,,,
2026-06-25,21.37,20.29,22.43,,,,31.09,27.69,34.01,,,,,
2026-06-26,21.37,20.28,22.44,,,,31.13,27.73,34.01,,,,,
2026-06-27,21.37,20.28,22.45,,,,31.17,27.78,34.01,,,,,
