date,Positive (pre-Labour leader),Positive (pre-Labour leader) (low),Positive (pre-Labour leader) (high),Positive (post-Labour leader),Positive (post-Labour leader) (low),Positive (post-Labour leader) (high),Negative (pre-Labour leader),Negative (pre-Labour leader) (low),Negative (pre-Labour leader) (high),Negative (post-Labour leader),Negative (post-Labour leader) (low),Negative (post-Labour leader) (high),Positive (poll),Negative (poll)
2026-05-22,19.52,17.71,20.32,,,,25.33,23.59,32.4,,,,20.0,23.0
2026-05-23,19.5,17.78,20.38,,,,25.6,23.71,32.54,,,,,
2026-05-24,19.49,17.84,20.44,,,,25.86,23.85,32.67,,,,,
2026-05-25,19.47,17.89,20.5,,,,26.12,24.0,32.79,,,,,
2026-05-26,19.47,17.94,20.56,,,,26.37,24.15,32.89,,,,,
2026-05-27,19.46,17.99,20.62,,,,26.61,24.28,32.99,,,,,
2026-05-28,19.46,18.04,20.67,,,,26.84,24.36,33.07,,,,,
2026-05-29,19.46,18.08,20.73,,,,27.06,24.44,33.14,,,,,
2026-05-30,19.46,18.12,20.78,,,,27.28,24.51,33.21,,,,,
2026-05-31,19.46,18.16,20.83,,,,27.48,24.58,33.28,,,,,
2026-06-01,19.46,18.19,20.87,,,,27.67,24.65,33.33,,,,,
2026-06-02,19.46,18.22,20.92,,,,27.85,24.72,33.39,,,,,
2026-06-03,19.47,18.25,20.96,,,,28.02,24.79,33.43,,,,,
2026-06-04,19.47,18.23,21.0,,,,28.19,24.85,33.48,,,,,
2026-06-05,19.48,18.2,21.03,,,,28.34,24.92,33.52,,,,,
2026-06-06,19.49,18.17,21.07,,,,28.49,24.98,33.56,,,,,
2026-06-07,19.49,18.14,21.1,,,,28.64,25.04,33.59,,,,,
2026-06-08,19.5,18.11,21.13,,,,28.77,25.1,33.63,,,,,
2026-06-09,19.51,18.08,21.16,,,,28.91,25.16,33.66,,,,,
2026-06-10,19.51,18.05,21.19,,,,29.03,25.21,33.69,,,,,
2026-06-11,19.52,18.03,21.22,,,,29.16,25.27,33.71,,,,,
2026-06-12,19.52,18.0,21.25,,,,29.28,25.33,33.74,,,,,
2026-06-13,19.53,17.97,21.27,,,,29.4,25.39,33.76,,,,,
2026-06-14,19.54,17.95,21.3,,,,29.51,25.45,33.78,,,,,
2026-06-15,19.54,17.92,21.32,,,,29.63,25.52,33.8,,,,,
2026-06-16,19.55,17.9,21.35,,,,29.74,25.58,33.82,,,,,
2026-06-17,19.55,17.87,21.37,,,,29.85,25.65,33.84,,,,,
2026-06-18,19.55,17.85,21.39,,,,29.96,25.72,33.86,,,,,
2026-06-19,19.56,17.82,21.41,,,,30.07,25.79,33.87,,,,,
2026-06-20,19.56,17.79,21.44,,,,30.18,25.87,33.89,,,,,
2026-06-21,19.56,17.77,21.46,,,,30.3,25.95,33.9,,,,,
2026-06-22,19.57,17.74,21.48,,,,30.41,26.04,33.91,,,,,
2026-06-23,19.57,17.71,21.51,,,,30.52,26.13,33.93,,,,,
2026-06-24,19.57,17.68,21.53,,,,30.64,26.23,33.94,,,,,
2026-06-25,19.57,17.65,21.55,,,,30.76,26.33,33.95,,,,,
2026-06-26,19.57,17.62,21.58,,,,30.88,26.44,33.95,,,,,
2026-06-27,19.57,17.58,21.6,,,,31.0,26.56,33.96,,,,,
2026-06-28,19.57,17.55,21.63,,,,31.12,26.69,33.97,,,,,
2026-06-29,19.57,17.52,21.65,,,,31.25,26.82,33.98,,,,,
2026-06-30,19.57,17.48,21.68,,,,31.37,26.97,33.98,,,,,
2026-07-01,19.56,17.45,21.7,,,,31.5,27.12,34.05,,,,,
2026-07-02,19.56,17.41,21.73,,,,31.62,27.29,34.22,,,,,
2026-07-03,19.56,17.37,21.75,,,,31.75,27.47,34.38,,,,17.0,30.0
2026-07-04,19.55,17.34,21.78,,,,31.87,27.65,34.54,,,,,
2026-07-05,19.55,17.3,21.8,,,,32.0,27.85,34.7,,,,,
2026-07-06,19.54,17.26,21.82,,,,32.12,28.05,34.85,,,,,
2026-07-07,19.54,17.23,21.85,,,,32.23,28.26,35.0,,,,,
2026-07-08,19.53,17.2,21.87,,,,32.35,28.47,35.15,,,,,
2026-07-09,19.53,17.17,21.89,,,,32.45,28.68,35.29,,,,,
2026-07-10,19.53,17.14,21.91,,,,32.56,28.88,35.41,,,,22.0,36.0
2026-07-17,,,,35.35,30.79,39.07,,,,23.22,19.25,26.21,27.0,27.0
2026-07-18,,,,35.41,31.01,39.08,,,,23.17,19.23,26.16,,
2026-07-19,,,,35.46,31.2,39.07,,,,23.12,19.22,26.1,,
2026-07-20,,,,35.5,31.38,39.03,,,,23.08,19.21,26.06,,
2026-07-21,,,,35.54,31.53,38.99,,,,23.05,19.2,26.02,,
2026-07-22,,,,35.58,31.57,38.96,,,,23.02,19.18,25.99,,
2026-07-23,,,,35.6,31.62,38.97,,,,23.0,19.17,25.95,,
2026-07-24,,,,35.63,31.68,38.97,,,,22.98,19.17,25.92,38.0,27.0
2026-07-25,,,,35.66,31.75,38.98,,,,22.97,19.18,25.9,,
2026-07-26,,,,35.68,31.81,38.98,,,,22.95,19.18,25.87,,
2026-07-27,,,,35.71,31.88,38.99,,,,22.94,19.18,25.85,,
2026-07-28,,,,35.74,31.94,38.99,,,,22.92,19.18,25.82,,
2026-07-29,,,,35.77,32.01,38.99,,,,22.9,19.18,25.79,,
2026-07-30,,,,35.8,32.07,39.0,,,,22.89,19.18,25.77,,
2026-07-31,,,,35.84,32.14,39.0,,,,22.86,19.17,25.75,39.0,16.0
2026-08-01,,,,35.89,32.23,39.0,,,,22.84,19.16,25.72,,
2026-08-02,,,,35.93,32.33,39.01,,,,22.8,19.15,25.69,,
2026-08-03,,,,35.99,32.44,39.01,,,,22.77,19.13,25.66,,
2026-08-04,,,,36.04,32.55,39.01,,,,22.73,19.11,25.62,,
2026-08-05,,,,36.11,32.69,39.02,,,,22.68,19.09,25.57,,
2026-08-06,,,,36.17,32.85,39.02,,,,22.63,19.06,25.52,,
2026-08-07,,,,36.25,33.02,39.03,,,,22.58,19.03,25.46,40.0,21.0
2026-08-08,,,,36.33,33.2,39.03,,,,22.52,19.0,25.4,,
2026-08-09,,,,36.41,33.34,39.04,,,,22.45,18.97,25.33,,
2026-08-10,,,,36.5,33.48,39.05,,,,22.38,18.94,25.26,,
2026-08-11,,,,36.59,33.63,39.05,,,,22.31,18.9,25.18,,
2026-08-12,,,,36.68,33.8,39.06,,,,22.24,18.86,25.09,,
2026-08-13,,,,36.77,33.96,39.07,,,,22.16,18.82,25.0,,
2026-08-14,,,,36.87,34.12,39.08,,,,22.08,18.8,24.89,34.0,24.0
