date,Positive (pre-Labour leader),Positive (pre-Labour leader) (low),Positive (pre-Labour leader) (high),Positive (post-Labour leader),Positive (post-Labour leader) (low),Positive (post-Labour leader) (high),Negative (pre-Labour leader),Negative (pre-Labour leader) (low),Negative (pre-Labour leader) (high),Negative (post-Labour leader),Negative (post-Labour leader) (low),Negative (post-Labour leader) (high),Positive (poll),Negative (poll)
2026-05-22,20.82,19.22,21.76,,,,32.82,31.12,35.59,,,,22.0,30.0
2026-05-23,20.79,19.21,21.76,,,,32.88,31.16,35.6,,,,,
2026-05-24,20.76,19.19,21.75,,,,32.94,31.21,35.6,,,,,
2026-05-25,20.73,19.18,21.74,,,,32.99,31.26,35.61,,,,,
2026-05-26,20.71,19.17,21.74,,,,33.04,31.3,35.61,,,,,
2026-05-27,20.68,19.16,21.73,,,,33.09,31.34,35.61,,,,,
2026-05-28,20.66,19.15,21.73,,,,33.13,31.37,35.62,,,,,
2026-05-29,20.63,19.14,21.72,,,,33.18,31.39,35.62,,,,,
2026-05-30,20.61,19.13,21.72,,,,33.22,31.41,35.62,,,,,
2026-05-31,20.59,19.12,21.71,,,,33.26,31.44,35.63,,,,,
2026-06-01,20.57,19.12,21.71,,,,33.29,31.46,35.63,,,,,
2026-06-02,20.55,19.11,21.7,,,,33.33,31.48,35.63,,,,,
2026-06-03,20.53,19.1,21.7,,,,33.36,31.5,35.63,,,,,
2026-06-04,20.51,19.1,21.7,,,,33.39,31.52,35.63,,,,,
2026-06-05,20.5,19.09,21.69,,,,33.42,31.54,35.64,,,,,
2026-06-06,20.48,19.08,21.69,,,,33.45,31.56,35.64,,,,,
2026-06-07,20.46,19.08,21.68,,,,33.48,31.58,35.64,,,,,
2026-06-08,20.45,19.07,21.68,,,,33.51,31.6,35.64,,,,,
2026-06-09,20.43,19.07,21.68,,,,33.53,31.61,35.64,,,,,
2026-06-10,20.42,19.06,21.67,,,,33.56,31.63,35.65,,,,,
2026-06-11,20.41,19.06,21.67,,,,33.58,31.65,35.65,,,,,
2026-06-12,20.39,19.05,21.67,,,,33.61,31.67,35.65,,,,,
2026-06-13,20.38,19.05,21.66,,,,33.63,31.68,35.65,,,,,
2026-06-14,20.37,19.04,21.66,,,,33.66,31.7,35.65,,,,,
2026-06-15,20.35,19.04,21.66,,,,33.68,31.72,35.65,,,,,
2026-06-16,20.34,19.04,21.65,,,,33.7,31.74,35.65,,,,,
2026-06-17,20.33,19.03,21.65,,,,33.73,31.76,35.66,,,,,
2026-06-18,20.31,19.03,21.64,,,,33.75,31.78,35.66,,,,,
2026-06-19,20.3,19.03,21.64,,,,33.78,31.8,35.66,,,,,
2026-06-20,20.29,19.02,21.64,,,,33.8,31.82,35.66,,,,,
2026-06-21,20.27,19.02,21.63,,,,33.83,31.84,35.66,,,,,
2026-06-22,20.26,19.02,21.63,,,,33.85,31.86,35.66,,,,,
2026-06-23,20.25,19.02,21.62,,,,33.88,31.89,35.66,,,,,
2026-06-24,20.23,19.01,21.62,,,,33.9,31.91,35.66,,,,,
2026-06-25,20.22,19.01,21.61,,,,33.93,31.94,35.66,,,,,
2026-06-26,20.21,19.01,21.61,,,,33.96,31.97,35.66,,,,,
2026-06-27,20.19,19.01,21.6,,,,33.99,32.0,35.66,,,,,
2026-06-28,20.18,19.01,21.59,,,,34.02,32.03,35.66,,,,,
2026-06-29,20.16,19.0,21.59,,,,34.05,32.06,35.67,,,,,
2026-06-30,20.15,19.0,21.58,,,,34.08,32.1,35.67,,,,,
2026-07-01,20.13,19.0,21.57,,,,34.12,32.14,35.67,,,,,
2026-07-02,20.11,18.98,21.56,,,,34.15,32.18,35.67,,,,,
2026-07-03,20.1,18.95,21.56,,,,34.19,32.22,35.67,,,,21.0,35.0
2026-07-04,20.08,18.93,21.55,,,,34.23,32.27,35.67,,,,,
2026-07-05,20.06,18.9,21.54,,,,34.26,32.32,35.67,,,,,
2026-07-06,20.04,18.87,21.53,,,,34.3,32.37,35.67,,,,,
2026-07-07,20.02,18.84,21.52,,,,34.35,32.42,35.67,,,,,
2026-07-08,20.01,18.81,21.5,,,,34.39,32.48,35.67,,,,,
2026-07-09,19.98,18.78,21.49,,,,34.43,32.54,35.67,,,,,
2026-07-10,19.96,18.74,21.48,,,,34.48,32.61,35.67,,,,18.0,36.0
2026-07-17,,,,31.01,26.97,34.55,,,,28.59,25.4,32.03,23.0,34.0
2026-07-18,,,,31.17,27.27,34.64,,,,28.57,25.54,31.97,,
2026-07-19,,,,31.33,27.56,34.76,,,,28.55,25.63,31.94,,
2026-07-20,,,,31.49,27.84,34.97,,,,28.55,25.76,31.9,,
2026-07-21,,,,31.65,28.02,35.15,,,,28.56,25.89,31.84,,
2026-07-22,,,,31.8,28.14,35.32,,,,28.57,26.0,31.76,,
2026-07-23,,,,31.94,28.24,35.51,,,,28.58,26.08,31.68,,
2026-07-24,,,,32.08,28.27,35.67,,,,28.6,26.08,31.67,35.0,29.0
2026-07-25,,,,32.22,28.3,35.82,,,,28.62,26.13,31.67,,
2026-07-26,,,,32.35,28.45,35.95,,,,28.63,26.13,31.66,,
2026-07-27,,,,32.47,28.61,36.07,,,,28.65,26.2,31.66,,
2026-07-28,,,,32.6,28.72,36.31,,,,28.67,26.22,31.65,,
2026-07-29,,,,32.72,28.8,36.46,,,,28.68,26.23,31.64,,
2026-07-30,,,,32.83,28.93,36.58,,,,28.69,26.25,31.6,,
2026-07-31,,,,32.95,29.13,36.68,,,,28.69,26.25,31.61,32.0,24.0
2026-08-01,,,,33.06,29.36,36.77,,,,28.7,26.26,31.6,,
2026-08-02,,,,33.17,29.49,36.84,,,,28.7,26.27,31.58,,
2026-08-03,,,,33.28,29.59,36.91,,,,28.69,26.28,31.57,,
2026-08-04,,,,33.39,29.69,36.95,,,,28.69,26.29,31.54,,
2026-08-05,,,,33.51,29.82,36.99,,,,28.69,26.31,31.53,,
2026-08-06,,,,33.63,29.98,37.06,,,,28.7,26.34,31.51,,
2026-08-07,,,,33.75,30.16,37.23,,,,28.71,26.37,31.5,33.0,25.0
2026-08-08,,,,33.88,30.3,37.2,,,,28.73,26.45,31.55,,
2026-08-09,,,,34.02,30.51,37.34,,,,28.75,26.52,31.6,,
2026-08-10,,,,34.16,30.79,37.38,,,,28.78,26.55,31.66,,
2026-08-11,,,,34.3,31.07,37.32,,,,28.81,26.62,31.72,,
2026-08-12,,,,34.45,31.38,37.4,,,,28.85,26.7,31.78,,
2026-08-13,,,,34.6,31.68,37.69,,,,28.9,26.79,31.83,,
2026-08-14,,,,34.75,31.84,37.81,,,,28.95,26.89,31.75,33.0,28.0
2026-08-15,,,,34.9,32.05,37.8,,,,29.01,26.93,31.76,,
2026-08-16,,,,35.04,32.35,37.96,,,,29.08,26.84,31.83,,
2026-08-17,,,,35.19,32.65,38.03,,,,29.16,26.89,31.88,,
2026-08-18,,,,35.33,32.82,38.06,,,,29.25,27.03,31.9,43.0,34.0
2026-08-19,,,,35.46,32.88,38.16,,,,29.35,27.11,31.94,,
2026-08-20,,,,35.59,32.89,38.29,,,,29.45,27.2,31.98,,
2026-08-21,,,,35.71,32.88,38.48,,,,29.56,27.34,32.02,,
2026-08-22,,,,35.83,32.92,38.53,,,,29.69,27.44,32.07,,
2026-08-23,,,,35.93,32.96,38.77,,,,29.82,27.52,32.12,,
2026-08-24,,,,36.03,32.96,38.84,,,,29.96,27.54,32.18,,
2026-08-25,,,,36.12,33.0,39.12,,,,30.1,27.66,32.25,,
2026-08-26,,,,36.2,32.98,39.33,,,,30.26,27.79,32.37,,
2026-08-27,,,,36.29,32.95,39.38,,,,30.41,27.97,32.5,,
2026-08-28,,,,36.38,32.95,39.44,,,,30.57,28.15,32.64,,
2026-08-29,,,,36.47,32.94,39.48,,,,30.72,28.26,32.76,,
2026-08-30,,,,36.56,32.92,39.52,,,,30.88,28.35,32.88,,
2026-08-31,,,,36.65,32.93,39.58,,,,31.04,28.5,32.95,,
2026-09-01,,,,36.73,32.94,39.71,,,,31.2,28.66,33.0,,
2026-09-02,,,,36.82,32.96,39.82,,,,31.36,28.82,33.06,,
2026-09-03,,,,36.89,32.97,39.92,,,,31.52,29.0,33.16,,
2026-09-04,,,,36.97,32.98,39.96,,,,31.67,29.19,33.25,,
2026-09-05,,,,37.03,32.99,39.92,,,,31.82,29.4,33.27,,
2026-09-06,,,,37.09,32.99,40.05,,,,31.96,29.57,33.32,,
2026-09-07,,,,37.14,33.0,40.0,,,,32.1,29.89,33.33,,
2026-09-08,,,,37.18,33.0,40.14,,,,32.22,29.95,33.32,,
2026-09-09,,,,37.2,33.0,40.31,,,,32.34,30.13,33.37,33.0,33.0
2026-09-10,,,,37.22,33.0,40.34,,,,32.46,30.35,33.35,,
2026-09-11,,,,37.22,33.0,40.44,,,,32.56,30.59,33.33,40.0,33.0
