subgroup,Positive latest,Positive 2m ago,Positive 6m ago,Negative latest,Negative 2m ago,Negative 6m ago
65+,33.48,30.5,28.8,39.24,33.9,39.3
50-64,37.9,34.7,40.8,34.65,29.9,30.8
35-49,43.26,36.9,27.1,26.59,25.1,26.6
18-34,49.85,44.9,29.7,19.2,18.8,18.0
C2DE voters,38.0,34.5,,32.65,31.2,
ABC1 voters,49.3,45.7,,25.63,24.1,
London,42.02,33.9,,26.35,23.4,
Southern England,37.22,31.6,,32.56,28.6,
Northern England,43.07,42.7,,25.89,21.8,
Midlands,39.06,34.4,,29.89,24.7,
UK/GB,45.73,37.0,31.9,32.03,25.9,25.5
Scotland,39.23,35.6,,26.05,23.6,
Wales,40.72,35.7,,27.81,23.7,
