date,Positive (pre-2010 election),Positive (pre-2010 election) (low),Positive (pre-2010 election) (high),Positive (post-2010 election),Positive (post-2010 election) (low),Positive (post-2010 election) (high),Negative (pre-2010 election),Negative (pre-2010 election) (low),Negative (pre-2010 election) (high),Negative (post-2010 election),Negative (post-2010 election) (low),Negative (post-2010 election) (high),Positive (poll),Negative (poll)
2005-12-06,39.95,31.82,50.39,,,,17.35,16.6,18.28,,,,52.0,18.0
2005-12-07,39.88,31.87,50.18,,,,17.36,16.61,18.32,,,,,
2005-12-08,39.8,31.93,49.96,,,,17.38,16.65,18.37,,,,,
2005-12-09,39.73,31.97,49.72,,,,17.39,16.71,18.43,,,,,
2005-12-10,39.67,31.98,49.46,,,,17.41,16.73,18.49,,,,,
2005-12-11,39.61,32.0,49.2,,,,17.43,16.74,18.57,,,,,
2005-12-12,39.56,32.07,48.97,,,,17.45,16.75,18.64,,,,,
2005-12-13,39.51,32.15,48.77,,,,17.48,16.75,18.71,,,,,
2005-12-14,39.46,32.23,48.58,,,,17.5,16.76,18.78,,,,,
2005-12-15,39.42,32.28,48.39,,,,17.53,16.77,18.84,,,,,
2005-12-16,39.39,32.33,48.19,,,,17.55,16.78,18.91,,,,,
2005-12-17,39.35,32.38,48.05,,,,17.58,16.77,18.97,,,,,
2005-12-18,39.32,32.42,47.93,,,,17.61,16.78,19.01,,,,,
2005-12-19,39.29,32.46,47.82,,,,17.63,16.78,19.06,,,,,
2005-12-20,39.26,32.51,47.72,,,,17.66,16.79,19.11,,,,,
2005-12-21,39.24,32.55,47.72,,,,17.69,16.8,19.17,,,,,
2005-12-22,39.22,32.6,47.75,,,,17.72,16.82,19.23,,,,,
2005-12-23,39.2,32.65,47.8,,,,17.75,16.82,19.28,,,,,
2005-12-24,39.18,32.7,47.71,,,,17.78,16.81,19.33,,,,,
2005-12-25,39.16,32.74,47.56,,,,17.81,16.83,19.4,,,,,
2005-12-26,39.15,32.79,47.41,,,,17.83,16.84,19.43,,,,,
2005-12-27,39.14,32.84,47.28,,,,17.86,16.86,19.47,,,,,
2005-12-28,39.12,32.9,47.74,,,,17.89,16.89,19.59,,,,,
2005-12-29,39.11,32.95,47.63,,,,17.92,16.91,19.64,,,,,
2005-12-30,39.1,33.0,47.52,,,,17.95,16.92,19.69,,,,,
2005-12-31,39.09,33.06,47.42,,,,17.98,16.93,19.75,,,,,
2006-01-01,39.08,33.14,47.32,,,,18.01,16.95,19.8,,,,,
2006-01-02,39.07,33.22,47.27,,,,18.04,16.95,19.86,,,,,
2006-01-03,39.07,33.28,47.27,,,,18.07,16.95,19.91,,,,,
2006-01-04,39.06,33.32,47.26,,,,18.11,16.95,19.96,,,,,
2006-01-05,39.05,33.35,47.18,,,,18.14,16.96,20.02,,,,,
2006-01-06,39.05,33.38,47.07,,,,18.18,16.97,20.1,,,,,
2006-01-07,39.04,33.41,46.95,,,,18.22,16.99,20.19,,,,,
2006-01-08,39.03,33.31,46.83,,,,18.26,17.0,20.27,,,,,
2006-01-09,39.03,33.43,46.8,,,,18.3,17.02,20.28,,,,,
2006-01-10,39.02,33.51,46.66,,,,18.34,17.06,20.3,,,,,
2006-01-11,39.02,33.54,46.5,,,,18.38,17.12,20.35,,,,,
2006-01-12,39.01,33.57,46.4,,,,18.43,17.15,20.42,,,,,
2006-01-13,39.01,33.61,46.3,,,,18.48,17.17,20.48,,,,,
2006-01-14,39.0,33.63,46.21,,,,18.52,17.19,20.56,,,,,
2006-01-15,39.0,33.65,46.14,,,,18.57,17.23,20.64,,,,,
2006-01-16,38.99,33.71,46.07,,,,18.63,17.28,20.79,,,,,
2006-01-17,38.99,33.75,45.99,,,,18.68,17.33,20.96,,,,,
2006-01-18,38.98,33.78,46.04,,,,18.73,17.38,21.12,,,,,
2006-01-19,38.98,33.82,46.05,,,,18.79,17.44,21.29,,,,31.0,17.0
2006-01-20,38.97,33.85,45.93,,,,18.84,17.49,21.38,,,,,
2006-01-21,38.97,33.88,45.81,,,,18.9,17.51,21.48,,,,,
2006-01-22,38.96,33.92,45.69,,,,18.96,17.57,21.62,,,,,
2006-01-23,38.96,34.01,45.59,,,,19.02,17.6,21.79,,,,,
2006-01-24,38.95,34.09,45.52,,,,19.07,17.64,21.92,,,,,
2006-01-25,38.95,34.17,45.47,,,,19.13,17.67,22.02,,,,,
2006-01-26,38.95,34.26,45.46,,,,19.19,17.7,22.12,,,,,
2006-01-27,38.94,34.35,45.45,,,,19.25,17.74,22.24,,,,,
2006-01-28,38.93,34.4,45.43,,,,19.31,17.78,22.31,,,,,
