date,Positive (post-2017 election),Positive (post-2017 election) (low),Positive (post-2017 election) (high),Negative (post-2017 election),Negative (post-2017 election) (low),Negative (post-2017 election) (high),Positive (poll),Negative (poll)
2025-07-14,43.14,41.0,45.89,32.86,27.12,34.0,41.0,34.0
2025-07-15,43.18,40.99,45.78,32.8,27.24,34.0,,
2025-07-16,43.21,40.99,45.64,32.75,27.4,34.01,,
2025-07-17,43.24,40.98,45.46,32.69,27.6,34.01,,
2025-07-18,43.27,40.97,45.46,32.64,27.83,34.02,,
2025-07-19,43.29,40.96,45.45,32.59,28.07,34.03,,
2025-07-20,43.31,40.94,45.43,32.55,28.33,34.04,,
2025-07-21,43.32,40.92,45.41,32.51,28.59,34.05,,
2025-07-22,43.33,40.9,45.37,32.47,28.85,34.08,,
2025-07-23,43.34,40.88,45.33,32.43,29.1,34.09,,
2025-07-24,43.34,40.85,45.33,32.4,29.35,34.11,,
2025-07-25,43.34,40.83,45.31,32.38,29.38,34.13,,
2025-07-26,43.33,40.79,45.28,32.35,29.31,34.15,,
2025-07-27,43.32,40.76,45.25,32.33,29.26,34.19,,
2025-07-28,43.31,40.73,45.23,32.31,29.2,34.21,,
2025-07-29,43.3,40.69,45.23,32.3,29.14,34.29,,
2025-07-30,43.28,40.65,45.22,32.29,29.23,34.4,,
2025-07-31,43.27,40.61,45.17,32.27,29.36,34.49,,
2025-08-01,43.25,40.57,45.15,32.27,29.49,34.55,,
2025-08-02,43.22,40.53,45.16,32.26,29.56,34.59,,
2025-08-03,43.2,40.48,45.16,32.26,29.56,34.64,,
2025-08-04,43.18,40.43,45.16,32.25,29.57,34.69,,
2025-08-05,43.15,40.33,45.17,32.25,29.57,34.74,,
2025-08-06,43.13,40.22,45.17,32.25,29.58,34.79,,
2025-08-07,43.1,40.12,45.17,32.26,29.59,34.84,,
2025-08-08,43.08,40.04,45.17,32.26,29.56,34.89,,
2025-08-09,43.05,39.96,45.18,32.26,29.52,34.93,,
2025-08-10,43.03,39.88,45.18,32.27,29.6,34.98,,
2025-08-11,43.0,39.8,45.18,32.27,29.67,35.03,,
2025-08-12,42.98,39.73,45.19,32.28,29.68,35.07,,
2025-08-13,42.95,39.67,45.19,32.28,29.69,35.12,,
2025-08-14,42.93,39.61,45.19,32.29,29.65,35.17,,
2025-08-15,42.91,39.55,45.19,32.3,29.62,35.21,45.0,33.0
2025-08-16,42.88,39.5,45.19,32.31,29.58,35.26,,
2025-08-17,42.86,39.45,45.2,32.31,29.55,35.3,,
2025-08-18,42.84,39.4,45.2,32.32,29.51,35.35,,
2025-08-19,42.82,39.36,45.2,32.33,29.48,35.39,,
2025-08-20,42.8,39.32,45.2,32.33,29.44,35.43,,
2025-08-21,42.78,39.27,45.22,32.34,29.41,35.48,,
2025-08-22,42.76,39.23,45.24,32.35,29.38,35.52,,
2025-08-23,42.75,39.19,45.27,32.36,29.35,35.57,,
2025-08-24,42.73,39.16,45.29,32.36,29.31,35.61,,
2025-08-25,42.71,39.12,45.31,32.37,29.28,35.65,,
2025-08-26,42.7,39.09,45.33,32.37,29.25,35.7,,
2025-08-27,42.68,39.06,45.33,32.38,29.22,35.74,,
2025-08-28,42.67,39.03,45.33,32.38,29.18,35.79,,
2025-08-29,42.66,39.0,45.33,32.39,29.2,35.83,,
2025-08-30,42.64,38.98,45.34,32.39,29.23,35.88,,
2025-08-31,42.63,38.95,45.34,32.39,29.25,35.91,,
2025-09-01,42.62,38.93,45.34,32.39,29.2,35.93,,
2025-09-02,42.61,38.9,45.34,32.39,29.12,35.95,,
2025-09-03,42.6,38.83,45.34,32.4,29.03,35.96,,
2025-09-04,42.59,38.76,45.34,32.4,28.94,35.98,,
2025-09-05,42.58,38.69,45.36,32.39,28.93,36.0,,
2025-09-06,42.57,38.61,45.39,32.39,28.91,36.01,,
2025-09-07,42.56,38.52,45.42,32.39,28.9,36.03,,
2025-09-08,42.55,38.44,45.42,32.39,28.88,36.05,,
2025-09-09,42.55,38.35,45.43,32.38,28.87,36.06,,
2025-09-10,42.54,38.27,45.47,32.38,28.83,36.09,,
2025-09-11,42.53,38.18,45.52,32.37,28.71,36.12,46.0,27.0
2025-09-12,42.52,38.09,45.53,32.37,28.62,36.18,,
2025-09-13,42.51,38.0,45.54,32.36,28.58,36.25,,
2025-09-14,42.5,37.91,45.54,32.35,28.54,36.32,,
2025-09-15,42.49,37.82,45.54,32.35,28.48,36.39,,
2025-09-16,42.48,37.73,45.55,32.34,28.32,36.45,,
2025-09-17,42.47,37.64,45.55,32.33,28.16,36.52,,
2025-09-18,42.46,37.55,45.61,32.32,28.01,36.58,,
2025-09-19,42.44,37.48,45.67,32.32,27.86,36.65,,
2025-09-20,42.43,37.39,45.73,32.31,27.72,36.7,,
2025-09-21,42.41,37.32,45.73,32.3,27.59,36.76,,
