date,Positive (pre-2017 election),Positive (pre-2017 election) (low),Positive (pre-2017 election) (high),Positive (post-2017 election),Positive (post-2017 election) (low),Positive (post-2017 election) (high),Negative (pre-2017 election),Negative (pre-2017 election) (low),Negative (pre-2017 election) (high),Negative (post-2017 election),Negative (post-2017 election) (low),Negative (post-2017 election) (high),Positive (poll),Negative (poll)
2010-09-27,35.6,33.19,37.91,,,,25.47,23.38,28.24,,,,43.0,23.0
2010-09-28,35.56,33.22,37.84,,,,25.6,23.53,28.34,,,,,
2010-09-29,35.52,33.24,37.75,,,,25.72,23.68,28.49,,,,,
2010-09-30,35.48,33.24,37.67,,,,25.85,23.79,28.68,,,,,
2010-10-01,35.43,33.25,37.58,,,,25.98,24.01,28.86,,,,32.0,20.0
2010-10-02,35.39,33.22,37.49,,,,26.11,24.1,29.04,,,,,
2010-10-03,35.34,33.22,37.43,,,,26.25,24.23,29.27,,,,,
2010-10-04,35.29,33.18,37.41,,,,26.38,24.33,29.44,,,,,
2010-10-05,35.25,33.16,37.39,,,,26.52,24.48,29.61,,,,,
2010-10-06,35.2,33.14,37.36,,,,26.66,24.66,29.78,,,,,
2010-10-07,35.15,33.07,37.32,,,,26.8,24.85,29.87,,,,,
2010-10-08,35.1,33.06,37.22,,,,26.94,24.98,29.95,,,,30.0,22.0
2010-10-09,35.06,33.05,37.16,,,,27.08,25.08,30.03,,,,,
2010-10-10,35.01,33.02,37.08,,,,27.22,25.21,30.11,,,,,
2010-10-11,34.96,32.98,37.01,,,,27.36,25.29,30.19,,,,,
2010-10-12,34.91,32.93,36.94,,,,27.5,25.45,30.26,,,,,
2010-10-13,34.87,32.89,36.86,,,,27.64,25.61,30.44,,,,,
2010-10-14,34.82,32.85,36.79,,,,27.78,25.78,30.53,,,,,
2010-10-15,34.77,32.84,36.74,,,,27.91,25.9,30.63,,,,38.0,20.0
2010-10-16,34.73,32.84,36.7,,,,28.04,26.03,30.71,,,,,
2010-10-17,34.68,32.82,36.61,,,,28.18,26.15,30.79,,,,41.0,22.0
2010-10-18,34.64,32.75,36.52,,,,28.31,26.23,30.92,,,,,
2010-10-19,34.6,32.69,36.44,,,,28.43,26.32,31.04,,,,,
2010-10-20,34.56,32.67,36.38,,,,28.56,26.42,31.24,,,,,
2010-10-21,34.51,32.64,36.32,,,,28.68,26.55,31.43,,,,,
2010-10-22,34.47,32.61,36.24,,,,28.81,26.66,31.63,,,,35.0,26.0
2010-10-23,34.43,32.58,36.18,,,,28.93,26.75,31.84,,,,,
2010-10-24,34.4,32.56,36.12,,,,29.05,26.84,32.04,,,,,
2010-10-25,34.36,32.54,36.06,,,,29.17,26.91,32.22,,,,,
2010-10-26,34.32,32.51,36.02,,,,29.29,26.96,32.37,,,,,
2010-10-27,34.28,32.49,35.99,,,,29.41,27.06,32.47,,,,,
2010-10-28,34.24,32.47,35.94,,,,29.53,27.21,32.63,,,,,
2010-10-29,34.2,32.44,35.9,,,,29.65,27.25,32.73,,,,34.0,32.0
2010-10-30,34.16,32.4,35.86,,,,29.78,27.35,32.77,,,,,
2010-10-31,34.13,32.36,35.78,,,,29.9,27.46,32.88,,,,,
2010-11-01,34.09,32.34,35.7,,,,30.02,27.57,33.0,,,,,
2010-11-02,34.05,32.3,35.64,,,,30.15,27.67,33.11,,,,,
2010-11-03,34.01,32.27,35.56,,,,30.28,27.75,33.23,,,,,
2010-11-04,33.97,32.23,35.48,,,,30.41,27.85,33.35,,,,,
2010-11-05,33.93,32.21,35.41,,,,30.54,27.96,33.49,,,,35.0,31.0
2010-11-06,33.89,32.2,35.33,,,,30.67,28.08,33.63,,,,,
2010-11-07,33.86,32.18,35.28,,,,30.81,28.25,33.76,,,,,
2010-11-08,33.82,32.17,35.23,,,,30.95,28.36,33.9,,,,,
2010-11-09,33.78,32.15,35.18,,,,31.09,28.48,34.04,,,,,
2010-11-10,33.74,32.13,35.13,,,,31.24,28.58,34.24,,,,,
2010-11-11,33.7,32.11,35.08,,,,31.39,28.68,34.44,,,,,
2010-11-12,33.66,32.1,35.05,,,,31.54,28.79,34.6,,,,33.0,31.0
2010-11-13,33.62,32.09,35.02,,,,31.7,28.9,34.76,,,,,
2010-11-14,33.59,32.08,34.96,,,,31.86,29.03,34.92,,,,38.0,29.0
2010-11-15,33.55,32.06,34.87,,,,32.02,29.21,35.05,,,,,
2010-11-16,33.51,32.04,34.81,,,,32.19,29.39,35.17,,,,,
2010-11-17,33.47,32.02,34.73,,,,32.36,29.59,35.29,,,,,
2010-11-18,33.44,32.0,34.68,,,,32.54,29.73,35.43,,,,,
2010-11-19,33.4,31.99,34.61,,,,32.72,29.95,35.56,,,,32.0,31.0
2010-11-20,33.37,31.96,34.56,,,,32.9,30.14,35.68,,,,,
2010-11-21,33.33,31.94,34.54,,,,33.08,30.31,35.88,,,,,
2010-11-22,33.3,31.93,34.53,,,,33.27,30.53,36.1,,,,,
2010-11-23,33.27,31.93,34.51,,,,33.46,30.77,36.23,,,,,
2010-11-24,33.24,31.99,34.49,,,,33.66,30.93,36.41,,,,,
2010-11-25,33.2,31.99,34.47,,,,33.86,31.12,36.63,,,,,
2010-11-26,33.17,31.99,34.46,,,,34.06,31.36,36.85,,,,28.0,37.0
2010-11-27,33.14,31.96,34.44,,,,34.26,31.56,37.06,,,,,
2010-11-28,33.11,31.94,34.41,,,,34.47,31.77,37.27,,,,,
2010-11-29,33.09,31.92,34.35,,,,34.68,31.96,37.48,,,,,
2010-11-30,33.06,31.89,34.37,,,,34.89,32.15,37.68,,,,,
2010-12-01,33.03,31.88,34.35,,,,35.1,32.35,37.86,,,,,
2010-12-02,33.01,31.85,34.32,,,,35.31,32.56,38.05,,,,,
2010-12-03,32.98,31.82,34.29,,,,35.53,32.78,38.25,,,,30.0,44.0
2010-12-04,32.96,31.81,34.25,,,,35.75,33.0,38.48,,,,,
2010-12-05,32.93,31.8,34.23,,,,35.96,33.19,38.67,,,,,
2010-12-06,32.91,31.77,34.2,,,,36.18,33.39,38.87,,,,,
2010-12-07,32.89,31.77,34.17,,,,36.4,33.59,39.08,,,,,
2010-12-08,32.87,31.76,34.15,,,,36.61,33.84,39.29,,,,,
2010-12-09,32.85,31.73,34.14,,,,36.83,34.11,39.49,,,,,
2010-12-10,32.83,31.71,34.12,,,,37.04,34.36,39.65,,,,29.0,44.0
2010-12-11,32.81,31.69,34.1,,,,37.26,34.51,39.84,,,,,
2010-12-12,32.8,31.67,34.09,,,,37.47,34.68,40.03,,,,35.0,34.0
2010-12-13,32.78,31.65,34.08,,,,37.68,34.82,40.21,,,,,
2010-12-14,32.77,31.62,34.07,,,,37.89,35.06,40.39,,,,,
2010-12-15,32.75,31.59,34.05,,,,38.09,35.22,40.52,,,,,
2010-12-16,32.74,31.54,34.03,,,,38.29,35.41,40.69,,,,,
2010-12-17,32.72,31.52,34.02,,,,38.5,35.56,40.87,,,,30.0,44.0
2010-12-18,32.71,31.48,34.0,,,,38.69,35.73,41.03,,,,,
2010-12-19,32.7,31.47,33.99,,,,38.89,35.9,41.17,,,,,
2010-12-20,32.69,31.46,33.97,,,,39.08,36.08,41.32,,,,,
2010-12-21,32.68,31.43,33.98,,,,39.27,36.25,41.46,,,,,
2010-12-22,32.67,31.39,33.97,,,,39.46,36.42,41.64,,,,,
2010-12-23,32.66,31.35,33.95,,,,39.64,36.6,41.83,,,,,
2010-12-24,32.65,31.31,33.94,,,,39.82,36.77,41.94,,,,,
2010-12-25,32.64,31.3,33.93,,,,40.0,36.95,42.08,,,,,
2010-12-26,32.64,31.29,33.94,,,,40.17,37.13,42.18,,,,,
2010-12-27,32.63,31.28,33.95,,,,40.34,37.31,42.35,,,,,
2010-12-28,32.63,31.28,33.92,,,,40.51,37.62,42.47,,,,,
2010-12-29,32.63,31.27,33.89,,,,40.67,37.95,42.59,,,,,
2010-12-30,32.63,31.27,33.88,,,,40.83,38.14,42.7,,,,,
2010-12-31,32.64,31.27,33.87,,,,40.98,38.41,42.81,,,,,
2011-01-01,32.64,31.28,33.87,,,,41.13,38.66,42.98,,,,,
2011-01-02,32.65,31.28,33.87,,,,41.28,38.87,43.07,,,,,
2011-01-03,32.66,31.29,33.85,,,,41.43,39.08,43.19,,,,,
2011-01-04,32.66,31.3,33.85,,,,41.57,39.28,43.32,,,,,
2011-01-05,32.67,31.32,33.85,,,,41.71,39.49,43.4,,,,,
2011-01-06,32.68,31.33,33.87,,,,41.85,39.71,43.52,,,,,
2011-01-07,32.69,31.35,33.88,,,,41.99,39.84,43.63,,,,28.0,49.0
2011-01-08,32.71,31.35,33.88,,,,42.12,39.97,43.68,,,,,
2011-01-09,32.72,31.36,33.87,,,,42.25,40.19,43.78,,,,,
2011-01-10,32.73,31.37,33.88,,,,42.38,40.39,43.93,,,,,
2011-01-11,32.74,31.37,33.89,,,,42.51,40.58,44.02,,,,,
2011-01-12,32.76,31.4,33.9,,,,42.63,40.68,44.1,,,,,
2011-01-13,32.77,31.42,33.91,,,,42.75,40.79,44.18,,,,,
2011-01-14,32.79,31.43,33.92,,,,42.87,40.96,44.31,,,,33.0,43.0
2011-01-15,32.8,31.44,33.93,,,,42.98,41.13,44.45,,,,,
2011-01-16,32.82,31.44,33.94,,,,43.09,41.27,44.58,,,,,
2011-01-17,32.83,31.47,33.95,,,,43.2,41.41,44.66,,,,,
2011-01-18,32.85,31.51,33.97,,,,43.3,41.54,44.73,,,,,
2011-01-19,32.87,31.54,34.0,,,,43.4,41.69,44.78,,,,,
2011-01-20,32.89,31.58,34.0,,,,43.49,41.82,44.85,,,,,
2011-01-21,32.91,31.62,34.02,,,,43.58,41.98,44.92,,,,33.0,44.0
2011-01-22,32.93,31.65,34.03,,,,43.67,42.1,45.01,,,,,
2011-01-23,32.95,31.69,34.07,,,,43.75,42.22,45.07,,,,,
2011-01-24,32.97,31.73,34.1,,,,43.83,42.31,45.16,,,,37.0,37.0
2011-01-25,33.0,31.75,34.13,,,,43.91,42.41,45.22,,,,,
2011-01-26,33.02,31.8,34.15,,,,43.98,42.49,45.26,,,,,
2011-01-27,33.04,31.83,34.16,,,,44.05,42.58,45.32,,,,,
2011-01-28,33.06,31.87,34.18,,,,44.11,42.67,45.37,,,,37.0,43.0
2011-01-29,33.09,31.91,34.19,,,,44.17,42.72,45.43,,,,,
2011-01-30,33.11,31.95,34.2,,,,44.23,42.82,45.48,,,,,
2011-01-31,33.13,31.99,34.21,,,,44.29,42.89,45.53,,,,,
2011-02-01,33.16,32.02,34.23,,,,44.34,42.95,45.58,,,,,
2011-02-02,33.18,32.06,34.24,,,,44.39,43.0,45.63,,,,,
