date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Ukip,Ukip (low),Ukip (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),Reform (poll)
2019-08-11,31.26,29.41,32.5,13.59,11.28,15.63,7.33,6.41,7.75,2.47,2.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,33.0,16.0,8.0,3.0,0.0,0.0
2019-08-12,31.23,29.4,32.47,13.57,11.3,15.6,7.32,6.4,7.73,2.46,2.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-13,31.2,29.38,32.43,13.55,11.31,15.57,7.3,6.38,7.72,2.45,2.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-14,31.17,29.37,32.39,13.53,11.33,15.55,7.28,6.37,7.7,2.44,2.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-15,31.14,29.35,32.36,13.51,11.35,15.52,7.27,6.35,7.69,2.44,2.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-16,31.11,29.0,33.0,13.5,11.0,16.0,7.25,6.0,8.0,2.43,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-17,31.09,29.0,33.0,13.48,11.0,16.0,7.24,6.0,8.0,2.42,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-18,31.06,29.01,33.0,13.47,11.0,16.0,7.23,6.0,8.0,2.42,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-19,31.04,29.02,33.0,13.45,11.01,16.0,7.21,6.0,7.99,2.41,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-20,31.01,29.03,33.01,13.44,11.02,16.0,7.2,6.0,7.99,2.4,2.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-21,30.99,29.06,33.01,13.43,11.03,16.0,7.18,6.0,7.98,2.4,2.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-22,30.98,29.1,33.02,13.42,11.05,16.0,7.17,6.0,7.96,2.39,2.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-23,30.96,29.14,33.03,13.42,11.07,16.0,7.16,6.0,7.95,2.39,2.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-24,30.95,29.19,33.04,13.41,11.1,16.0,7.14,6.0,7.92,2.38,2.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-25,30.94,29.25,33.05,13.41,11.14,16.0,7.13,6.0,7.9,2.38,2.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-26,30.93,29.32,33.07,13.41,11.18,16.0,7.11,6.0,7.86,2.37,2.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-27,30.93,29.39,33.09,13.41,11.22,16.0,7.1,6.0,7.83,2.36,2.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-28,30.93,29.42,33.11,13.41,11.27,16.0,7.08,6.0,7.79,2.36,2.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-29,30.93,29.41,33.14,13.41,11.33,16.0,7.07,6.0,7.75,2.35,2.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-30,30.93,29.43,33.16,13.41,11.39,16.0,7.05,6.0,7.7,2.35,2.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-08-31,30.93,29.47,33.19,13.42,11.45,16.0,7.04,6.0,7.65,2.34,2.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-01,30.94,29.46,33.22,13.42,11.52,16.0,7.02,6.0,7.61,2.33,2.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-02,30.94,29.47,33.25,13.43,11.59,16.0,7.01,6.0,7.58,2.33,2.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-03,30.95,29.52,33.28,13.43,11.66,16.0,6.99,6.0,7.57,2.32,2.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-04,30.96,29.55,33.32,13.44,11.74,16.0,6.98,6.0,7.55,2.32,2.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-05,30.97,29.54,33.35,13.45,11.81,16.0,6.96,6.0,7.54,2.31,2.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-06,30.99,29.54,33.39,13.45,11.88,16.0,6.94,6.0,7.53,2.3,2.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-07,31.0,29.54,33.42,13.46,11.93,16.0,6.93,6.0,7.51,2.3,2.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-08,31.01,29.53,33.46,13.47,11.93,16.0,6.91,6.0,7.5,2.29,2.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-09,31.03,29.53,33.49,13.47,11.94,16.0,6.9,6.0,7.49,2.28,2.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,7.0,2.0,0.0,0.0
2019-09-10,31.04,29.53,33.53,13.48,11.95,16.0,6.88,6.0,7.47,2.28,2.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-11,31.06,29.52,33.57,13.49,11.95,16.0,6.87,6.0,7.43,2.27,2.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-12,31.07,29.52,33.93,13.49,11.96,16.0,6.85,6.0,7.39,2.26,2.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-13,31.09,29.52,33.97,13.5,11.96,16.0,6.84,6.0,7.36,2.26,2.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-14,31.1,29.52,34.02,13.51,11.97,16.0,6.82,6.0,7.32,2.25,2.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-15,31.12,29.52,34.06,13.51,11.97,16.0,6.81,6.0,7.28,2.24,2.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-16,31.14,29.52,34.1,13.52,11.98,16.0,6.79,6.0,7.27,2.24,2.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-09-17,31.16,29.53,34.14,13.53,11.98,16.0,6.77,6.0,7.27,2.23,1.99,2.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
