date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Ukip,Ukip (low),Ukip (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),Reform (poll)
2025-05-02,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.44,25.0,11.0,21.0,5.0,,4.0,13.0
2025-05-03,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.44,25.0,,,,,,
2025-05-04,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.44,25.0,,,,,,
2025-05-05,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.44,25.0,,,,,,
2025-05-06,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.44,25.0,,,,,,
2025-05-07,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.44,25.0,,,,,,
2025-05-08,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.44,25.0,12.7,14.0,7.3,,6.7,23.7
2025-05-09,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.0,16.45,25.0,,,,,,
2025-05-10,12.25,10.23,15.33,15.75,13.0,19.25,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.01,16.45,25.0,,,,,,
2025-05-11,12.25,10.23,15.33,15.74,13.0,19.24,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.01,16.45,25.0,,,,,,
2025-05-12,12.25,10.23,15.33,15.74,13.0,19.24,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.01,16.45,25.0,,,,,,
2025-05-13,12.25,10.23,15.33,15.74,13.0,19.24,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.01,16.46,25.0,,,,,,
2025-05-14,12.25,10.23,15.33,15.74,13.0,19.24,6.75,5.4,8.68,,,,6.0,3.5,8.5,21.02,16.46,25.0,,,,,,
2025-05-15,12.25,10.22,15.33,15.74,13.0,19.24,6.75,5.4,8.68,,,,6.01,3.5,8.5,21.02,16.47,25.0,,,,,,
2025-05-16,12.25,10.22,15.33,15.73,13.0,19.23,6.76,5.4,8.68,,,,6.01,3.5,8.5,21.03,16.47,25.0,,,,,,
2025-05-17,12.25,10.22,15.33,15.73,13.0,19.23,6.76,5.4,8.68,,,,6.01,3.5,8.5,21.03,16.48,25.0,,,,,,
2025-05-18,12.26,10.22,15.33,15.73,13.0,19.23,6.76,5.4,8.68,,,,6.01,3.5,8.5,21.04,16.49,25.0,,,,,,
2025-05-19,12.26,10.22,15.33,15.72,13.0,19.22,6.76,5.41,8.68,,,,6.01,3.49,8.5,21.04,16.5,25.0,,,,,,
2025-05-20,12.26,10.22,15.33,15.72,13.0,19.22,6.76,5.41,8.68,,,,6.01,3.49,8.5,21.05,16.5,25.0,,,,,,
2025-05-21,12.26,10.22,15.33,15.71,13.0,19.21,6.76,5.41,8.68,,,,6.01,3.49,8.5,21.05,16.51,25.0,,,,,,
2025-05-22,12.26,10.22,15.33,15.71,13.0,19.21,6.76,5.41,8.68,,,,6.02,3.49,8.5,21.06,16.52,25.0,,,,,,
2025-05-23,12.26,10.21,15.33,15.7,13.0,19.2,6.77,5.41,8.68,,,,6.02,3.49,8.5,21.07,16.53,25.0,,,,,,
2025-05-24,12.26,10.21,15.33,15.7,13.0,19.2,6.77,5.41,8.68,,,,6.02,3.49,8.5,21.08,16.54,25.0,,,,,,
2025-05-25,12.26,10.21,15.33,15.69,13.0,19.19,6.77,5.41,8.68,,,,6.02,3.49,8.5,21.09,16.55,25.0,,,,,,
2025-05-26,12.26,10.21,15.33,15.69,13.0,19.19,6.77,5.41,8.68,,,,6.02,3.49,8.5,21.09,16.56,25.0,,,,,,
2025-05-27,12.27,10.21,15.33,15.68,13.0,19.18,6.77,5.41,8.68,,,,6.03,3.49,8.5,21.1,16.57,25.0,,,,,,
2025-05-28,12.27,10.21,15.33,15.68,13.0,19.17,6.77,5.41,8.68,,,,6.03,3.49,8.5,21.11,16.58,25.0,,,,,,
2025-05-29,12.27,10.21,15.33,15.67,13.0,19.17,6.78,5.42,8.68,,,,6.03,3.48,8.5,21.12,16.6,25.0,,,,,,
2025-05-30,12.27,10.21,15.33,15.66,13.0,19.16,6.78,5.42,8.68,,,,6.03,3.48,8.5,21.13,16.61,25.0,,,,,,
2025-05-31,12.27,10.2,15.33,15.65,13.0,19.15,6.78,5.42,8.68,,,,6.04,3.48,8.5,21.15,16.63,25.0,,,,,,
2025-06-01,12.27,10.2,15.33,15.65,13.0,19.14,6.78,5.42,8.68,,,,6.04,3.48,8.5,21.16,16.65,25.0,,,,,,
2025-06-02,12.28,10.2,15.33,15.64,13.0,19.13,6.79,5.42,8.69,,,,6.04,3.48,8.5,21.17,16.66,25.0,,,,,,
2025-06-03,12.28,10.19,15.33,15.63,13.0,19.12,6.79,5.42,8.69,,,,6.05,3.48,8.5,21.18,16.68,25.0,,,,,,
2025-06-04,12.28,10.19,15.33,15.62,13.0,19.11,6.79,5.42,8.69,,,,6.05,3.47,8.5,21.2,16.7,25.0,,,,,,
2025-06-05,12.28,10.19,15.33,15.61,13.0,19.1,6.8,5.43,8.69,,,,6.05,3.47,8.5,21.21,16.72,25.0,,,,,,
2025-06-06,12.29,10.19,15.33,15.6,13.0,19.09,6.8,5.43,8.69,,,,6.06,3.47,8.5,21.23,16.74,25.0,,,,,,
2025-06-07,12.29,10.19,15.33,15.59,13.0,19.08,6.8,5.43,8.69,,,,6.06,3.47,8.5,21.24,16.76,25.0,,,,,,
2025-06-08,12.29,10.19,15.33,15.58,13.0,19.07,6.81,5.43,8.69,,,,6.06,3.47,8.5,21.26,16.78,25.0,,,,,,
2025-06-09,12.29,10.18,15.33,15.57,13.0,19.06,6.81,5.43,8.69,,,,6.07,3.46,8.5,21.27,16.8,25.0,,,,,,
2025-06-10,12.3,10.18,15.33,15.56,13.0,19.04,6.81,5.44,8.69,,,,6.07,3.46,8.5,21.29,16.83,25.0,,,,,,
2025-06-11,12.3,10.18,15.33,15.55,13.0,19.03,6.82,5.44,8.69,,,,6.08,3.46,8.5,21.31,16.86,25.0,,,,,,
2025-06-12,12.3,10.18,15.33,15.53,13.0,19.02,6.82,5.44,8.69,,,,6.08,3.46,8.5,21.33,16.88,25.0,,,,,,
2025-06-13,12.3,10.18,15.33,15.52,13.0,19.0,6.83,5.44,8.69,,,,6.09,3.45,8.5,21.35,16.91,25.0,,,,,,
2025-06-14,12.31,10.17,15.33,15.51,13.0,18.98,6.83,5.45,8.69,,,,6.09,3.45,8.5,21.37,16.94,25.0,,,,,,
2025-06-15,12.31,10.17,15.33,15.49,13.0,18.97,6.84,5.45,8.7,,,,6.1,3.45,8.5,21.39,16.97,25.0,,,,,,
2025-06-16,12.31,10.17,15.33,15.48,13.0,18.95,6.84,5.45,8.7,,,,6.1,3.45,8.5,21.41,17.0,25.0,,,,,,
2025-06-17,12.32,10.16,15.33,15.46,13.0,18.93,6.85,5.46,8.7,,,,6.11,3.44,8.5,21.44,17.03,25.0,,,,,,
