date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (poll),Negative (poll)
2016-08-15,51.72,48.0,54.0,27.56,20.58,35.53,54.0,19.0
2016-08-16,51.71,48.0,54.0,27.58,20.73,35.47,,
2016-08-17,51.69,48.0,54.0,27.61,20.91,35.41,48.0,36.0
2016-08-18,51.68,48.0,54.0,27.64,21.11,35.35,,
2016-08-19,51.66,48.0,54.0,27.67,21.3,35.29,,
2016-08-20,51.64,48.0,54.0,27.7,21.49,35.23,,
2016-08-21,51.62,48.0,54.0,27.73,21.69,35.17,,
2016-08-22,51.6,48.0,54.0,27.76,21.88,35.12,,
2016-08-23,51.58,48.0,54.0,27.79,22.07,35.06,,
2016-08-24,51.56,48.0,54.0,27.82,22.25,35.0,,
2016-08-25,51.54,48.0,54.0,27.85,22.43,34.95,,
2016-08-26,51.52,48.0,54.0,27.88,22.51,34.89,,
2016-08-27,51.5,48.0,54.0,27.91,22.6,34.84,,
2016-08-28,51.47,48.0,54.0,27.94,22.69,34.79,,
2016-08-29,51.45,48.0,54.0,27.98,22.7,34.74,,
2016-08-30,51.43,48.01,54.0,28.01,22.71,34.69,,
2016-08-31,51.41,48.02,54.0,28.04,22.73,34.64,,
2016-09-01,51.39,48.03,54.0,28.07,22.76,34.59,,
2016-09-02,51.38,48.05,54.0,28.11,22.84,34.55,,
2016-09-03,51.36,48.07,54.0,28.14,22.91,34.51,,
2016-09-04,51.34,48.09,54.0,28.17,22.99,34.46,,
2016-09-05,51.33,48.12,54.0,28.21,23.07,34.42,,
2016-09-06,51.32,48.16,54.0,28.24,23.15,34.38,,
2016-09-07,51.31,48.2,54.0,28.28,23.19,34.34,,
2016-09-08,51.3,48.23,54.0,28.31,23.22,34.3,,
2016-09-09,51.29,48.27,54.0,28.35,23.25,34.27,,
2016-09-10,51.29,48.33,54.0,28.38,23.3,34.23,,
2016-09-11,51.28,48.38,54.0,28.42,23.34,34.19,,
2016-09-12,51.28,48.44,54.0,28.45,23.38,34.16,,
2016-09-13,51.28,48.48,54.0,28.49,23.42,34.12,,
2016-09-14,51.28,48.55,54.0,28.52,23.47,34.09,54.0,27.0
2016-09-15,51.28,48.61,54.0,28.55,23.52,34.05,,
2016-09-16,51.28,48.67,54.0,28.59,23.58,34.02,,
2016-09-17,51.29,48.73,54.0,28.62,23.67,33.98,,
2016-09-18,51.29,48.8,54.0,28.66,23.77,33.95,,
2016-09-19,51.3,48.86,54.0,28.69,23.86,33.91,,
2016-09-20,51.31,48.89,54.0,28.73,23.96,33.88,,
2016-09-21,51.32,48.91,54.0,28.76,24.06,33.84,,
2016-09-22,51.32,48.91,54.0,28.79,24.17,33.81,,
2016-09-23,51.34,48.91,54.0,28.83,24.09,33.77,,
2016-09-24,51.35,48.9,54.0,28.86,24.22,33.73,,
2016-09-25,51.36,48.9,54.0,28.9,24.34,33.69,,
2016-09-26,51.37,48.9,54.0,28.93,24.49,33.57,,
2016-09-27,51.38,48.9,53.99,28.97,24.64,33.44,,
2016-09-28,51.4,48.91,53.99,29.01,24.79,33.32,,
2016-09-29,51.41,48.95,53.98,29.05,24.92,33.2,,
2016-09-30,51.42,48.97,53.97,29.09,25.06,33.07,,
2016-10-01,51.43,48.96,53.96,29.14,25.25,32.95,,
2016-10-02,51.44,48.95,53.94,29.19,25.4,32.86,,
2016-10-03,51.45,48.95,53.92,29.24,25.55,32.83,,
2016-10-04,51.46,48.93,53.9,29.29,25.75,32.8,,
2016-10-05,51.47,48.92,53.88,29.35,25.98,32.77,,
2016-10-06,51.48,48.91,53.85,29.4,26.2,32.72,,
2016-10-07,51.49,48.91,53.82,29.46,26.45,32.65,,
2016-10-08,51.5,48.87,53.79,29.53,26.69,32.63,,
2016-10-09,51.5,48.84,53.76,29.59,26.93,32.54,,
2016-10-10,51.51,48.81,53.72,29.66,27.01,32.56,,
