date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (poll),Negative (poll)
2010-09-27,35.6,33.4,37.87,25.47,23.25,28.23,43.0,23.0
2010-09-28,35.56,33.36,37.8,25.6,23.36,28.37,,
2010-09-29,35.52,33.3,37.71,25.72,23.43,28.5,,
2010-09-30,35.48,33.27,37.6,25.85,23.51,28.61,,
2010-10-01,35.43,33.24,37.5,25.98,23.62,28.76,32.0,20.0
2010-10-02,35.39,33.21,37.39,26.11,23.7,29.0,,
2010-10-03,35.34,33.19,37.34,26.25,23.84,29.21,,
2010-10-04,35.29,33.18,37.31,26.38,23.97,29.38,,
2010-10-05,35.25,33.16,37.23,26.52,24.11,29.54,,
2010-10-06,35.2,33.15,37.15,26.66,24.25,29.67,,
2010-10-07,35.15,33.13,37.08,26.8,24.41,29.81,,
2010-10-08,35.1,33.11,37.03,26.94,24.57,29.94,30.0,22.0
2010-10-09,35.06,33.1,36.96,27.08,24.7,30.03,,
2010-10-10,35.01,33.09,36.91,27.22,24.83,30.11,,
2010-10-11,34.96,33.09,36.85,27.36,24.96,30.19,,
2010-10-12,34.91,33.08,36.79,27.5,25.1,30.29,,
2010-10-13,34.87,33.08,36.74,27.64,25.2,30.43,,
2010-10-14,34.82,33.07,36.68,27.78,25.32,30.54,,
2010-10-15,34.77,33.07,36.57,27.91,25.42,30.6,38.0,20.0
2010-10-16,34.73,33.01,36.45,28.04,25.55,30.68,,
2010-10-17,34.68,32.97,36.34,28.18,25.66,30.85,41.0,22.0
2010-10-18,34.64,32.92,36.29,28.31,25.77,31.09,,
2010-10-19,34.6,32.88,36.24,28.43,25.88,31.33,,
2010-10-20,34.56,32.85,36.2,28.56,25.98,31.49,,
2010-10-21,34.51,32.81,36.15,28.68,26.08,31.68,,
2010-10-22,34.47,32.78,36.1,28.81,26.13,31.8,35.0,26.0
2010-10-23,34.43,32.76,36.05,28.93,26.24,31.92,,
2010-10-24,34.4,32.73,36.0,29.05,26.38,32.03,,
2010-10-25,34.36,32.71,35.95,29.17,26.46,32.13,,
2010-10-26,34.32,32.7,35.9,29.29,26.56,32.23,,
2010-10-27,34.28,32.69,35.85,29.41,26.66,32.32,,
2010-10-28,34.24,32.68,35.81,29.53,26.79,32.4,,
2010-10-29,34.2,32.66,35.76,29.65,26.92,32.51,34.0,32.0
2010-10-30,34.16,32.65,35.71,29.78,27.04,32.64,,
2010-10-31,34.13,32.61,35.65,29.9,27.13,32.77,,
2010-11-01,34.09,32.58,35.6,30.02,27.24,32.84,,
2010-11-02,34.05,32.56,35.56,30.15,27.34,32.9,,
2010-11-03,34.01,32.55,35.5,30.28,27.44,32.97,,
2010-11-04,33.97,32.53,35.45,30.41,27.55,33.11,,
2010-11-05,33.93,32.51,35.39,30.54,27.66,33.24,35.0,31.0
2010-11-06,33.89,32.5,35.34,30.67,27.79,33.37,,
2010-11-07,33.86,32.47,35.28,30.81,27.91,33.5,,
2010-11-08,33.82,32.43,35.23,30.95,28.02,33.7,,
2010-11-09,33.78,32.38,35.18,31.09,28.15,33.86,,
2010-11-10,33.74,32.34,35.13,31.24,28.28,34.02,,
2010-11-11,33.7,32.3,35.05,31.39,28.43,34.21,,
2010-11-12,33.66,32.27,35.0,31.54,28.58,34.41,33.0,31.0
2010-11-13,33.62,32.22,34.94,31.7,28.73,34.55,,
2010-11-14,33.59,32.18,34.88,31.86,28.9,34.66,38.0,29.0
2010-11-15,33.55,32.15,34.85,32.02,29.05,34.82,,
2010-11-16,33.51,32.14,34.83,32.19,29.25,34.91,,
2010-11-17,33.47,32.14,34.78,32.36,29.43,35.03,,
2010-11-18,33.44,32.13,34.68,32.54,29.71,35.21,,
2010-11-19,33.4,32.09,34.67,32.72,29.86,35.4,32.0,31.0
2010-11-20,33.37,32.06,34.64,32.9,30.02,35.59,,
2010-11-21,33.33,32.03,34.58,33.08,30.24,35.76,,
2010-11-22,33.3,31.99,34.52,33.27,30.45,35.91,,
2010-11-23,33.27,31.92,34.53,33.46,30.68,36.09,,
2010-11-24,33.24,31.85,34.5,33.66,30.86,36.25,,
2010-11-25,33.2,31.79,34.45,33.86,31.04,36.4,,
2010-11-26,33.17,31.78,34.43,34.06,31.21,36.56,28.0,37.0
2010-11-27,33.14,31.79,34.42,34.26,31.38,36.72,,
2010-11-28,33.11,31.76,34.4,34.47,31.56,36.9,,
2010-11-29,33.09,31.78,34.37,34.68,31.76,37.1,,
2010-11-30,33.06,31.76,34.31,34.89,31.96,37.29,,
2010-12-01,33.03,31.72,34.27,35.1,32.22,37.49,,
2010-12-02,33.01,31.71,34.26,35.31,32.49,37.69,,
2010-12-03,32.98,31.71,34.25,35.53,32.72,37.91,30.0,44.0
2010-12-04,32.96,31.72,34.24,35.75,32.94,38.14,,
2010-12-05,32.93,31.7,34.2,35.96,33.16,38.37,,
2010-12-06,32.91,31.68,34.15,36.18,33.37,38.59,,
2010-12-07,32.89,31.66,34.11,36.4,33.6,38.71,,
2010-12-08,32.87,31.66,34.09,36.61,33.83,38.86,,
2010-12-09,32.85,31.64,34.07,36.83,34.13,39.04,,
2010-12-10,32.83,31.62,34.05,37.04,34.39,39.22,29.0,44.0
2010-12-11,32.81,31.59,34.03,37.26,34.6,39.4,,
2010-12-12,32.8,31.56,34.04,37.47,34.81,39.57,35.0,34.0
2010-12-13,32.78,31.52,34.04,37.68,35.06,39.76,,
2010-12-14,32.77,31.5,34.04,37.89,35.29,39.97,,
2010-12-15,32.75,31.46,34.05,38.09,35.51,40.17,,
2010-12-16,32.74,31.46,34.06,38.29,35.7,40.35,,
2010-12-17,32.72,31.45,34.04,38.5,35.85,40.57,30.0,44.0
2010-12-18,32.71,31.44,34.01,38.69,36.09,40.72,,
2010-12-19,32.7,31.42,33.98,38.89,36.34,40.87,,
2010-12-20,32.69,31.41,33.96,39.08,36.58,41.13,,
2010-12-21,32.68,31.4,33.94,39.27,36.78,41.34,,
2010-12-22,32.67,31.4,33.93,39.46,36.97,41.44,,
2010-12-23,32.66,31.36,33.92,39.64,37.16,41.53,,
2010-12-24,32.65,31.36,33.92,39.82,37.33,41.69,,
2010-12-25,32.64,31.37,33.91,40.0,37.51,41.85,,
2010-12-26,32.64,31.38,33.9,40.17,37.73,42.01,,
2010-12-27,32.63,31.38,33.91,40.34,37.95,42.18,,
2010-12-28,32.63,31.38,33.9,40.51,38.09,42.28,,
2010-12-29,32.63,31.37,33.87,40.67,38.22,42.43,,
2010-12-30,32.63,31.36,33.88,40.83,38.46,42.58,,
2010-12-31,32.64,31.36,33.88,40.98,38.67,42.71,,
2011-01-01,32.64,31.35,33.89,41.13,38.91,42.85,,
2011-01-02,32.65,31.35,33.89,41.28,39.15,42.97,,
2011-01-03,32.66,31.35,33.9,41.43,39.31,43.09,,
2011-01-04,32.66,31.36,33.91,41.57,39.52,43.21,,
