subgroup,Positive latest,Positive 2m ago,Positive 6m ago,Negative latest,Negative 2m ago,Negative 6m ago
65+,12.9,12.0,10.1,71.87,74.5,76.2
50-64,16.55,17.0,15.7,65.19,65.5,65.3
35-49,18.74,18.1,17.7,57.31,59.1,59.1
18-34,26.11,26.3,26.5,46.62,46.5,44.7
C2DE voters,,,,,,
ABC1 voters,,,,,,
London,26.31,26.2,25.8,51.41,50.7,47.1
Southern England,15.69,15.8,15.0,65.03,64.8,64.5
Northern England,18.39,18.4,17.5,60.88,60.7,62.7
Midlands,16.78,16.7,17.0,62.03,62.2,62.0
UK/GB,20.59,19.9,18.5,60.78,62.2,60.0
Scotland,17.78,17.6,16.9,59.07,59.5,61.5
Wales,18.71,18.8,17.0,60.02,60.1,60.9
