date,Positive (post-2024 election),Positive (post-2024 election) (low),Positive (post-2024 election) (high),Negative (post-2024 election),Negative (post-2024 election) (low),Negative (post-2024 election) (high),Positive (poll),Negative (poll)
2024-07-05,30.61,29.11,31.67,34.85,29.82,40.11,32.0,30.0
2024-07-06,30.56,29.07,31.62,35.04,30.04,40.26,,
2024-07-07,30.52,29.03,31.59,35.22,30.26,40.45,,
2024-07-08,30.47,28.98,31.57,35.39,30.47,40.63,36.0,21.0
2024-07-09,30.43,28.94,31.55,35.56,30.68,40.79,,
2024-07-10,30.38,28.91,31.52,35.73,30.89,40.95,,
2024-07-11,30.34,28.87,31.48,35.89,31.1,41.1,31.0,16.0
2024-07-12,30.29,28.83,31.44,36.05,31.25,41.26,,
2024-07-13,30.25,28.79,31.39,36.21,31.39,41.43,,
2024-07-14,30.2,28.76,31.35,36.36,31.53,41.61,,
2024-07-15,30.15,28.71,31.32,36.51,31.67,41.8,,
2024-07-16,30.11,28.65,31.27,36.66,31.81,41.99,,
2024-07-17,30.06,28.59,31.22,36.81,31.96,42.17,31.0,17.0
2024-07-18,30.01,28.55,31.16,36.95,32.14,42.36,,
2024-07-19,29.96,28.49,31.09,37.09,32.31,42.54,,
2024-07-20,29.91,28.43,31.03,37.23,32.5,42.62,,
2024-07-21,29.86,28.37,30.97,37.37,32.69,42.68,,
2024-07-22,29.81,28.31,30.93,37.51,32.91,42.75,,
2024-07-23,29.75,28.25,30.89,37.65,33.07,42.81,,
2024-07-24,29.7,28.2,30.85,37.79,33.25,42.88,,
2024-07-25,29.64,28.16,30.8,37.93,33.45,42.95,34.0,37.0
2024-07-26,29.59,28.13,30.74,38.07,33.64,43.02,,
2024-07-27,29.53,28.09,30.67,38.21,33.77,43.09,,
2024-07-28,29.48,28.04,30.62,38.36,33.91,43.17,,
2024-07-29,29.42,27.96,30.56,38.5,34.05,43.25,,
2024-07-30,29.37,27.91,30.53,38.65,34.2,43.33,32.0,51.0
2024-07-31,29.31,27.85,30.5,38.79,34.43,43.41,28.0,31.0
2024-08-01,29.25,27.79,30.47,38.94,34.63,43.51,34.0,30.0
2024-08-02,29.19,27.72,30.44,39.09,34.78,43.62,,
2024-08-03,29.13,27.68,30.41,39.23,34.94,43.73,,
2024-08-04,29.08,27.63,30.38,39.38,35.09,43.84,,
2024-08-05,29.02,27.58,30.35,39.53,35.25,43.93,34.0,46.0
2024-08-06,28.96,27.53,30.32,39.69,35.41,44.03,,
2024-08-07,28.9,27.49,30.26,39.84,35.58,44.12,26.5,36.5
2024-08-08,28.84,27.43,30.19,39.99,35.74,44.21,,
2024-08-09,28.78,27.37,30.12,40.14,35.92,44.3,,
2024-08-10,28.72,27.3,30.06,40.3,36.09,44.38,,
2024-08-11,28.66,27.24,29.98,40.45,36.26,44.42,,
2024-08-12,28.6,27.17,29.91,40.61,36.41,44.46,,
2024-08-13,28.54,27.12,29.84,40.76,36.59,44.54,,
2024-08-14,28.48,27.04,29.78,40.92,36.8,44.62,29.0,45.5
2024-08-15,28.41,26.97,29.7,41.08,37.0,44.71,,
2024-08-16,28.35,26.91,29.65,41.24,37.21,44.81,,
2024-08-17,28.29,26.84,29.61,41.4,37.43,44.9,,
2024-08-18,28.23,26.78,29.56,41.56,37.65,45.0,,
2024-08-19,28.16,26.72,29.54,41.73,37.88,45.09,,
2024-08-20,28.1,26.66,29.52,41.89,38.1,45.14,,
2024-08-21,28.03,26.59,29.49,42.06,38.33,45.27,,
2024-08-22,27.97,26.52,29.47,42.22,38.57,45.35,,
2024-08-23,27.9,26.46,29.44,42.39,38.82,45.42,,
2024-08-24,27.84,26.4,29.42,42.56,39.08,45.5,23.0,43.0
2024-08-25,27.77,26.32,29.39,42.74,39.3,45.57,,
2024-08-26,27.7,26.25,29.33,42.91,39.59,45.65,,
2024-08-27,27.63,26.16,29.26,43.09,39.88,45.78,,
2024-08-28,27.56,26.08,29.2,43.26,40.1,45.85,31.0,53.0
2024-08-29,27.49,25.99,29.13,43.44,40.34,46.0,24.0,44.0
2024-08-30,27.42,25.9,29.06,43.62,40.57,46.17,,
2024-08-31,27.34,25.8,28.99,43.8,40.83,46.35,,
2024-09-01,27.27,25.7,28.92,43.99,41.09,46.46,,
2024-09-02,27.19,25.63,28.84,44.17,41.37,46.58,26.0,44.5
2024-09-03,27.11,25.56,28.76,44.35,41.65,46.82,,
2024-09-04,27.03,25.51,28.66,44.54,41.94,46.95,32.0,46.0
2024-09-05,26.95,25.43,28.56,44.72,42.13,47.05,,
2024-09-06,26.87,25.36,28.46,44.91,42.42,47.26,32.0,46.0
2024-09-07,26.79,25.29,28.36,45.09,42.72,47.47,,
2024-09-08,26.71,25.22,28.28,45.27,43.01,47.64,,
2024-09-09,26.63,25.13,28.22,45.45,43.19,47.85,,
2024-09-10,26.54,25.06,28.16,45.63,43.51,48.0,,
2024-09-11,26.46,24.98,28.1,45.8,43.76,48.08,,
2024-09-12,26.38,24.92,28.03,45.97,43.94,48.24,,
2024-09-13,26.29,24.86,27.96,46.14,44.16,48.4,,
2024-09-14,26.21,24.75,27.87,46.31,44.39,48.54,,
2024-09-15,26.13,24.65,27.78,46.47,44.57,48.69,,
2024-09-16,26.05,24.55,27.7,46.63,44.75,48.86,,
2024-09-17,25.96,24.49,27.61,46.78,44.89,48.99,,
2024-09-18,25.88,24.39,27.53,46.93,45.04,49.14,21.0,51.0
