date,Positive (post-2024 election),Positive (post-2024 election) (low),Positive (post-2024 election) (high),Negative (post-2024 election),Negative (post-2024 election) (low),Negative (post-2024 election) (high),Positive (poll),Negative (poll)
2024-07-05,23.3,21.89,24.67,45.7,40.19,51.35,25.0,40.0
2024-07-06,23.25,21.84,24.6,45.9,40.44,51.51,,
2024-07-07,23.2,21.79,24.54,46.09,40.61,51.61,,
2024-07-08,23.15,21.74,24.48,46.28,40.9,51.69,29.0,31.0
2024-07-09,23.11,21.7,24.42,46.47,41.19,51.78,,
2024-07-10,23.06,21.65,24.36,46.65,41.47,51.92,,
2024-07-11,23.01,21.61,24.31,46.83,41.7,52.06,24.0,25.0
2024-07-12,22.96,21.58,24.25,47.0,41.91,52.2,,
2024-07-13,22.92,21.54,24.19,47.16,42.15,52.33,,
2024-07-14,22.87,21.51,24.13,47.33,42.39,52.47,,
2024-07-15,22.82,21.47,24.06,47.49,42.6,52.58,,
2024-07-16,22.77,21.44,23.99,47.64,42.76,52.68,,
2024-07-17,22.72,21.4,23.93,47.8,42.93,52.73,24.0,28.0
2024-07-18,22.68,21.36,23.86,47.95,43.1,52.79,,
2024-07-19,22.63,21.33,23.79,48.1,43.27,52.85,,
2024-07-20,22.58,21.29,23.73,48.25,43.44,52.91,,
2024-07-21,22.52,21.25,23.69,48.4,43.62,52.97,,
2024-07-22,22.47,21.21,23.65,48.54,43.81,53.03,,
2024-07-23,22.42,21.17,23.6,48.7,44.0,53.11,,
2024-07-24,22.36,21.13,23.57,48.85,44.2,53.18,,
2024-07-25,22.31,21.09,23.5,49.0,44.41,53.29,27.0,46.0
2024-07-26,22.25,21.05,23.43,49.16,44.59,53.43,,
2024-07-27,22.19,21.01,23.36,49.31,44.72,53.56,,
2024-07-28,22.14,20.97,23.31,49.47,44.84,53.71,,
2024-07-29,22.08,20.91,23.27,49.64,44.98,53.86,,
2024-07-30,22.02,20.82,23.23,49.8,45.12,54.0,25.0,60.0
2024-07-31,21.96,20.73,23.19,49.97,45.3,54.15,22.0,41.0
2024-08-01,21.9,20.65,23.12,50.13,45.55,54.24,27.0,40.0
2024-08-02,21.84,20.56,23.04,50.3,45.81,54.33,,
2024-08-03,21.77,20.47,22.98,50.48,46.06,54.48,,
2024-08-04,21.71,20.39,22.92,50.65,46.24,54.62,,
2024-08-05,21.65,20.3,22.81,50.83,46.44,54.76,23.0,63.0
2024-08-06,21.58,20.22,22.75,51.01,46.63,54.97,,
2024-08-07,21.52,20.13,22.72,51.19,46.84,55.11,20.0,47.0
2024-08-08,21.45,20.05,22.67,51.37,47.05,55.21,,
2024-08-09,21.39,19.97,22.6,51.55,47.27,55.38,,
2024-08-10,21.32,19.91,22.57,51.74,47.52,55.57,,
2024-08-11,21.26,19.85,22.53,51.92,47.77,55.76,,
2024-08-12,21.19,19.75,22.49,52.11,48.02,55.95,,
2024-08-13,21.12,19.65,22.45,52.3,48.28,56.14,,
2024-08-14,21.05,19.56,22.38,52.49,48.54,56.32,20.5,58.5
2024-08-15,20.99,19.48,22.31,52.68,48.82,56.5,,
2024-08-16,20.92,19.4,22.23,52.88,49.09,56.68,,
2024-08-17,20.85,19.32,22.17,53.07,49.37,56.86,,
2024-08-18,20.78,19.24,22.11,53.27,49.65,57.04,,
2024-08-19,20.71,19.18,22.06,53.47,49.96,57.18,,
2024-08-20,20.64,19.12,22.0,53.67,50.22,57.3,,
2024-08-21,20.57,19.01,21.94,53.87,50.44,57.44,,
2024-08-22,20.5,18.93,21.88,54.08,50.67,57.56,,
2024-08-23,20.43,18.85,21.81,54.28,50.88,57.72,,
2024-08-24,20.36,18.78,21.74,54.49,51.08,57.9,16.0,53.0
2024-08-25,20.29,18.7,21.68,54.7,51.29,58.09,,
2024-08-26,20.21,18.62,21.61,54.91,51.51,58.35,,
2024-08-27,20.14,18.54,21.54,55.13,51.71,58.51,,
2024-08-28,20.06,18.48,21.47,55.35,51.94,58.69,24.0,63.0
2024-08-29,19.99,18.42,21.4,55.57,52.17,58.87,17.0,54.0
2024-08-30,19.91,18.36,21.33,55.8,52.44,59.03,,
2024-08-31,19.83,18.3,21.25,56.03,52.82,59.18,,
2024-09-01,19.75,18.22,21.17,56.26,53.19,59.41,,
2024-09-02,19.66,18.16,21.08,56.5,53.39,59.59,18.0,60.0
2024-09-03,19.58,18.08,20.99,56.73,53.66,59.76,,
2024-09-04,19.5,17.98,20.9,56.97,54.0,59.94,25.0,56.0
2024-09-05,19.41,17.86,20.8,57.22,54.37,60.11,,
2024-09-06,19.32,17.8,20.73,57.46,54.73,60.29,25.0,56.0
2024-09-07,19.23,17.7,20.65,57.71,55.08,60.54,,
2024-09-08,19.14,17.58,20.57,57.95,55.34,60.69,,
2024-09-09,19.05,17.52,20.47,58.2,55.6,60.89,,
2024-09-10,18.96,17.44,20.37,58.44,55.87,61.06,,
2024-09-11,18.87,17.33,20.3,58.69,56.11,61.32,,
2024-09-12,18.78,17.22,20.23,58.93,56.39,61.53,,
2024-09-13,18.69,17.13,20.14,59.17,56.61,61.76,,
2024-09-14,18.59,17.06,20.05,59.41,56.83,61.99,,
2024-09-15,18.5,17.0,19.92,59.65,57.06,62.23,,
2024-09-16,18.41,16.94,19.82,59.88,57.33,62.52,,
2024-09-17,18.32,16.89,19.74,60.11,57.55,62.72,,
2024-09-18,18.22,16.83,19.67,60.34,57.75,63.04,14.0,61.0
2024-09-19,18.13,16.77,19.57,60.57,58.01,63.25,,
2024-09-20,18.04,16.69,19.49,60.79,58.25,63.43,,
2024-09-21,17.95,16.64,19.41,61.0,58.48,63.59,,
2024-09-22,17.86,16.58,19.28,61.22,58.68,63.77,,
2024-09-23,17.77,16.5,19.19,61.43,58.9,63.92,,
2024-09-24,17.68,16.41,19.09,61.64,59.13,64.12,12.0,58.0
2024-09-25,17.58,16.33,18.99,61.84,59.34,64.34,14.0,64.0
2024-09-26,17.49,16.25,18.89,62.05,59.57,64.55,,
2024-09-27,17.4,16.15,18.8,62.25,59.82,64.76,,
2024-09-28,17.31,16.05,18.71,62.45,60.02,64.98,,
2024-09-29,17.22,15.94,18.6,62.65,60.22,65.17,,
2024-09-30,17.12,15.82,18.49,62.85,60.47,65.39,,
2024-10-01,17.03,15.71,18.37,63.05,60.69,65.58,,
2024-10-02,16.94,15.6,18.28,63.25,60.85,65.75,,
2024-10-03,16.84,15.49,18.2,63.45,60.99,65.93,12.0,72.0
2024-10-04,16.75,15.38,18.1,63.64,61.16,66.1,17.0,76.0
2024-10-05,16.66,15.28,18.01,63.84,61.32,66.3,,
2024-10-06,16.57,15.2,17.92,64.04,61.51,66.47,,
2024-10-07,16.47,15.14,17.82,64.24,61.7,66.64,17.0,75.0
2024-10-08,16.38,15.06,17.74,64.44,61.9,66.77,,
2024-10-09,16.29,14.96,17.64,64.63,62.09,66.97,,
2024-10-10,16.2,14.87,17.55,64.83,62.28,67.18,,
2024-10-11,16.11,14.81,17.45,65.03,62.49,67.39,,
2024-10-12,16.02,14.75,17.35,65.23,62.69,67.57,,
2024-10-13,15.93,14.64,17.2,65.42,62.89,67.78,,
2024-10-14,15.84,14.54,17.1,65.62,63.09,68.03,,
2024-10-15,15.75,14.47,17.01,65.81,63.31,68.26,,
2024-10-16,15.67,14.4,16.91,66.0,63.51,68.44,12.0,67.0
2024-10-17,15.58,14.3,16.81,66.19,63.74,68.61,,
2024-10-18,15.5,14.27,16.7,66.38,63.91,68.83,,
2024-10-19,15.41,14.21,16.59,66.57,64.09,69.02,,
2024-10-20,15.33,14.15,16.48,66.76,64.31,69.22,,
2024-10-21,15.25,14.09,16.37,66.95,64.6,69.42,,
2024-10-22,15.17,13.99,16.26,67.13,64.83,69.62,,
2024-10-23,15.09,13.92,16.15,67.32,65.03,69.82,,
2024-10-24,15.0,13.89,16.02,67.51,65.16,70.0,,
2024-10-25,14.93,13.87,15.93,67.7,65.37,70.13,,
2024-10-26,14.85,13.85,15.82,67.89,65.61,70.26,,
2024-10-27,14.77,13.81,15.72,68.08,65.92,70.39,,
2024-10-28,14.69,13.77,15.62,68.27,66.16,70.55,16.0,68.0
2024-10-29,14.61,13.71,15.53,68.45,66.38,70.67,,
2024-10-30,14.54,13.64,15.42,68.64,66.61,70.85,,
2024-10-31,14.46,13.55,15.3,68.82,66.84,71.02,,
2024-11-01,14.39,13.48,15.22,69.0,67.06,71.17,,
2024-11-02,14.32,13.42,15.14,69.18,67.28,71.31,,
2024-11-03,14.25,13.35,15.07,69.35,67.49,71.56,,
2024-11-04,14.19,13.29,15.01,69.53,67.69,71.73,,
2024-11-05,14.12,13.24,14.95,69.69,67.88,71.84,,
2024-11-06,14.06,13.19,14.87,69.85,68.04,71.93,,
2024-11-07,14.0,13.16,14.78,70.01,68.21,72.03,,
2024-11-08,13.94,13.14,14.7,70.16,68.38,72.23,16.0,77.0
2024-11-09,13.89,13.11,14.62,70.3,68.52,72.42,12.0,67.0
2024-11-10,13.84,13.09,14.55,70.44,68.65,72.58,,
2024-11-11,13.8,13.04,14.51,70.57,68.77,72.69,13.0,64.0
2024-11-12,13.76,12.98,14.47,70.69,68.92,72.79,,
2024-11-13,13.72,12.93,14.48,70.81,69.06,72.89,13.0,71.0
2024-11-14,13.68,12.89,14.43,70.92,69.17,72.95,,
2024-11-15,13.65,12.86,14.42,71.02,69.28,73.04,,
2024-11-16,13.62,12.82,14.41,71.12,69.38,73.1,,
2024-11-17,13.59,12.78,14.4,71.21,69.47,73.17,,
2024-11-18,13.56,12.75,14.37,71.29,69.56,73.28,,
2024-11-19,13.54,12.75,14.34,71.37,69.64,73.39,,
2024-11-20,13.52,12.74,14.33,71.44,69.72,73.49,,
2024-11-21,13.5,12.72,14.31,71.51,69.81,73.59,,
2024-11-22,13.48,12.7,14.3,71.58,69.89,73.66,,
2024-11-23,13.46,12.68,14.28,71.64,69.96,73.78,,
2024-11-24,13.43,12.66,14.26,71.7,70.02,73.83,,
2024-11-25,13.41,12.66,14.24,71.76,70.05,73.87,,
2024-11-26,13.39,12.64,14.22,71.82,70.08,73.91,,
2024-11-27,13.37,12.62,14.2,71.87,70.12,73.97,,
2024-11-28,13.34,12.63,14.18,71.92,70.16,74.04,,
2024-11-29,13.32,12.62,14.16,71.97,70.2,74.1,,
2024-11-30,13.29,12.58,14.13,72.02,70.24,74.16,,
2024-12-01,13.27,12.55,14.11,72.07,70.27,74.22,,
2024-12-02,13.24,12.51,14.08,72.11,70.3,74.29,,
2024-12-03,13.22,12.47,14.04,72.15,70.33,74.33,,
2024-12-04,13.19,12.44,14.01,72.19,70.38,74.37,16.0,74.0
2024-12-05,13.16,12.41,13.99,72.23,70.44,74.41,,
2024-12-06,13.13,12.38,13.97,72.26,70.5,74.45,,
2024-12-07,13.1,12.33,13.96,72.3,70.55,74.48,,
2024-12-08,13.08,12.29,13.94,72.33,70.61,74.52,,
2024-12-09,13.05,12.26,13.91,72.37,70.66,74.56,,
2024-12-10,13.02,12.24,13.9,72.4,70.72,74.59,10.0,67.0
2024-12-11,12.99,12.19,13.89,72.43,70.76,74.63,,
2024-12-12,12.96,12.16,13.87,72.46,70.77,74.66,,
2024-12-13,12.93,12.14,13.85,72.5,70.79,74.69,,
2024-12-14,12.91,12.12,13.81,72.53,70.83,74.72,,
2024-12-15,12.88,12.07,13.77,72.56,70.87,74.75,,
2024-12-16,12.85,12.03,13.75,72.6,70.91,74.77,14.0,79.0
2024-12-17,12.83,11.99,13.74,72.63,70.95,74.79,,
2024-12-18,12.8,11.97,13.74,72.67,70.99,74.84,,
2024-12-19,12.77,11.95,13.72,72.7,71.04,74.88,,
2024-12-20,12.75,11.92,13.7,72.74,71.08,74.91,12.0,66.0
2024-12-21,12.72,11.89,13.69,72.77,71.14,74.94,,
2024-12-22,12.7,11.86,13.67,72.81,71.18,74.97,,
2024-12-23,12.67,11.84,13.64,72.85,71.22,75.0,13.0,77.5
2024-12-24,12.65,11.83,13.62,72.88,71.27,75.0,,
