date,Positive (post-2024 election),Positive (post-2024 election) (low),Positive (post-2024 election) (high),Negative (post-2024 election),Negative (post-2024 election) (low),Negative (post-2024 election) (high),Positive (poll),Negative (poll)
2025-02-07,18.85,17.0,20.0,63.0,63.0,63.0,20.0,63.0
2025-02-08,18.82,17.0,20.0,63.0,63.0,63.0,,
2025-02-09,18.8,17.0,20.0,63.0,63.0,63.0,,
2025-02-10,18.77,17.0,20.0,63.0,63.0,63.0,,
2025-02-11,18.75,17.0,20.0,63.0,63.0,63.0,,
2025-02-12,18.73,17.0,23.0,63.0,53.0,63.0,,
2025-02-13,18.71,17.0,23.0,63.0,53.0,63.0,,
2025-02-14,18.7,17.0,23.0,62.99,53.0,63.0,,
2025-02-15,18.68,17.01,23.0,62.98,53.0,63.0,,
2025-02-16,18.67,17.01,23.0,62.97,53.0,63.0,,
2025-02-17,18.67,17.0,23.0,62.95,53.0,63.0,,
2025-02-18,18.66,17.0,22.95,62.93,53.08,63.0,,
2025-02-19,18.66,17.0,22.71,62.9,53.44,63.01,,
2025-02-20,18.65,16.99,22.33,62.87,54.02,63.04,,
2025-02-21,18.64,16.97,21.88,62.85,54.72,63.09,,
2025-02-22,18.62,16.94,21.41,62.83,55.44,63.16,,
2025-02-23,18.59,16.89,20.95,62.83,56.14,63.26,,
2025-02-24,18.56,16.8,20.53,62.83,56.79,63.38,,
2025-02-25,18.51,16.72,20.26,62.84,57.39,63.67,,
2025-02-26,18.46,16.4,20.27,62.86,57.94,63.96,,
2025-02-27,18.4,16.14,20.24,62.89,58.44,64.3,,
2025-02-28,18.33,15.93,20.16,62.93,58.88,64.68,,
2025-03-01,18.25,15.72,20.06,62.98,59.29,65.2,,
2025-03-02,18.16,15.49,20.07,63.05,59.56,65.65,,
2025-03-03,18.07,15.26,20.08,63.12,59.65,66.04,,
2025-03-04,17.97,15.03,20.16,63.19,59.42,66.38,,
2025-03-05,17.87,14.8,20.05,63.28,59.19,66.69,,
2025-03-06,17.76,14.46,19.93,63.37,59.14,67.03,,
2025-03-07,17.65,14.14,19.82,63.46,59.08,67.41,,
2025-03-08,17.53,13.84,19.72,63.56,59.03,67.77,,
2025-03-09,17.42,13.56,19.62,63.67,58.84,68.12,,
2025-03-10,17.3,13.35,19.53,63.77,58.65,68.45,,
2025-03-11,17.18,13.24,19.56,63.88,58.58,68.77,,
2025-03-12,17.06,13.14,19.6,63.99,58.57,69.07,,
2025-03-13,16.95,13.05,19.65,64.1,58.69,69.32,,
2025-03-14,16.83,12.97,19.69,64.21,58.79,69.5,,
2025-03-15,16.71,12.89,19.73,64.32,58.89,69.68,,
2025-03-16,16.6,12.82,19.76,64.43,58.99,69.83,,
2025-03-17,16.49,12.64,19.77,64.53,59.08,69.98,,
2025-03-18,16.37,12.44,19.78,64.64,59.16,70.12,,
2025-03-19,16.27,12.25,19.79,64.75,59.24,70.32,,
2025-03-20,16.16,12.07,19.8,64.85,59.32,70.61,,
2025-03-21,16.05,11.92,19.81,64.95,59.39,70.88,17.0,63.0
2025-03-22,15.95,11.82,19.81,65.05,59.46,71.15,,
2025-03-23,15.85,11.74,19.83,65.15,59.53,71.41,,
2025-03-24,15.75,11.66,19.83,65.24,59.59,71.67,,
2025-03-25,15.66,10.81,20.07,65.34,59.5,72.26,,
2025-03-26,15.57,10.64,20.48,65.43,58.7,72.29,,
2025-03-27,15.48,10.56,20.52,65.51,58.6,72.47,,
2025-03-28,15.39,10.49,20.55,65.59,58.47,72.68,,
2025-03-29,15.31,10.42,20.59,65.67,58.35,72.86,,
2025-03-30,15.23,10.37,20.63,65.73,58.22,73.03,,
2025-03-31,15.16,10.33,20.67,65.79,58.11,73.17,,
2025-04-01,15.1,10.28,20.71,65.83,57.98,73.27,,
2025-04-02,15.04,10.26,20.75,65.87,57.86,73.36,,
2025-04-03,14.99,10.18,20.79,65.9,57.64,73.41,,
2025-04-04,14.94,10.1,20.84,65.91,57.26,73.42,,
2025-04-05,14.9,10.04,20.9,65.92,56.88,73.44,,
2025-04-06,14.87,10.0,20.99,65.91,56.71,73.41,,
2025-04-07,14.84,9.94,21.04,65.9,56.55,73.35,,
2025-04-08,14.82,9.93,21.11,65.88,56.42,73.18,,
2025-04-09,14.8,9.93,21.18,65.84,55.91,72.98,,
2025-04-10,14.79,9.99,21.26,65.8,55.8,72.75,,
2025-04-11,14.79,10.08,21.32,65.75,55.58,72.51,,
2025-04-12,14.79,10.19,21.36,65.69,55.41,72.4,,
2025-04-13,14.79,10.3,21.41,65.63,55.3,72.42,,
2025-04-14,14.81,10.34,21.47,65.55,55.18,72.39,,
2025-04-15,14.82,10.39,21.52,65.47,55.05,72.2,,
2025-04-16,14.84,10.33,21.57,65.39,54.86,72.02,,
2025-04-17,14.87,10.37,21.63,65.3,54.53,71.94,,
2025-04-18,14.9,10.47,21.67,65.2,54.21,71.87,,
2025-04-19,14.93,10.56,21.73,65.1,53.89,71.95,,
2025-04-20,14.96,10.65,21.81,65.0,53.59,72.01,,
2025-04-21,15.0,10.7,21.92,64.89,53.28,72.07,,
2025-04-22,15.04,10.64,22.03,64.79,53.04,72.1,,
2025-04-23,15.08,10.6,22.14,64.68,53.01,72.18,,
2025-04-24,15.13,10.55,22.24,64.56,52.98,72.27,,
2025-04-25,15.17,10.52,22.34,64.45,52.97,72.35,,
2025-04-26,15.22,10.48,22.44,64.34,52.95,72.42,,
2025-04-27,15.27,10.42,22.54,64.22,52.94,72.5,,
2025-04-28,15.32,10.37,22.63,64.11,52.84,72.57,,
2025-04-29,15.37,10.32,22.33,64.0,52.94,72.65,,
2025-04-30,15.41,10.26,22.4,63.89,52.9,72.73,,
2025-05-01,15.46,10.21,22.47,63.77,52.77,72.81,,
2025-05-02,15.51,10.15,22.54,63.67,52.43,72.9,23.0,53.0
2025-05-03,15.55,10.09,22.59,63.56,52.1,72.99,,
2025-05-04,15.6,10.02,22.64,63.45,51.74,73.08,,
2025-05-05,15.64,9.96,22.69,63.35,51.56,73.17,,
2025-05-06,15.68,9.89,22.74,63.25,51.4,73.27,,
2025-05-07,15.72,9.82,22.79,63.15,51.19,73.37,,
2025-05-08,15.76,9.75,22.84,63.06,50.97,73.48,8.0,76.0
2025-05-09,15.8,9.67,22.9,62.97,50.75,73.58,,
2025-05-10,15.83,9.6,22.94,62.88,50.71,73.69,,
2025-05-11,15.86,9.52,22.99,62.8,50.67,73.8,,
2025-05-12,15.89,9.44,23.14,62.72,50.63,73.92,,
2025-05-13,15.92,9.36,23.31,62.65,50.38,74.03,,
2025-05-14,15.95,9.28,23.45,62.57,50.13,74.15,,
2025-05-15,15.97,9.2,23.51,62.5,49.88,74.26,,
2025-05-16,16.0,9.12,23.59,62.44,49.63,74.38,,
2025-05-17,16.02,9.04,23.68,62.37,49.43,74.5,,
2025-05-18,16.04,8.96,23.71,62.31,49.23,74.62,,
2025-05-19,16.06,8.88,23.71,62.25,49.02,74.73,,
2025-05-20,16.08,8.8,23.79,62.19,48.82,74.84,,
2025-05-21,16.1,8.72,23.89,62.14,48.63,74.96,,
2025-05-22,16.12,8.65,23.99,62.09,48.44,75.06,,
2025-05-23,16.14,8.58,24.06,62.03,48.25,75.17,,
2025-05-24,16.15,8.51,24.15,61.98,48.08,75.27,,
2025-05-25,16.17,8.44,24.22,61.93,47.9,75.37,,
2025-05-26,16.19,8.38,24.28,61.88,47.74,75.46,,
2025-05-27,16.21,8.32,24.36,61.83,47.58,75.54,,
2025-05-28,16.22,8.26,24.42,61.78,47.43,75.62,,
2025-05-29,16.24,8.21,24.47,61.72,47.28,75.69,,
2025-05-30,16.26,8.17,24.53,61.67,47.15,75.76,,
2025-05-31,16.28,8.13,24.58,61.61,47.02,75.81,,
2025-06-01,16.31,8.1,24.62,61.56,46.91,75.86,,
2025-06-02,16.33,8.07,24.66,61.5,46.81,75.9,,
2025-06-03,16.35,8.05,24.7,61.44,46.71,75.93,,
2025-06-04,16.38,8.03,24.73,61.37,46.61,75.96,,
2025-06-05,16.41,8.01,24.75,61.3,46.53,75.98,,
2025-06-06,16.44,8.01,24.78,61.23,46.46,75.99,,
2025-06-07,16.48,8.0,24.8,61.15,46.38,76.0,,
2025-06-08,16.51,8.0,24.82,61.07,46.31,76.0,,
2025-06-09,16.55,8.0,24.87,60.97,46.15,76.0,,
2025-06-10,16.6,8.0,24.64,60.88,46.8,76.0,,
2025-06-11,16.65,8.0,24.67,60.77,46.7,76.0,,
2025-06-12,16.7,8.0,24.69,60.65,46.62,76.0,,
2025-06-13,16.76,8.0,24.72,60.53,46.52,76.0,26.0,42.0
2025-06-14,16.82,8.0,24.74,60.39,46.42,76.0,,
2025-06-15,16.89,8.0,24.77,60.24,46.31,76.0,,
2025-06-16,16.96,8.0,24.8,60.08,46.2,76.0,,
2025-06-17,17.04,8.0,24.83,59.9,46.09,76.0,,
