date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (poll),Negative (poll)
2022-07-13,20.63,19.58,24.37,45.73,28.09,50.68,19.0,50.0
2022-07-14,20.74,19.62,24.24,45.38,28.74,50.76,,
2022-07-15,20.86,19.68,24.26,45.05,29.69,50.61,,
2022-07-16,20.97,19.75,24.26,44.77,30.64,50.45,,
2022-07-17,21.07,19.82,24.26,44.53,31.52,50.38,20.0,52.0
2022-07-18,21.16,19.9,24.2,44.34,32.4,50.45,,
2022-07-19,21.24,19.92,24.02,44.19,33.25,50.56,,
2022-07-20,21.32,19.98,23.89,44.08,34.08,50.56,,
2022-07-21,21.38,19.94,23.82,44.01,34.55,50.57,,
2022-07-22,21.44,19.98,23.82,43.98,34.48,50.75,,
2022-07-23,21.49,20.04,23.78,43.99,34.78,50.83,,
2022-07-24,21.52,20.08,23.78,44.02,35.45,50.9,,
2022-07-25,21.55,20.08,23.76,44.08,35.8,50.98,,
2022-07-26,21.57,20.07,23.78,44.17,35.89,51.06,,
2022-07-27,21.59,20.01,23.74,44.27,36.16,51.15,,
2022-07-28,21.59,19.92,23.69,44.39,36.34,51.33,,
2022-07-29,21.59,19.83,23.66,44.53,37.03,51.58,,
2022-07-30,21.59,19.75,23.63,44.68,37.15,51.83,,
2022-07-31,21.57,19.66,23.59,44.85,37.53,52.09,,
2022-08-01,21.55,19.58,23.57,45.02,37.78,52.31,,
2022-08-02,21.53,19.55,23.58,45.21,37.86,52.59,,
2022-08-03,21.5,19.47,23.5,45.41,37.88,52.73,,
2022-08-04,21.46,19.37,23.42,45.61,37.92,52.97,,
2022-08-05,21.42,19.28,23.36,45.83,38.06,53.37,,
2022-08-06,21.38,19.21,23.44,46.04,38.26,53.62,,
2022-08-07,21.33,19.15,23.41,46.26,38.53,53.85,,
2022-08-08,21.28,19.08,23.33,46.48,38.76,54.07,,
2022-08-09,21.23,19.02,23.25,46.7,39.01,54.29,,
2022-08-10,21.18,18.96,23.2,46.93,39.23,54.53,,
2022-08-11,21.13,18.88,23.15,47.15,39.25,54.77,,
2022-08-12,21.07,18.81,23.13,47.37,39.67,54.94,,
2022-08-13,21.01,18.75,23.09,47.58,40.0,55.06,,
2022-08-14,20.96,18.69,23.03,47.8,40.25,55.24,,
2022-08-15,20.9,18.58,23.01,48.01,40.5,55.41,,
2022-08-16,20.84,18.47,22.98,48.21,40.74,55.57,,
2022-08-17,20.79,18.4,22.94,48.42,40.96,55.73,,
2022-08-18,20.73,18.36,22.9,48.61,41.19,55.94,,
2022-08-19,20.67,18.32,22.86,48.81,41.31,56.21,,
2022-08-20,20.62,18.22,22.82,49.0,41.41,56.46,,
2022-08-21,20.57,18.12,22.79,49.18,41.5,56.67,,
2022-08-22,20.51,18.02,22.75,49.36,41.59,56.82,,
2022-08-23,20.46,17.94,22.72,49.54,41.68,56.96,,
2022-08-24,20.41,17.88,22.71,49.71,41.77,57.17,,
2022-08-25,20.36,17.81,22.7,49.87,41.86,57.46,,
2022-08-26,20.31,17.75,22.69,50.03,41.94,57.71,,
2022-08-27,20.26,17.69,22.69,50.19,42.02,57.78,,
2022-08-28,20.21,17.63,22.69,50.34,42.1,57.91,,
2022-08-29,20.17,17.59,22.67,50.48,42.18,58.08,,
2022-08-30,20.12,17.56,22.6,50.62,42.25,58.21,,
2022-08-31,20.08,17.53,22.54,50.76,42.32,58.32,,
2022-09-01,20.04,17.5,22.48,50.89,42.4,58.43,,
2022-09-02,20.0,17.48,22.41,51.01,42.51,58.54,,
2022-09-03,19.96,17.45,22.37,51.13,42.65,58.65,,
2022-09-04,19.92,17.42,22.35,51.25,42.8,58.81,,
2022-09-05,19.88,17.4,22.31,51.36,42.92,59.0,,
2022-09-06,19.85,17.37,22.29,51.47,43.05,59.1,,
2022-09-07,19.81,17.35,22.26,51.57,43.17,59.18,22.0,23.0
2022-09-08,19.78,17.32,22.24,51.66,43.29,59.27,,
2022-09-09,19.75,17.28,22.22,51.76,43.39,59.35,,
2022-09-10,19.72,17.25,22.18,51.84,43.5,59.42,,
2022-09-11,19.69,17.22,22.14,51.93,43.61,59.49,27.0,29.0
2022-09-12,19.66,17.19,22.1,52.0,43.71,59.56,,
2022-09-13,19.63,17.16,22.07,52.08,43.8,59.62,,
2022-09-14,19.61,17.12,22.04,52.15,43.89,59.68,,
2022-09-15,19.58,17.08,22.03,52.22,43.98,59.77,,
2022-09-16,19.56,17.04,22.02,52.28,44.07,59.88,,
2022-09-17,19.54,17.0,22.02,52.34,44.1,59.98,,
2022-09-18,19.52,16.96,22.02,52.4,44.09,60.06,28.0,25.0
2022-09-19,19.5,16.93,22.01,52.45,44.1,60.15,,
2022-09-20,19.48,16.89,22.01,52.5,44.1,60.23,,
2022-09-21,19.47,16.86,22.01,52.55,44.1,60.31,21.5,53.0
2022-09-22,19.45,16.84,22.01,52.6,44.11,60.38,,
2022-09-23,19.43,16.82,22.0,52.64,44.12,60.45,,
2022-09-24,19.42,16.81,22.0,52.69,44.18,60.51,,
2022-09-25,19.41,16.8,22.0,52.73,44.24,60.57,29.0,35.0
2022-09-26,19.39,16.79,22.0,52.78,44.3,60.63,19.0,72.0
2022-09-27,19.38,16.78,21.98,52.82,44.36,60.68,,
2022-09-28,19.37,16.77,21.96,52.87,44.43,60.74,15.0,65.0
2022-09-29,19.35,16.76,21.94,52.91,44.5,60.77,18.0,55.0
2022-09-30,19.34,16.75,21.92,52.96,44.56,60.81,,
2022-10-01,19.33,16.74,21.9,53.01,44.63,60.84,14.0,73.0
2022-10-02,19.31,16.73,21.88,53.06,44.7,60.88,18.0,51.0
2022-10-03,19.3,16.73,21.86,53.11,44.77,60.92,,
2022-10-04,19.29,16.73,21.84,53.17,44.85,60.97,,
2022-10-05,19.27,16.71,21.83,53.23,44.94,61.01,,
2022-10-06,19.26,16.71,21.8,53.29,45.03,61.06,,
2022-10-07,19.24,16.71,21.78,53.35,45.12,61.11,,
2022-10-08,19.22,16.7,21.75,53.42,45.22,61.17,,
