date,pollster,Thatcher approve,Thatcher disapprove,Thatcher net,Major approve,Major disapprove,Major net,Blair approve,Blair disapprove,Blair net,Brown approve,Brown disapprove,Brown net,Cameron approve,Cameron disapprove,Cameron net,May approve,May disapprove,May net,Johnson approve,Johnson disapprove,Johnson net,Truss approve,Truss disapprove,Truss net,Sunak approve,Sunak disapprove,Sunak net,Starmer approve,Starmer disapprove,Starmer net
2024-07-05,Ipsos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-08,Morning Consult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-11,We Think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-17,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-25,We Think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-30,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,Morning Consult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,BMG Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,We Think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-24,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29,BMG Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-02,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04,Morning Consult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,Morning Consult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-03,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07,Deltapoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-16,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-28,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-09,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-11,Ipsos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-13,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-04,Ipsos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-16,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-20,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-23,Deltapoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
