date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,33.5,32.35,35.15,46.38,42.87,48.0,13.87,10.63,15.7,4.6,3.28,7.03,1.18,1.0,1.66,32.0,48.0,15.0,3.0,1.0
2019-12-13,33.55,32.39,35.17,46.3,42.87,48.0,13.86,10.67,15.68,4.66,3.29,7.08,1.18,1.0,1.65,,,,,
2019-12-14,33.59,32.42,35.18,46.21,42.86,48.0,13.84,10.7,15.67,4.72,3.3,7.14,1.19,1.0,1.65,,,,,
2019-12-15,33.64,32.4,35.23,46.14,42.69,48.0,13.83,10.0,15.96,4.77,3.23,7.19,1.2,1.0,1.64,,,,,
2019-12-16,33.68,32.44,35.24,46.06,42.69,48.0,13.82,10.0,15.98,4.83,3.25,7.24,1.2,1.0,1.63,,,,,
2019-12-17,33.71,32.46,35.25,45.99,42.64,48.0,13.81,10.0,16.01,4.88,3.26,7.29,1.2,1.0,1.62,,,,,
2019-12-18,33.75,32.49,35.26,45.92,42.6,48.0,13.8,10.0,16.03,4.93,3.27,7.33,1.21,1.0,1.61,,,,,
2019-12-19,33.78,32.52,35.27,45.85,42.57,48.0,13.79,10.0,16.04,4.98,3.28,7.37,1.21,1.0,1.61,,,,,
2019-12-20,33.81,32.54,35.28,45.79,42.54,48.0,13.78,10.01,16.05,5.03,3.29,7.41,1.21,1.0,1.6,,,,,
2019-12-21,33.85,32.56,35.29,45.73,42.51,47.99,13.77,10.01,16.04,5.08,3.31,7.44,1.22,1.0,1.6,,,,,
2019-12-22,33.87,32.59,35.29,45.67,42.49,47.99,13.76,10.02,16.04,5.12,3.32,7.48,1.22,1.0,1.6,,,,,
2019-12-23,33.9,32.61,35.3,45.61,42.47,47.98,13.75,10.03,16.03,5.16,3.33,7.51,1.22,1.0,1.6,,,,,
2019-12-24,33.93,32.64,35.3,45.56,42.46,47.98,13.74,10.04,16.02,5.21,3.34,7.54,1.23,1.0,1.59,,,,,
2019-12-25,33.95,32.67,35.3,45.51,42.45,47.97,13.73,10.06,16.01,5.25,3.35,7.56,1.23,1.0,1.59,,,,,
2019-12-26,33.98,32.69,35.31,45.46,42.45,47.96,13.71,10.07,15.97,5.29,3.38,7.59,1.23,1.0,1.6,,,,,
2019-12-27,34.0,32.7,35.31,45.41,42.46,47.96,13.7,10.09,15.93,5.33,3.42,7.61,1.23,1.0,1.61,,,,,
2019-12-28,34.02,32.72,35.31,45.37,42.47,47.95,13.69,10.11,15.91,5.37,3.43,7.63,1.23,1.0,1.61,,,,,
2019-12-29,34.04,32.73,35.31,45.33,42.47,47.94,13.67,10.12,15.89,5.41,3.44,7.65,1.23,1.0,1.61,,,,,
2019-12-30,34.06,32.75,35.31,45.29,42.46,47.93,13.66,10.14,15.9,5.44,3.45,7.67,1.23,1.0,1.61,,,,,
2019-12-31,34.08,32.77,35.31,45.25,42.44,47.92,13.64,10.15,15.91,5.48,3.46,7.69,1.23,1.0,1.62,,,,,
2020-01-01,34.1,32.78,35.31,45.21,42.42,47.91,13.63,10.18,15.92,5.52,3.48,7.71,1.24,1.0,1.62,,,,,
2020-01-02,34.12,32.8,35.3,45.18,42.4,47.9,13.61,10.19,15.94,5.55,3.53,7.73,1.24,1.0,1.62,,,,,
2020-01-03,34.13,32.82,35.29,45.14,42.39,47.88,13.59,10.21,15.95,5.58,3.57,7.74,1.24,1.0,1.61,,,,,
2020-01-04,34.15,32.83,35.28,45.11,42.37,47.87,13.58,10.22,15.9,5.62,3.6,7.76,1.24,1.0,1.6,,,,,
2020-01-05,34.16,32.85,35.28,45.08,42.35,47.86,13.56,10.24,15.82,5.65,3.62,7.78,1.24,1.0,1.6,,,,,
2020-01-06,34.18,32.86,35.27,45.06,42.33,47.84,13.54,10.26,15.74,5.68,3.64,7.8,1.24,1.0,1.6,,,,,
2020-01-07,34.19,32.88,35.27,45.03,42.32,47.82,13.53,10.27,15.66,5.71,3.66,7.81,1.24,1.0,1.6,,,,,
2020-01-08,34.21,32.89,35.28,45.0,42.33,47.81,13.51,10.29,15.58,5.74,3.69,7.82,1.24,1.0,1.59,,,,,
2020-01-09,34.22,32.91,35.27,44.98,42.33,47.79,13.49,10.31,15.53,5.77,3.72,7.84,1.24,1.0,1.59,,,,,
2020-01-10,34.23,32.95,35.27,44.95,42.34,47.77,13.47,10.32,15.5,5.8,3.76,7.85,1.24,1.0,1.59,,,,,
2020-01-11,34.25,32.97,35.28,44.93,42.34,47.75,13.45,10.34,15.49,5.83,3.79,7.86,1.24,1.0,1.58,,,,,
2020-01-12,34.26,33.0,35.28,44.91,42.35,47.74,13.43,10.35,15.48,5.86,3.82,7.87,1.24,1.0,1.58,,,,,
2020-01-13,34.27,32.97,35.31,44.89,42.33,47.75,13.42,10.29,15.47,5.89,3.83,7.88,1.24,1.0,1.58,,,,,
2020-01-14,34.28,33.01,35.34,44.86,42.33,47.74,13.4,10.3,15.46,5.92,3.86,7.89,1.24,1.0,1.57,,,,,
