date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,55.55,53.49,58.57,30.27,27.21,32.36,7.55,5.99,8.0,3.89,3.24,6.01,1.74,1.21,2.0,53.0,33.0,8.0,3.0,2.0
2019-12-13,55.61,53.53,58.55,30.19,27.22,32.32,7.52,5.97,8.0,3.94,3.25,6.05,1.74,1.21,2.0,,,,,
2019-12-14,55.67,53.57,58.54,30.13,27.23,32.29,7.5,5.95,8.0,3.98,3.26,6.09,1.73,1.22,2.0,,,,,
2019-12-15,55.72,53.62,58.52,30.06,27.24,32.26,7.47,5.94,8.0,4.02,3.27,6.13,1.73,1.22,2.0,,,,,
2019-12-16,55.76,53.66,58.51,30.0,27.25,32.22,7.45,5.92,8.0,4.06,3.27,6.16,1.73,1.23,2.0,,,,,
2019-12-17,55.81,53.71,58.49,29.95,27.26,32.19,7.42,5.9,8.0,4.09,3.28,6.19,1.73,1.23,2.0,,,,,
2019-12-18,55.85,53.75,58.48,29.89,27.27,32.16,7.4,5.89,8.0,4.13,3.29,6.22,1.73,1.24,2.0,,,,,
2019-12-19,55.88,53.79,58.48,29.84,27.27,32.13,7.38,5.88,8.0,4.16,3.3,6.25,1.73,1.24,2.0,,,,,
2019-12-20,55.92,53.83,58.47,29.8,27.28,32.1,7.36,5.86,8.0,4.2,3.3,6.27,1.73,1.25,2.0,,,,,
2019-12-21,55.95,53.87,58.46,29.75,27.29,32.07,7.34,5.85,8.0,4.23,3.31,6.3,1.73,1.25,2.0,,,,,
2019-12-22,55.98,53.91,58.45,29.71,27.3,32.04,7.32,5.84,8.0,4.26,3.32,6.32,1.73,1.26,2.0,,,,,
2019-12-23,56.01,53.95,58.45,29.67,27.31,32.02,7.3,5.83,8.0,4.29,3.33,6.34,1.73,1.26,2.0,,,,,
2019-12-24,56.04,53.98,58.44,29.63,27.31,31.99,7.28,5.82,8.0,4.32,3.33,6.36,1.73,1.26,2.0,,,,,
2019-12-25,56.06,54.02,58.43,29.6,27.32,31.96,7.26,5.81,8.0,4.35,3.34,6.38,1.73,1.27,2.0,,,,,
2019-12-26,56.09,54.05,58.42,29.57,27.32,31.94,7.25,5.8,8.0,4.37,3.34,6.4,1.73,1.27,2.0,,,,,
2019-12-27,56.11,54.09,58.42,29.53,27.33,31.9,7.23,5.79,8.0,4.4,3.35,6.41,1.73,1.27,2.0,,,,,
2019-12-28,56.13,54.11,58.41,29.5,27.33,31.86,7.21,5.79,8.0,4.42,3.36,6.43,1.73,1.27,2.0,,,,,
2019-12-29,56.15,54.13,58.41,29.47,27.34,31.82,7.2,5.78,8.0,4.45,3.36,6.44,1.73,1.27,2.0,,,,,
2019-12-30,56.17,54.16,58.4,29.45,27.34,31.78,7.18,5.77,8.0,4.47,3.37,6.46,1.73,1.27,2.0,,,,,
