date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Ukip,Ukip (low),Ukip (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,25.0,19.0,10.0,,1.0,45.0,,1.0
2020-01-05,25.0,25.0,25.0,19.0,19.0,19.0,10.0,10.0,10.0,,,,1.0,1.0,1.0,45.0,45.0,45.0,,,,,,,,,,,,,,
2020-01-06,25.0,25.0,27.0,19.0,16.0,19.0,10.0,5.0,10.0,,,,1.0,1.0,3.0,45.0,45.0,48.0,,,,,,,,,,,,,,
2020-01-07,25.0,25.0,27.0,19.0,16.0,19.0,10.0,5.0,10.0,,,,1.0,1.0,3.0,45.0,45.0,48.0,,,,,,,,,,,,,,
2020-01-08,25.0,25.0,27.0,18.99,16.0,19.0,9.99,5.0,10.0,,,,1.0,1.0,3.0,45.01,45.0,48.0,,,,,,,,,,,,,,
2020-01-09,25.01,25.0,27.0,18.99,16.0,19.0,9.98,5.0,10.0,,,,1.01,1.0,3.0,45.01,45.0,48.0,,,,,,,,,,,,,,
2020-01-10,25.02,25.0,27.0,18.97,16.0,19.0,9.95,5.0,9.99,,,,1.02,1.0,3.0,45.03,45.0,48.0,,,,,,,,,,,,,,
2020-01-11,25.03,25.0,27.0,18.95,16.0,18.99,9.92,5.0,9.99,,,,1.03,1.01,3.0,45.05,45.01,48.0,,,,,,,,,,,,,,
2020-01-12,25.05,25.01,27.0,18.92,16.0,18.99,9.87,5.0,9.98,,,,1.05,1.01,3.0,45.08,45.01,48.0,,,,,,,,,,,,,,
2020-01-13,25.08,25.01,27.0,18.88,16.0,18.98,9.8,5.0,9.97,,,,1.08,1.02,3.0,45.12,45.02,48.0,,,,,,,,,,,,,,
2020-01-14,25.11,25.02,27.0,18.83,16.0,18.98,9.72,5.0,9.96,,,,1.11,1.02,3.0,45.17,45.02,48.0,,,,,,,,,,,,,,
2020-01-15,25.15,25.02,27.0,18.78,16.0,18.97,9.63,5.0,9.94,,,,1.15,1.03,3.0,45.22,45.03,48.0,,,,,,,,,,,,,,
2020-01-16,25.19,25.03,27.0,18.71,16.0,18.95,9.52,5.0,9.92,,,,1.19,1.05,3.0,45.29,45.05,48.0,,,,,,,,,,,,,,
2020-01-17,25.24,25.04,27.0,18.64,16.0,18.94,9.39,5.0,9.9,,,,1.24,1.06,3.0,45.36,45.06,48.0,,,,,,,,,,,,,,
2020-01-18,25.3,25.05,27.0,18.55,16.0,18.92,9.26,5.0,9.87,,,,1.3,1.08,3.0,45.45,45.08,48.0,,,,,,,,,,,,,,
2020-01-19,25.36,25.06,27.0,18.46,16.0,18.9,9.11,5.0,9.84,,,,1.36,1.09,3.0,45.54,45.1,48.0,,,,,,,,,,,,,,
2020-01-20,25.42,25.08,27.0,18.37,16.0,18.88,8.95,5.0,9.8,,,,1.42,1.11,3.0,45.63,45.12,48.0,,,,,,,,,,,,,,
2020-01-21,25.49,25.09,27.0,18.27,16.0,18.86,8.78,5.0,9.76,,,,1.49,1.14,3.0,45.73,45.14,48.0,,,,,,,,,,,,,,
2020-01-22,25.56,25.11,27.0,18.16,16.0,18.83,8.61,5.0,9.72,,,,1.56,1.16,3.0,45.84,45.17,48.0,,,,,,,,,,,,,,
2020-01-23,25.63,25.13,27.0,18.06,16.0,18.8,8.43,5.0,9.67,,,,1.63,1.19,3.0,45.94,45.2,48.0,,,,,,,,,,,,,,
2020-01-24,25.7,25.16,27.0,17.95,16.0,18.77,8.25,5.0,9.61,,,,1.7,1.22,3.0,46.05,45.23,48.0,,,,,,,,,,,,,,
2020-01-25,25.77,25.18,27.0,17.84,16.0,18.73,8.06,5.0,9.55,,,,1.77,1.26,3.0,46.16,45.27,48.0,,,,,,,,,,,,,,
2020-01-26,25.85,25.21,27.0,17.73,16.0,18.69,7.88,5.0,9.48,,,,1.85,1.3,3.0,46.27,45.31,48.0,,,,,,,,,,,,,,
2020-01-27,25.92,25.24,27.0,17.62,16.0,18.64,7.7,5.0,9.41,,,,1.92,1.34,3.0,46.38,45.36,48.0,,,,,,,,,,,,,,
2020-01-28,25.99,25.27,27.0,17.51,16.0,18.6,7.52,5.0,9.33,,,,1.99,1.38,3.0,46.49,45.4,48.0,,,,,,,,,,,,,,
2020-01-29,26.06,25.3,27.0,17.41,16.0,18.54,7.35,5.0,9.24,,,,2.06,1.42,3.0,46.59,45.46,48.0,,,,,,,,,,,,,,
2020-01-30,26.13,25.34,27.0,17.31,16.0,18.49,7.18,5.0,9.14,,,,2.13,1.47,3.0,46.69,45.51,48.0,,,,,,,,,,,,,,
2020-01-31,26.19,25.38,27.0,17.21,16.0,18.42,7.02,5.0,9.04,,,,2.19,1.53,3.0,46.79,45.58,48.0,,,,,,,,,,,,,,
2020-02-01,26.26,25.43,27.0,17.11,16.0,18.36,6.86,5.0,8.93,,,,2.26,1.58,3.0,46.89,45.64,48.0,,,,,,,,,,,,,,
2020-02-02,26.32,25.48,27.0,17.02,16.0,18.29,6.7,5.0,8.81,,,,2.32,1.64,3.0,46.98,45.71,48.0,,,,,,,,,,,,,,
2020-02-03,26.38,25.53,27.0,16.93,16.0,18.21,6.56,5.0,8.69,,,,2.38,1.7,3.0,47.07,45.79,48.0,,,,,,,,,,,,,,
2020-02-04,26.43,25.58,27.0,16.85,16.0,18.13,6.42,5.0,8.55,,,,2.43,1.76,3.0,47.15,45.87,48.0,,,,,,,,,,,,,,
2020-02-05,26.49,25.0,27.0,16.77,16.0,19.0,6.29,5.0,10.0,,,,2.49,1.0,3.0,47.23,45.0,48.0,,,,,,,,,,,,,,
2020-02-06,26.54,25.0,27.0,16.7,16.0,19.0,6.16,5.0,10.0,,,,2.54,1.0,3.0,47.3,45.0,48.0,,,,,,,,,,,,,,
2020-02-07,26.58,25.0,27.0,16.62,16.0,18.99,6.04,5.0,9.99,,,,2.58,1.0,3.0,47.38,45.01,48.0,,,,,,,,,,,,,,
2020-02-08,26.63,25.0,27.0,16.56,16.0,18.98,5.93,5.0,9.98,,,,2.63,1.01,3.0,47.45,45.03,48.01,,,,,,,,,,,,,,
2020-02-09,26.67,25.0,27.0,16.49,15.99,18.95,5.83,5.0,9.95,,,,2.67,1.03,3.0,47.51,45.08,48.02,,,,,,,,,,,,,,
