date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,53.0,24.0,15.0,4.0,1.0
2019-12-17,53.0,53.0,53.0,24.0,24.0,24.0,15.0,15.0,15.0,4.0,4.0,4.0,1.0,1.0,1.0,,,,,
2019-12-18,53.0,53.0,58.0,24.0,21.0,24.0,15.0,13.0,15.0,4.0,4.0,6.0,1.0,1.0,2.0,,,,,
2019-12-19,53.01,53.0,58.0,23.99,21.0,24.0,14.99,13.0,15.0,4.01,4.0,6.0,1.0,1.0,2.0,,,,,
2019-12-20,53.05,53.0,58.0,23.97,21.0,24.0,14.98,13.0,15.0,4.02,4.0,6.0,1.01,1.0,2.0,,,,,
2019-12-21,53.1,53.0,58.0,23.94,21.0,24.0,14.96,13.0,15.0,4.04,4.0,6.0,1.02,1.0,2.0,,,,,
2019-12-22,53.18,53.0,58.0,23.89,21.0,24.0,14.93,13.0,15.0,4.07,4.0,6.0,1.04,1.0,2.0,,,,,
2019-12-23,53.29,53.0,58.0,23.83,21.0,24.0,14.88,13.0,15.0,4.12,4.0,6.0,1.06,1.0,2.0,,,,,
2019-12-24,53.42,53.0,58.0,23.75,21.0,24.0,14.83,13.0,15.0,4.17,4.0,6.0,1.08,1.0,2.0,,,,,
2019-12-25,53.57,53.0,58.02,23.66,21.0,24.0,14.77,12.97,15.0,4.23,4.0,6.0,1.11,1.0,2.0,,,,,
2019-12-26,53.76,53.01,58.11,23.55,21.0,24.0,14.69,12.85,14.99,4.3,4.0,6.0,1.15,1.0,2.0,,,,,
2019-12-27,53.99,53.04,58.26,23.42,21.0,23.98,14.58,12.66,14.97,4.38,4.01,6.0,1.19,1.01,2.0,,,,,
2019-12-28,54.25,53.1,58.43,23.28,21.0,23.96,14.45,12.42,14.93,4.48,4.02,6.0,1.24,1.01,2.0,,,,,
2019-12-29,54.54,53.18,58.61,23.13,21.0,23.93,14.29,12.19,14.87,4.58,4.04,6.0,1.29,1.02,2.0,,,,,
2019-12-30,54.86,53.29,58.77,22.98,21.0,23.89,14.12,11.97,14.8,4.68,4.07,6.0,1.34,1.04,2.0,,,,,
2019-12-31,55.19,53.45,58.92,22.81,21.0,23.83,13.92,11.77,14.75,4.79,4.11,6.0,1.4,1.06,2.0,,,,,
2020-01-01,55.54,53.0,59.42,22.65,21.0,24.0,13.72,11.11,15.0,4.9,4.0,6.0,1.45,1.0,2.0,,,,,
2020-01-02,55.88,53.01,59.52,22.49,21.0,24.0,13.51,10.98,15.0,5.01,4.0,6.0,1.5,1.0,2.0,,,,,
2020-01-03,56.23,53.06,59.62,22.33,20.99,23.96,13.3,10.85,14.98,5.11,4.0,6.0,1.56,1.01,2.0,,,,,
2020-01-04,56.57,53.2,59.7,22.17,20.97,23.87,13.08,10.75,14.93,5.2,4.0,6.0,1.61,1.03,2.0,,,,,
2020-01-05,56.91,53.46,59.76,22.01,20.94,23.69,12.88,10.68,14.85,5.29,4.0,6.0,1.66,1.08,2.0,,,,,
2020-01-06,57.23,53.86,59.81,21.86,20.9,23.43,12.68,10.64,14.71,5.36,4.0,6.0,1.71,1.14,2.0,,,,,
2020-01-07,57.54,54.39,59.85,21.71,20.87,23.12,12.5,10.57,14.54,5.43,4.0,6.0,1.75,1.23,2.0,,,,,
2020-01-08,57.82,55.02,59.88,21.57,20.84,22.84,12.33,10.34,14.33,5.48,4.0,6.0,1.79,1.33,2.0,,,,,
2020-01-09,58.09,55.64,59.87,21.44,20.81,22.52,12.18,10.29,14.1,5.52,4.0,6.0,1.83,1.43,2.0,,,,,
2020-01-10,58.32,56.12,59.91,21.32,20.78,22.28,12.05,10.09,13.88,5.55,4.0,6.0,1.86,1.52,2.0,,,,,
2020-01-11,58.53,56.44,60.1,21.21,20.75,22.0,11.94,10.0,13.7,5.57,4.0,6.0,1.89,1.6,2.0,,,,,
2020-01-12,58.71,56.71,60.14,21.12,20.73,21.72,11.84,10.1,13.54,5.59,4.0,6.0,1.92,1.69,2.0,,,,,
2020-01-13,58.87,57.26,60.36,21.03,20.68,21.53,11.76,9.89,13.41,5.59,4.0,6.0,1.94,1.75,2.0,,,,,
2020-01-14,59.0,57.58,60.36,20.96,20.57,21.35,11.69,9.71,13.31,5.59,4.0,6.0,1.96,1.82,2.0,,,,,
2020-01-15,59.1,57.71,60.43,20.9,20.49,21.22,11.64,9.68,13.22,5.59,4.0,6.0,1.97,1.88,2.0,,,,,
2020-01-16,59.18,57.82,60.59,20.85,20.31,21.14,11.61,9.57,13.14,5.58,4.0,6.0,1.98,1.92,2.0,,,,,
2020-01-17,59.24,57.9,60.64,20.82,20.21,21.07,11.58,9.38,13.08,5.56,4.0,6.0,1.99,1.96,2.0,,,,,
2020-01-18,59.28,57.95,60.77,20.79,20.09,21.03,11.57,9.18,13.03,5.54,4.0,6.0,2.0,1.98,2.0,,,,,
2020-01-19,59.31,57.99,60.93,20.77,20.03,21.01,11.57,9.05,13.01,5.52,4.0,6.0,2.0,1.99,2.0,,,,,
2020-01-20,59.32,58.0,60.99,20.75,20.0,21.0,11.57,9.01,13.0,5.5,4.0,6.0,2.0,2.0,2.0,,,,,
2020-01-21,59.33,58.0,61.0,20.74,20.0,21.0,11.57,9.0,13.0,5.48,4.0,6.0,2.0,2.0,2.0,,,,,
2020-01-22,59.33,58.0,60.45,20.73,20.15,21.0,11.58,10.1,13.0,5.46,4.29,6.0,2.0,2.0,2.0,,,,,
2020-01-23,59.34,58.0,60.44,20.72,20.14,21.0,11.59,10.13,13.0,5.44,4.29,6.0,2.0,2.0,2.0,,,,,
