date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Ukip,Ukip (low),Ukip (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,44.0,32.0,12.0,,3.0,,,2.0
2019-12-16,44.0,44.0,44.0,32.0,32.0,32.0,12.0,12.0,12.0,,,,3.0,3.0,3.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-17,44.0,44.0,49.0,32.0,29.0,32.0,12.0,10.0,12.0,,,,3.0,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-18,44.01,44.0,49.0,31.99,29.0,32.0,11.99,10.0,12.0,,,,3.0,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-19,44.05,44.0,49.0,31.97,29.0,32.0,11.98,10.0,12.0,,,,3.01,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-20,44.1,44.0,49.0,31.94,29.0,32.0,11.96,10.0,12.0,,,,3.02,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-21,44.18,44.0,49.0,31.89,29.0,32.0,11.93,10.0,12.0,,,,3.04,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-22,44.28,44.0,48.99,31.83,29.01,32.6,11.89,10.0,12.0,,,,3.06,3.0,4.0,,,,,,,2.0,2.0,2.01,,,,,,,,
2019-12-23,44.41,44.0,49.0,31.76,29.0,33.0,11.83,10.0,12.0,,,,3.08,3.0,4.0,,,,,,,2.0,2.0,3.0,,,,,,,,
2019-12-24,44.56,44.0,48.99,31.67,29.0,32.76,11.76,9.93,12.0,,,,3.11,3.0,4.02,,,,,,,2.01,1.99,2.87,,,,,,,,
2019-12-25,44.73,44.01,48.96,31.58,29.02,32.32,11.67,9.8,11.98,,,,3.15,3.01,4.09,,,,,,,2.02,1.96,2.63,,,,,,,,
2019-12-26,44.92,44.03,48.91,31.48,29.04,32.08,11.55,9.68,11.95,,,,3.2,3.02,4.19,,,,,,,2.02,1.91,2.47,,,,,,,,
2019-12-27,45.14,44.06,48.86,31.38,29.08,32.06,11.42,9.6,11.91,,,,3.27,3.04,4.3,,,,,,,2.03,1.86,2.38,,,,,,,,
2019-12-28,45.35,44.1,48.8,31.28,29.11,32.09,11.27,9.57,11.85,,,,3.34,3.07,4.39,,,,,,,2.04,1.8,2.37,,,,,,,,
2019-12-29,45.57,44.15,48.74,31.18,29.15,32.07,11.12,9.55,11.78,,,,3.42,3.11,4.46,,,,,,,2.04,1.75,2.34,,,,,,,,
2019-12-30,45.78,44.21,48.69,31.09,29.18,32.08,10.97,9.5,11.7,,,,3.49,3.15,4.52,,,,,,,2.05,1.73,2.29,,,,,,,,
2019-12-31,45.97,44.28,48.73,31.0,29.21,32.08,10.83,9.41,11.61,,,,3.57,3.19,4.57,,,,,,,2.05,1.7,2.31,,,,,,,,
2020-01-01,46.14,44.35,48.69,30.93,29.24,32.06,10.7,9.36,11.5,,,,3.65,3.24,4.73,,,,,,,2.05,1.68,2.33,,,,,,,,
2020-01-02,46.3,44.44,48.66,30.86,29.27,32.05,10.58,9.33,11.4,,,,3.72,3.29,4.75,,,,,,,2.05,1.66,2.36,,,,,,,,
2020-01-03,46.45,44.54,48.63,30.79,29.29,32.02,10.47,9.32,11.27,,,,3.79,3.33,4.78,,,,,,,2.05,1.64,2.37,,,,,,,,
2020-01-04,46.58,44.62,48.63,30.73,29.31,31.98,10.37,9.31,11.14,,,,3.86,3.35,5.0,,,,,,,2.05,1.6,2.41,,,,,,,,
2020-01-05,46.69,44.79,48.6,30.66,29.33,31.93,10.28,9.3,11.01,,,,3.92,3.4,5.0,,,,,,,2.04,1.57,2.43,,,,,,,,
2020-01-06,46.8,44.84,48.57,30.61,29.35,31.82,10.19,9.25,10.88,,,,3.99,3.44,5.0,,,,,,,2.04,1.54,2.44,,,,,,,,
2020-01-07,46.89,44.93,48.54,30.56,29.37,31.76,10.12,9.22,10.77,,,,4.05,3.46,5.01,,,,,,,2.04,1.53,2.45,,,,,,,,
2020-01-08,46.97,45.04,48.5,30.51,29.39,31.74,10.04,9.16,10.67,,,,4.1,3.48,5.01,,,,,,,2.03,1.52,2.45,,,,,,,,
2020-01-09,47.04,45.14,48.48,30.47,29.39,31.73,9.98,9.14,10.57,,,,4.15,3.52,5.0,,,,,,,2.03,1.5,2.46,,,,,,,,
2020-01-10,47.1,45.25,48.45,30.43,29.41,31.7,9.91,9.06,10.5,,,,4.2,3.55,5.0,,,,,,,2.03,1.47,2.45,,,,,,,,
2020-01-11,47.16,45.37,48.43,30.4,29.42,31.67,9.85,8.88,10.47,,,,4.24,3.59,5.0,,,,,,,2.03,1.46,2.45,,,,,,,,
2020-01-12,47.2,45.49,48.45,30.37,29.41,31.65,9.8,8.78,10.44,,,,4.28,3.63,5.0,,,,,,,2.02,1.46,2.45,,,,,,,,
2020-01-13,47.24,45.59,48.48,30.35,29.35,31.6,9.75,8.73,10.35,,,,4.32,3.67,5.0,,,,,,,2.02,1.46,2.45,,,,,,,,
