date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,48.0,15.0,3.0,1.0
2019-12-17,,,,,,,,,,,,,,,,32.0,32.0,32.0,3.0,3.0,3.0,15.0,15.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-18,,,,,,,,,,,,,,,,32.0,32.0,35.0,3.0,3.0,6.0,15.0,10.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-19,,,,,,,,,,,,,,,,32.01,32.0,35.0,3.01,3.0,6.0,14.99,10.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-20,,,,,,,,,,,,,,,,32.03,32.0,35.0,3.03,3.0,6.0,14.95,10.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-21,,,,,,,,,,,,,,,,32.06,32.0,35.0,3.06,3.0,6.0,14.9,10.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-22,,,,,,,,,,,,,,,,32.11,32.0,35.0,3.11,3.0,6.0,14.82,10.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-23,,,,,,,,,,,,,,,,32.17,32.0,35.0,3.17,3.0,6.0,14.71,10.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-24,,,,,,,,,,,,,,,,32.25,32.0,35.0,3.25,3.0,6.0,14.58,10.0,15.0,48.0,48.0,48.0,1.0,1.0,1.0,,,,,
2019-12-25,,,,,,,,,,,,,,,,32.34,32.0,35.0,3.34,3.0,6.0,14.43,10.0,15.0,48.0,47.97,48.0,1.0,1.0,1.06,,,,,
2019-12-26,,,,,,,,,,,,,,,,32.45,32.0,35.0,3.45,3.0,6.0,14.27,10.0,15.02,47.99,47.82,48.0,1.0,1.0,1.09,,,,,
