date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,53.0,8.0,3.0,2.0
2019-12-17,,,,,,,,,,,,,,,,33.0,33.0,33.0,3.0,3.0,3.0,8.0,8.0,8.0,53.0,53.0,53.0,2.0,2.0,2.0,,,,,
2019-12-18,,,,,,,,,,,,,,,,33.01,33.0,59.0,3.0,3.0,4.0,8.0,8.0,8.0,52.99,27.0,53.0,2.0,1.0,2.0,,,,,
2019-12-19,,,,,,,,,,,,,,,,33.08,33.0,59.0,3.0,3.0,4.0,8.0,8.0,8.0,52.92,27.0,53.0,2.0,1.0,2.0,,,,,
2019-12-20,,,,,,,,,,,,,,,,33.24,33.0,59.0,3.01,3.0,4.0,8.0,8.0,8.0,52.76,27.0,53.0,1.99,1.0,2.0,,,,,
2019-12-21,,,,,,,,,,,,,,,,33.52,33.0,59.0,3.02,3.0,4.0,8.0,8.0,8.0,52.48,27.0,53.0,1.98,1.0,2.0,,,,,
2019-12-22,,,,,,,,,,,,,,,,33.94,33.0,59.0,3.04,3.0,4.0,8.0,8.0,8.0,52.06,27.0,53.0,1.96,1.0,2.0,,,,,
2019-12-23,,,,,,,,,,,,,,,,34.5,33.0,59.0,3.06,3.0,4.0,8.0,8.0,8.0,51.5,27.0,53.0,1.94,1.0,2.0,,,,,
2019-12-24,,,,,,,,,,,,,,,,35.18,33.0,59.0,3.08,3.0,4.0,8.0,8.0,8.0,50.82,27.0,53.0,1.92,1.0,2.0,,,,,
2019-12-25,,,,,,,,,,,,,,,,35.98,33.0,59.0,3.11,3.0,4.0,8.0,7.99,8.0,50.02,27.0,53.0,1.89,1.0,2.0,,,,,
2019-12-26,,,,,,,,,,,,,,,,36.91,33.03,59.0,3.15,3.0,4.0,8.0,7.96,8.0,49.09,27.0,52.97,1.85,1.0,2.0,,,,,
2019-12-27,,,,,,,,,,,,,,,,37.98,33.09,59.0,3.19,3.0,4.0,7.99,7.91,8.0,48.02,27.0,52.91,1.82,1.0,2.0,,,,,
2019-12-28,,,,,,,,,,,,,,,,39.17,33.19,59.0,3.24,3.01,4.0,7.98,7.86,8.0,46.83,27.0,52.81,1.78,1.0,2.0,,,,,
2019-12-29,,,,,,,,,,,,,,,,40.44,33.36,59.0,3.29,3.01,4.0,7.97,7.8,8.0,45.56,27.0,52.64,1.74,1.0,2.0,,,,,
2019-12-30,,,,,,,,,,,,,,,,41.78,33.6,59.0,3.34,3.02,4.0,7.95,7.74,8.0,44.22,27.0,52.4,1.71,1.0,2.0,,,,,
2019-12-31,,,,,,,,,,,,,,,,43.14,33.91,59.0,3.4,3.03,4.0,7.93,7.68,8.0,42.86,27.0,52.09,1.68,1.0,2.0,,,,,
2020-01-01,,,,,,,,,,,,,,,,44.51,33.0,59.0,3.45,3.0,4.0,7.9,7.0,8.0,41.49,27.0,53.0,1.65,1.0,2.0,,,,,
2020-01-02,,,,,,,,,,,,,,,,45.85,33.01,59.0,3.5,3.01,4.02,7.88,6.99,8.0,40.15,27.0,52.98,1.62,1.0,2.0,,,,,
2020-01-03,,,,,,,,,,,,,,,,47.17,33.11,58.98,3.57,3.06,4.12,7.85,6.94,8.0,38.83,27.01,52.88,1.59,1.01,2.0,,,,,
2020-01-04,,,,,,,,,,,,,,,,48.45,33.39,58.96,3.64,3.08,4.28,7.81,6.86,8.0,37.54,27.02,52.58,1.57,1.02,2.0,,,,,
2020-01-05,,,,,,,,,,,,,,,,49.68,33.91,58.93,3.71,3.2,4.49,7.76,6.75,8.0,36.3,27.02,52.01,1.56,1.03,2.0,,,,,
2020-01-06,,,,,,,,,,,,,,,,50.84,34.77,58.88,3.8,3.32,4.71,7.7,6.64,8.0,35.12,27.04,51.08,1.54,1.05,2.0,,,,,
2020-01-07,,,,,,,,,,,,,,,,51.91,36.01,58.82,3.9,3.46,4.93,7.64,6.54,8.0,34.01,27.06,49.73,1.54,1.07,2.0,,,,,
2020-01-08,,,,,,,,,,,,,,,,52.9,37.66,58.76,4.0,3.54,5.12,7.57,6.44,8.0,32.99,27.08,47.94,1.53,1.1,2.0,,,,,
2020-01-09,,,,,,,,,,,,,,,,53.79,39.69,58.71,4.11,3.6,5.3,7.5,6.35,8.0,32.07,27.11,45.73,1.53,1.11,2.0,,,,,
2020-01-10,,,,,,,,,,,,,,,,54.59,42.01,58.68,4.21,3.66,5.46,7.43,6.27,8.0,31.24,27.13,43.21,1.53,1.09,2.0,,,,,
2020-01-11,,,,,,,,,,,,,,,,55.28,44.5,58.64,4.32,3.71,5.6,7.36,6.2,8.0,30.51,27.15,40.5,1.53,1.1,2.0,,,,,
2020-01-12,,,,,,,,,,,,,,,,55.86,46.99,58.61,4.42,3.77,5.82,7.29,6.14,8.0,29.88,27.17,37.79,1.54,1.12,2.0,,,,,
2020-01-13,,,,,,,,,,,,,,,,56.35,49.31,58.58,4.52,3.82,6.12,7.23,6.02,8.0,29.36,27.2,35.27,1.54,1.11,2.0,,,,,
2020-01-14,,,,,,,,,,,,,,,,56.75,51.34,58.57,4.61,3.87,6.64,7.17,5.82,8.0,28.93,27.21,33.6,1.55,1.08,2.0,,,,,
2020-01-15,,,,,,,,,,,,,,,,57.06,52.99,58.64,4.69,3.91,7.09,7.11,5.54,8.0,28.59,27.24,32.19,1.56,1.06,2.0,,,,,
2020-01-16,,,,,,,,,,,,,,,,57.28,54.23,58.61,4.77,3.94,7.45,7.06,5.33,8.0,28.33,27.17,31.01,1.57,1.04,2.0,,,,,
2020-01-17,,,,,,,,,,,,,,,,57.43,55.09,58.57,4.83,3.97,7.71,7.01,5.18,8.0,28.15,27.14,29.91,1.58,1.02,2.0,,,,,
2020-01-18,,,,,,,,,,,,,,,,57.51,55.61,58.76,4.89,3.99,7.88,6.97,5.07,8.0,28.04,27.15,29.25,1.59,1.01,2.0,,,,,
2020-01-19,,,,,,,,,,,,,,,,57.54,55.89,58.92,4.95,4.0,7.96,6.93,5.02,8.0,27.99,27.08,29.08,1.6,1.0,2.0,,,,,
2020-01-20,,,,,,,,,,,,,,,,57.53,55.99,58.99,4.99,4.0,8.0,6.9,5.0,8.0,27.97,27.01,29.01,1.61,1.0,2.0,,,,,
2020-01-21,,,,,,,,,,,,,,,,57.51,56.0,59.0,5.04,4.0,8.0,6.87,5.0,8.0,27.97,27.0,29.0,1.62,1.0,2.0,,,,,
2020-01-22,,,,,,,,,,,,,,,,57.48,56.31,59.0,5.08,4.0,7.9,6.84,5.05,8.0,27.98,27.0,28.8,1.62,1.0,2.0,,,,,
2020-01-23,,,,,,,,,,,,,,,,57.46,56.3,59.0,5.11,4.0,7.9,6.81,5.05,8.0,27.98,27.0,28.79,1.63,1.0,2.0,,,,,
2020-01-24,,,,,,,,,,,,,,,,57.44,56.29,59.0,5.14,4.0,7.91,6.79,5.05,8.0,27.99,27.0,28.79,1.64,1.0,2.0,,,,,
2020-01-25,,,,,,,,,,,,,,,,57.42,56.28,59.0,5.17,4.0,7.91,6.77,5.05,8.0,27.99,27.0,28.78,1.64,1.0,2.0,,,,,
2020-01-26,,,,,,,,,,,,,,,,57.41,56.28,59.0,5.2,4.0,7.91,6.75,5.04,8.0,27.99,27.0,28.78,1.65,1.0,2.0,59.0,27.0,8.0,4.0,1.0
2020-01-27,,,,,,,,,,,,,,,,57.39,56.27,59.0,5.22,4.0,7.91,6.74,5.04,8.0,28.0,27.0,28.77,1.65,1.0,2.0,,,,,
2020-01-28,,,,,,,,,,,,,,,,57.38,56.27,59.0,5.24,4.0,7.91,6.72,5.04,8.0,28.0,27.0,28.77,1.65,1.0,2.0,,,,,
2020-01-29,,,,,,,,,,,,,,,,57.37,56.27,59.0,5.26,4.0,7.92,6.71,5.04,8.0,28.0,27.0,28.76,1.66,1.0,2.0,,,,,
2020-01-30,,,,,,,,,,,,,,,,57.36,56.26,59.0,5.28,4.0,7.92,6.7,5.04,8.0,28.0,27.0,28.76,1.66,1.0,2.0,,,,,
2020-01-31,,,,,,,,,,,,,,,,57.35,56.26,59.0,5.29,4.0,7.92,6.69,5.04,8.0,28.0,27.0,28.76,1.66,1.0,2.0,,,,,
2020-02-01,,,,,,,,,,,,,,,,57.34,56.26,59.0,5.31,4.0,7.92,6.68,5.04,8.0,28.0,27.0,28.76,1.67,1.0,2.0,,,,,
2020-02-02,,,,,,,,,,,,,,,,57.34,56.25,59.0,5.32,4.0,7.92,6.67,5.04,8.0,28.01,27.0,28.75,1.67,1.0,2.0,57.0,29.0,7.0,4.0,2.0
2020-02-03,,,,,,,,,,,,,,,,57.33,56.25,59.0,5.33,4.0,7.92,6.66,5.04,8.0,28.01,27.0,28.75,1.67,1.0,2.0,,,,,
