date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2024-07-26,18.56,18.04,19.32,40.96,39.8,41.97,6.51,6.0,7.04,7.01,5.0,9.0,20.0,20.0,20.0,19.0,40.0,6.0,5.0,20.0
2024-07-27,18.58,18.06,25.0,40.94,39.0,41.95,6.51,6.0,8.0,7.01,5.0,8.99,20.0,20.0,20.0,,,,,
2024-07-28,18.62,18.08,25.0,40.92,39.0,41.94,6.52,6.0,8.0,7.01,5.0,8.99,20.0,20.0,20.0,,,,,
2024-07-29,18.65,18.11,25.0,40.89,39.0,41.92,6.53,6.01,8.0,7.02,5.0,8.99,20.0,20.0,20.0,,,,,
2024-07-30,18.7,18.14,25.0,40.86,39.0,41.89,6.54,6.01,8.0,7.02,5.01,8.98,20.0,20.0,20.0,18.0,42.0,7.0,9.0,20.0
2024-07-31,18.75,18.18,25.0,40.83,39.0,41.86,6.55,6.02,8.0,7.03,5.01,8.97,20.0,20.0,20.0,,,,,
2024-08-01,18.82,18.22,25.0,40.79,39.0,41.83,6.56,6.04,8.0,7.03,5.02,8.97,20.0,20.0,20.0,,,,,
2024-08-02,18.88,18.25,25.0,40.75,38.99,41.8,6.57,6.05,8.0,7.04,5.03,8.96,20.0,20.0,20.0,,,,,
2024-08-03,18.96,18.27,25.0,40.7,38.85,41.76,6.59,6.06,8.0,7.04,5.04,8.95,20.0,20.0,20.0,,,,,
2024-08-04,19.04,18.32,25.0,40.65,38.72,41.72,6.6,6.08,8.0,7.04,5.05,8.95,20.0,20.0,20.0,,,,,
2024-08-05,19.13,18.32,25.0,40.6,38.58,41.68,6.62,6.1,8.0,7.05,5.06,8.93,20.0,20.0,20.0,,,,,
2024-08-06,19.23,18.33,25.0,40.54,38.46,41.63,6.64,6.12,8.0,7.05,5.08,8.92,20.0,20.0,20.0,,,,,
2024-08-07,19.33,18.33,25.0,40.48,38.34,41.59,6.66,6.14,8.0,7.06,5.09,8.9,20.0,20.0,20.0,,,,,
2024-08-08,19.43,18.33,25.0,40.43,38.23,41.54,6.68,6.16,8.0,7.06,5.11,8.89,20.0,20.0,20.0,,,,,
2024-08-09,19.54,18.36,25.0,40.36,38.13,41.51,6.7,6.18,8.0,7.07,5.14,8.87,20.0,20.0,20.0,,,,,
2024-08-10,19.65,18.39,25.0,40.3,38.03,41.5,6.72,6.19,8.0,7.07,5.16,8.85,20.0,20.0,20.0,,,,,
2024-08-11,19.76,18.43,25.0,40.24,37.94,41.43,6.74,6.21,8.0,7.07,5.18,8.82,20.0,20.0,20.0,,,,,
2024-08-12,19.88,18.46,25.0,40.18,37.86,41.4,6.77,6.24,8.0,7.08,5.21,8.8,20.0,20.0,20.0,,,,,
2024-08-13,19.99,18.5,25.0,40.12,37.79,41.36,6.79,6.27,8.0,7.08,5.23,8.78,20.0,20.0,20.0,,,,,
2024-08-14,20.11,18.49,25.0,40.05,37.72,41.36,6.81,6.29,8.0,7.08,5.25,8.75,20.0,20.0,20.0,,,,,
2024-08-15,20.22,18.49,25.0,39.99,37.65,41.36,6.84,6.32,8.0,7.08,5.27,8.73,20.0,20.0,20.0,,,,,
2024-08-16,20.34,18.29,25.0,39.93,37.55,41.66,6.86,6.25,8.0,7.09,5.18,8.84,20.0,20.0,20.0,,,,,
2024-08-17,20.46,18.29,25.0,39.87,37.51,41.62,6.88,6.26,8.0,7.09,5.2,8.83,20.0,20.0,20.0,,,,,
2024-08-18,20.57,18.29,25.0,39.81,37.45,41.59,6.91,6.27,8.0,7.09,5.22,8.82,20.0,20.0,20.0,,,,,
2024-08-19,20.69,18.29,25.01,39.75,37.38,41.55,6.93,6.27,8.0,7.09,5.24,8.81,20.0,20.0,20.0,,,,,
2024-08-20,20.8,18.29,25.03,39.69,37.34,41.54,6.96,6.28,8.0,7.09,5.26,8.8,20.0,19.99,20.0,,,,,
2024-08-21,20.92,18.3,25.05,39.63,37.31,41.53,6.98,6.29,8.0,7.09,5.28,8.79,20.0,19.99,20.0,,,,,
2024-08-22,21.03,18.31,25.07,39.57,37.29,41.52,7.0,6.3,8.0,7.09,5.3,8.78,20.0,19.98,20.0,,,,,
2024-08-23,21.15,18.36,25.1,39.52,37.22,41.5,7.03,6.31,8.0,7.1,5.31,8.77,19.99,19.97,20.0,,,,,
2024-08-24,21.27,18.44,25.13,39.46,37.16,41.48,7.05,6.33,8.0,7.1,5.34,8.76,19.99,19.96,20.0,,,,,
2024-08-25,21.38,18.48,25.16,39.41,37.1,41.46,7.08,6.35,8.0,7.1,5.36,8.75,19.99,19.95,20.0,,,,,
2024-08-26,21.5,18.52,25.19,39.35,37.07,41.44,7.1,6.36,8.0,7.1,5.38,8.74,19.99,19.94,20.0,,,,,
2024-08-27,21.62,18.54,25.22,39.3,37.02,41.41,7.12,6.36,8.0,7.1,5.4,8.73,19.98,19.92,20.0,,,,,
2024-08-28,21.74,18.54,25.25,39.25,37.0,41.39,7.15,6.36,8.0,7.1,5.42,8.69,19.98,19.91,20.0,,,,,
2024-08-29,21.85,18.61,25.28,39.2,37.02,41.34,7.17,6.37,8.0,7.1,5.44,8.67,19.98,19.89,20.0,,,,,
2024-08-30,21.97,18.67,25.81,39.14,37.08,41.33,7.2,6.37,8.0,7.1,5.42,8.65,19.97,19.87,20.0,,,,,
2024-08-31,22.09,18.7,25.8,39.1,37.05,41.31,7.22,6.39,8.0,7.1,5.44,8.62,19.97,19.85,20.0,,,,,
2024-09-01,22.21,18.74,25.8,39.05,37.08,41.27,7.25,6.4,8.0,7.1,5.45,8.59,19.96,19.84,20.0,,,,,
2024-09-02,22.32,18.82,25.79,39.0,37.08,41.23,7.27,6.42,8.0,7.1,5.47,8.56,19.96,19.82,20.0,,,,,
2024-09-03,22.44,18.88,25.79,38.95,37.04,41.16,7.3,6.43,8.01,7.1,5.49,8.53,19.95,19.81,20.0,,,,,
2024-09-04,22.56,18.95,25.78,38.9,37.04,41.09,7.32,6.46,8.01,7.1,5.53,8.49,19.94,19.79,20.0,,,,,
2024-09-05,22.68,19.07,25.78,38.85,37.04,41.05,7.35,6.51,8.01,7.1,5.57,8.48,19.93,19.75,20.0,,,,,
2024-09-06,22.8,19.14,25.78,38.8,37.02,41.01,7.38,6.55,8.02,7.1,5.61,8.47,19.93,19.72,20.0,,,,,
2024-09-07,22.93,19.24,25.82,38.75,36.98,40.97,7.41,6.59,8.03,7.1,5.67,8.45,19.92,19.69,20.0,,,,,
2024-09-08,23.05,19.39,25.86,38.7,36.93,40.93,7.44,6.62,8.03,7.1,5.75,8.43,19.91,19.67,20.0,,,,,
2024-09-09,23.17,19.43,25.86,38.65,36.88,40.9,7.47,6.68,8.04,7.1,5.82,8.38,19.9,19.63,20.0,,,,,
2024-09-10,23.29,19.57,25.87,38.6,36.82,40.78,7.5,6.72,8.05,7.11,5.86,8.32,19.89,19.6,20.0,,,,,
2024-09-11,23.42,19.72,25.87,38.54,36.76,40.67,7.53,6.78,8.06,7.11,5.89,8.27,19.88,19.57,20.0,,,,,
2024-09-12,23.54,19.89,25.87,38.49,36.74,40.61,7.56,6.84,8.07,7.11,5.93,8.24,19.87,19.53,20.0,,,,,
