date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,42.3,40.65,44.46,2.89,2.32,4.0,7.28,5.77,8.0,41.94,40.48,42.7,3.86,2.41,5.0,40.0,43.0,8.0,2.0,5.0
2019-12-13,,,,,,,,,,,,,,,,42.37,40.71,44.46,2.93,2.34,4.01,7.25,5.76,8.0,41.9,40.46,42.68,3.84,2.41,5.0,,,,,
2019-12-14,,,,,,,,,,,,,,,,42.43,40.77,44.46,2.96,2.36,4.01,7.22,5.75,8.0,41.86,40.44,42.66,3.82,2.42,5.0,,,,,
2019-12-15,,,,,,,,,,,,,,,,42.49,40.83,44.45,2.99,2.37,4.02,7.19,5.75,8.0,41.83,40.41,42.63,3.81,2.42,5.0,,,,,
2019-12-16,,,,,,,,,,,,,,,,42.54,40.88,44.45,3.02,2.39,4.03,7.17,5.75,8.0,41.79,40.39,42.62,3.79,2.43,5.0,,,,,
2019-12-17,,,,,,,,,,,,,,,,42.59,40.94,44.44,3.05,2.4,4.03,7.14,5.74,8.0,41.76,40.37,42.6,3.78,2.43,5.0,,,,,
2019-12-18,,,,,,,,,,,,,,,,42.64,41.0,44.44,3.08,2.42,4.04,7.12,5.73,8.0,41.73,40.35,42.58,3.77,2.43,5.0,,,,,
2019-12-19,,,,,,,,,,,,,,,,42.69,41.05,44.44,3.1,2.43,4.04,7.09,5.73,8.0,41.7,40.33,42.57,3.76,2.44,5.0,,,,,
2019-12-20,,,,,,,,,,,,,,,,42.73,41.11,44.44,3.13,2.45,4.06,7.07,5.73,8.0,41.67,40.31,42.55,3.75,2.44,5.0,,,,,
2019-12-21,,,,,,,,,,,,,,,,42.77,41.16,44.45,3.15,2.46,4.08,7.05,5.73,8.0,41.65,40.3,42.54,3.75,2.45,5.0,,,,,
2019-12-22,,,,,,,,,,,,,,,,42.81,41.2,44.45,3.18,2.48,4.09,7.03,5.72,8.0,41.62,40.28,42.53,3.74,2.45,5.0,,,,,
2019-12-23,,,,,,,,,,,,,,,,42.85,41.23,44.45,3.2,2.49,4.11,7.01,5.72,8.0,41.6,40.27,42.52,3.73,2.45,5.0,,,,,
2019-12-24,,,,,,,,,,,,,,,,42.88,41.26,44.45,3.22,2.5,4.12,6.99,5.72,8.0,41.57,40.25,42.5,3.73,2.45,5.0,,,,,
2019-12-25,,,,,,,,,,,,,,,,42.92,41.3,44.46,3.24,2.51,4.14,6.97,5.72,8.0,41.55,40.24,42.49,3.72,2.46,5.0,,,,,
2019-12-26,,,,,,,,,,,,,,,,42.95,41.33,44.46,3.26,2.52,4.15,6.96,5.71,8.0,41.53,40.22,42.48,3.72,2.46,5.0,,,,,
2019-12-27,,,,,,,,,,,,,,,,42.98,41.36,44.46,3.28,2.53,4.16,6.94,5.71,8.0,41.51,40.21,42.47,3.71,2.46,5.0,,,,,
2019-12-28,,,,,,,,,,,,,,,,43.01,41.39,44.47,3.29,2.55,4.18,6.92,5.71,8.0,41.49,40.2,42.46,3.71,2.47,5.0,,,,,
2019-12-29,,,,,,,,,,,,,,,,43.03,41.42,44.47,3.31,2.56,4.19,6.91,5.71,8.0,41.47,40.19,42.46,3.71,2.47,5.0,,,,,
2019-12-30,,,,,,,,,,,,,,,,43.06,41.45,44.47,3.33,2.57,4.2,6.89,5.71,8.0,41.45,40.17,42.45,3.7,2.47,5.0,,,,,
2019-12-31,,,,,,,,,,,,,,,,43.08,41.48,44.47,3.34,2.58,4.21,6.88,5.71,8.0,41.43,40.16,42.44,3.7,2.47,5.0,,,,,
2020-01-01,,,,,,,,,,,,,,,,43.11,41.5,44.47,3.36,2.59,4.21,6.87,5.71,8.0,41.41,40.15,42.43,3.7,2.47,5.0,,,,,
2020-01-02,,,,,,,,,,,,,,,,43.13,41.53,44.48,3.37,2.6,4.22,6.85,5.71,8.0,41.4,40.14,42.43,3.69,2.48,5.0,,,,,
2020-01-03,,,,,,,,,,,,,,,,43.15,41.56,44.48,3.39,2.61,4.23,6.84,5.72,8.0,41.38,40.13,42.42,3.69,2.48,5.0,,,,,
2020-01-04,,,,,,,,,,,,,,,,43.18,41.59,44.48,3.4,2.62,4.24,6.83,5.72,8.0,41.36,40.12,42.41,3.69,2.48,5.0,,,,,
2020-01-05,,,,,,,,,,,,,,,,43.2,41.61,44.48,3.42,2.63,4.25,6.82,5.72,8.0,41.35,40.12,42.41,3.69,2.48,5.0,,,,,
2020-01-06,,,,,,,,,,,,,,,,43.22,41.64,44.48,3.43,2.65,4.25,6.81,5.72,8.0,41.33,40.11,42.4,3.68,2.48,5.0,,,,,
2020-01-07,,,,,,,,,,,,,,,,43.24,41.67,44.48,3.44,2.65,4.25,6.8,5.72,8.0,41.32,40.1,42.39,3.68,2.48,5.0,,,,,
2020-01-08,,,,,,,,,,,,,,,,43.26,41.69,44.49,3.46,2.66,4.26,6.78,5.73,8.0,41.3,40.09,42.38,3.68,2.49,5.0,,,,,
2020-01-09,,,,,,,,,,,,,,,,43.28,41.72,44.49,3.47,2.67,4.27,6.77,5.72,8.0,41.29,40.08,42.38,3.67,2.49,5.0,,,,,
2020-01-10,,,,,,,,,,,,,,,,43.3,41.75,44.49,3.48,2.67,4.27,6.76,5.71,8.0,41.27,40.07,42.37,3.67,2.49,5.0,,,,,
2020-01-11,,,,,,,,,,,,,,,,43.32,41.78,44.49,3.49,2.69,4.28,6.75,5.7,8.0,41.26,40.07,42.36,3.67,2.49,5.0,,,,,
2020-01-12,,,,,,,,,,,,,,,,43.34,41.81,44.49,3.51,2.69,4.28,6.74,5.68,8.0,41.25,40.06,42.35,3.67,2.49,5.0,,,,,
2020-01-13,,,,,,,,,,,,,,,,43.36,41.68,44.61,3.52,2.55,4.34,6.73,5.65,8.0,41.23,40.06,42.53,3.66,2.39,5.0,,,,,
