date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),Reform (poll)
2024-07-30,13.3,12.66,13.99,30.4,28.55,31.5,8.09,8.0,8.27,5.3,4.72,5.94,30.59,29.48,32.12,10.32,8.65,11.73,14.0,32.0,8.0,4.0,34.0,5.0
2024-07-31,13.31,12.66,13.99,30.34,28.49,31.45,8.1,8.0,8.29,5.31,4.72,5.97,30.6,29.51,32.08,10.36,8.76,11.73,,,,,,
2024-08-01,13.33,12.66,13.98,30.29,28.44,31.4,8.11,8.0,8.31,5.32,4.72,5.98,30.61,29.53,32.04,10.39,8.87,11.72,,,,,,
2024-08-02,13.34,12.67,13.97,30.23,28.4,31.36,8.12,8.01,8.32,5.33,4.72,6.0,30.61,29.55,32.01,10.42,8.95,11.7,,,,,,
2024-08-03,13.36,12.67,13.97,30.18,28.35,31.32,8.13,8.01,8.34,5.34,4.74,6.01,30.62,29.57,31.97,10.45,9.01,11.69,,,,,,
2024-08-04,13.37,12.69,13.96,30.13,28.31,31.29,8.13,8.01,8.36,5.34,4.74,6.02,30.63,29.59,31.94,10.47,9.08,11.67,,,,,,
2024-08-05,13.38,12.71,13.95,30.09,28.25,31.26,8.14,8.01,8.39,5.35,4.74,6.01,30.64,29.61,31.91,10.5,9.16,11.66,,,,,,
2024-08-06,13.4,12.73,13.95,30.04,28.23,31.24,8.15,8.02,8.41,5.35,4.75,6.01,30.65,29.64,31.88,10.52,9.22,11.65,,,,,,
2024-08-07,13.41,12.75,13.95,30.0,28.2,31.21,8.16,8.02,8.42,5.36,4.75,6.02,30.65,29.67,31.86,10.54,9.28,11.64,,,,,,
2024-08-08,13.42,12.77,13.95,29.96,28.15,31.19,8.17,8.02,8.44,5.36,4.75,6.03,30.66,29.71,31.83,10.56,9.32,11.63,,,,,,
2024-08-09,13.43,12.79,13.95,29.93,28.11,31.17,8.18,8.03,8.45,5.36,4.74,6.03,30.67,29.74,31.81,10.58,9.35,11.62,,,,,,
2024-08-10,13.44,12.81,13.95,29.9,28.07,31.15,8.19,8.03,8.46,5.37,4.75,6.03,30.68,29.77,31.79,10.6,9.38,11.61,,,,,,
2024-08-11,13.44,12.82,13.95,29.86,28.04,31.13,8.19,8.03,8.47,5.37,4.75,6.03,30.68,29.81,31.77,10.61,9.42,11.6,,,,,,
2024-08-12,13.45,12.83,13.95,29.83,28.01,31.11,8.2,8.04,8.48,5.37,4.76,6.03,30.69,29.83,31.75,10.63,9.44,11.59,,,,,,
2024-08-13,13.46,12.84,13.94,29.81,27.98,31.09,8.21,8.04,8.49,5.37,4.76,6.03,30.7,29.85,31.73,10.64,9.47,11.58,,,,,,
2024-08-14,13.46,12.86,13.94,29.78,27.96,31.07,8.22,8.04,8.5,5.37,4.76,6.02,30.7,29.87,31.71,10.66,9.5,11.57,,,,,,
2024-08-15,13.47,12.87,13.94,29.76,27.94,31.05,8.22,8.05,8.51,5.38,4.76,6.02,30.71,29.88,31.7,10.67,9.53,11.55,13.0,31.0,8.0,6.0,29.0,11.0
2024-08-16,13.47,12.88,13.94,29.73,27.96,31.03,8.23,8.05,8.51,5.38,4.76,6.02,30.71,29.9,31.68,10.69,9.55,11.54,,,,,,
2024-08-17,13.48,12.9,13.94,29.71,27.98,31.01,8.23,8.06,8.52,5.38,4.76,6.03,30.71,29.91,31.68,10.7,9.58,11.53,,,,,,
2024-08-18,13.48,12.91,13.94,29.69,27.95,30.99,8.24,8.06,8.53,5.38,4.76,6.04,30.71,29.92,31.67,10.72,9.61,11.53,,,,,,
2024-08-19,13.48,12.92,13.94,29.67,27.92,30.97,8.25,8.06,8.54,5.38,4.76,6.05,30.71,29.93,31.65,10.73,9.66,11.53,,,,,,
2024-08-20,13.49,12.92,13.94,29.65,27.89,30.96,8.25,8.07,8.54,5.38,4.76,6.06,30.71,29.93,31.63,10.75,9.7,11.52,12.0,32.0,8.0,5.0,29.0,12.0
