date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,56.28,54.08,59.76,4.88,4.0,6.0,13.22,10.68,14.57,22.32,20.66,23.35,1.53,1.18,2.0,53.0,24.0,15.0,4.0,1.0
2019-12-13,,,,,,,,,,,,,,,,56.38,54.11,59.77,4.9,4.0,6.0,13.17,10.66,14.55,22.27,20.65,23.31,1.55,1.19,2.0,,,,,
2019-12-14,,,,,,,,,,,,,,,,56.47,54.16,59.79,4.91,4.0,6.0,13.12,10.64,14.54,22.22,20.65,23.28,1.56,1.21,2.0,,,,,
2019-12-15,,,,,,,,,,,,,,,,56.56,54.24,59.8,4.92,4.0,6.0,13.07,10.63,14.52,22.17,20.64,23.25,1.57,1.21,2.0,,,,,
2019-12-16,,,,,,,,,,,,,,,,56.65,54.33,59.8,4.94,4.0,6.0,13.03,10.61,14.51,22.13,20.63,23.21,1.59,1.22,2.0,,,,,
2019-12-17,,,,,,,,,,,,,,,,56.72,54.41,59.82,4.95,4.0,6.0,12.99,10.59,14.5,22.08,20.62,23.17,1.6,1.24,2.0,,,,,
2019-12-18,,,,,,,,,,,,,,,,56.8,54.49,59.83,4.96,4.0,6.0,12.95,10.58,14.49,22.04,20.62,23.16,1.61,1.25,2.0,,,,,
2019-12-19,,,,,,,,,,,,,,,,56.87,54.56,59.84,4.97,4.0,6.0,12.91,10.56,14.47,22.01,20.61,23.13,1.62,1.26,2.0,,,,,
2019-12-20,,,,,,,,,,,,,,,,56.93,54.62,59.84,4.97,4.0,6.0,12.88,10.59,14.45,21.97,20.6,23.12,1.63,1.27,2.0,,,,,
2019-12-21,,,,,,,,,,,,,,,,57.0,54.66,59.85,4.98,4.0,6.0,12.85,10.61,14.42,21.94,20.6,23.08,1.64,1.28,2.0,,,,,
2019-12-22,,,,,,,,,,,,,,,,57.06,54.69,59.86,4.99,4.0,6.0,12.82,10.63,14.39,21.9,20.59,23.05,1.65,1.29,2.0,,,,,
