date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2024-07-11,21.46,20.67,22.76,35.79,33.6,37.42,11.34,11.0,12.0,8.25,7.34,8.95,,,,,,,17.23,16.54,18.14,20.0,39.0,11.0,9.0,,,16.0
2024-07-12,21.49,20.69,22.78,35.69,33.59,37.33,11.35,11.0,12.0,8.24,7.36,8.94,,,,,,,17.29,16.57,18.22,,,,,,,
2024-07-13,21.51,20.7,22.81,35.6,33.58,37.21,11.36,11.0,12.0,8.24,7.38,8.94,,,,,,,17.34,16.59,18.33,,,,,,,
2024-07-14,21.53,20.71,22.83,35.52,33.57,37.09,11.37,11.0,12.0,8.23,7.4,8.93,,,,,,,17.39,16.61,18.42,,,,,,,
2024-07-15,21.54,20.72,22.83,35.45,33.55,36.97,11.37,11.0,12.0,8.23,7.42,8.93,,,,,,,17.44,16.62,18.48,,,,,,,
2024-07-16,21.56,20.74,22.85,35.38,33.54,36.86,11.38,11.0,12.0,8.22,7.43,8.93,,,,,,,17.49,16.64,18.54,,,,,,,
2024-07-17,21.57,20.76,22.87,35.32,33.53,36.81,11.38,11.0,12.0,8.22,7.45,8.92,,,,,,,17.53,16.65,18.6,,,,,,,
2024-07-18,21.58,20.76,22.89,35.27,33.52,36.77,11.39,11.0,12.0,8.21,7.46,8.92,,,,,,,17.57,16.66,18.65,,,,,,,
2024-07-19,21.59,20.76,22.9,35.22,33.51,36.73,11.39,11.0,12.0,8.21,7.46,8.91,,,,,,,17.6,16.66,18.7,,,,,,,
2024-07-20,21.6,20.78,22.92,35.17,33.47,36.67,11.4,11.0,12.0,8.21,7.27,9.0,,,,,,,17.64,16.67,18.74,,,,,,,
2024-07-21,21.61,20.78,22.94,35.13,33.43,36.66,11.4,11.0,12.0,8.2,7.28,9.0,,,,,,,17.67,16.67,18.79,,,,,,,
2024-07-22,21.62,20.76,22.95,35.08,33.42,36.63,11.4,11.0,12.0,8.2,7.29,8.99,,,,,,,17.7,16.68,18.83,,,,,,,
2024-07-23,21.63,20.78,22.96,35.03,33.41,36.59,11.41,11.0,12.0,8.19,7.3,8.98,,,,,,,17.73,16.69,18.86,,,,,,,
2024-07-24,21.65,20.8,22.98,34.98,33.4,36.52,11.41,11.0,12.0,8.19,7.31,8.96,,,,,,,17.76,16.71,18.89,,,,,,,
2024-07-25,21.68,20.81,23.0,34.93,33.37,36.41,11.41,11.01,12.0,8.18,7.32,8.93,,,,,,,17.79,16.74,18.91,22.0,36.0,11.0,7.0,,,17.0
