date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),PC (19-24),PC (19-24) (low),PC (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),SNP (19-24),SNP (19-24) (low),SNP (19-24) (high),Ukip (19-24),Ukip (19-24) (low),Ukip (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,32.0,12.0,3.0,,2.0
2019-12-16,,,,,,,,,,,,,,,,,,,44.0,44.0,44.0,3.0,3.0,3.0,12.0,12.0,12.0,32.0,32.0,32.0,,,,2.0,2.0,2.0,,,,,,,,,,,,
2019-12-17,,,,,,,,,,,,,,,,,,,44.0,44.0,49.0,3.0,3.0,4.0,12.0,10.0,12.0,32.0,29.0,32.0,,,,2.0,2.0,2.0,,,,,,,,,,,,
2019-12-18,,,,,,,,,,,,,,,,,,,44.01,44.0,49.0,3.0,3.0,4.0,11.99,10.0,12.0,31.99,29.0,32.0,,,,2.0,2.0,2.0,,,,,,,,,,,,
2019-12-19,,,,,,,,,,,,,,,,,,,44.05,44.0,49.0,3.01,3.0,4.0,11.98,10.0,12.0,31.97,29.0,32.0,,,,2.0,2.0,2.0,,,,,,,,,,,,
2019-12-20,,,,,,,,,,,,,,,,,,,44.1,44.0,49.0,3.02,3.0,4.0,11.96,10.0,12.0,31.94,29.0,32.0,,,,2.0,2.0,2.0,,,,,,,,,,,,
2019-12-21,,,,,,,,,,,,,,,,,,,44.18,44.0,49.0,3.04,3.0,4.0,11.93,10.0,12.0,31.89,29.0,32.0,,,,2.0,2.0,2.0,,,,,,,,,,,,
2019-12-22,,,,,,,,,,,,,,,,,,,44.28,44.0,48.99,3.06,3.0,4.0,11.89,10.0,12.0,31.83,29.01,32.6,,,,2.0,2.0,2.01,,,,,,,,,,,,
2019-12-23,,,,,,,,,,,,,,,,,,,44.41,44.0,49.0,3.08,3.0,4.0,11.83,10.0,12.0,31.76,29.0,33.0,,,,2.0,2.0,3.0,,,,,,,,,,,,
2019-12-24,,,,,,,,,,,,,,,,,,,44.56,44.0,48.99,3.11,3.0,4.02,11.76,9.93,12.0,31.67,29.0,32.76,,,,2.01,1.99,2.87,,,,,,,,,,,,
2019-12-25,,,,,,,,,,,,,,,,,,,44.73,44.01,48.96,3.15,3.01,4.09,11.67,9.8,11.98,31.58,29.02,32.32,,,,2.02,1.96,2.63,,,,,,,,,,,,
2019-12-26,,,,,,,,,,,,,,,,,,,44.92,44.03,48.91,3.2,3.02,4.19,11.55,9.68,11.95,31.48,29.04,32.08,,,,2.02,1.91,2.47,,,,,,,,,,,,
2019-12-27,,,,,,,,,,,,,,,,,,,45.14,44.06,48.86,3.27,3.04,4.3,11.42,9.6,11.91,31.38,29.08,32.06,,,,2.03,1.86,2.38,,,,,,,,,,,,
2019-12-28,,,,,,,,,,,,,,,,,,,45.35,44.1,48.8,3.34,3.07,4.39,11.27,9.57,11.85,31.28,29.11,32.09,,,,2.04,1.8,2.37,,,,,,,,,,,,
2019-12-29,,,,,,,,,,,,,,,,,,,45.57,44.15,48.74,3.42,3.11,4.46,11.12,9.55,11.78,31.18,29.15,32.07,,,,2.04,1.75,2.34,,,,,,,,,,,,
2019-12-30,,,,,,,,,,,,,,,,,,,45.78,44.21,48.69,3.49,3.15,4.52,10.97,9.5,11.7,31.09,29.18,32.08,,,,2.05,1.73,2.29,,,,,,,,,,,,
2019-12-31,,,,,,,,,,,,,,,,,,,45.97,44.28,48.73,3.57,3.19,4.57,10.83,9.41,11.61,31.0,29.21,32.08,,,,2.05,1.7,2.31,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,46.14,44.35,48.69,3.65,3.24,4.73,10.7,9.36,11.5,30.93,29.24,32.06,,,,2.05,1.68,2.33,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,,,,46.3,44.44,48.66,3.72,3.29,4.75,10.58,9.33,11.4,30.86,29.27,32.05,,,,2.05,1.66,2.36,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,46.45,44.54,48.63,3.79,3.33,4.78,10.47,9.32,11.27,30.79,29.29,32.02,,,,2.05,1.64,2.37,,,,,,,,,,,,
2020-01-04,,,,,,,,,,,,,,,,,,,46.58,44.62,48.63,3.86,3.35,5.0,10.37,9.31,11.14,30.73,29.31,31.98,,,,2.05,1.6,2.41,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,46.69,44.79,48.6,3.92,3.4,5.0,10.28,9.3,11.01,30.66,29.33,31.93,,,,2.04,1.57,2.43,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,46.8,44.84,48.57,3.99,3.44,5.0,10.19,9.25,10.88,30.61,29.35,31.82,,,,2.04,1.54,2.44,,,,,,,,,,,,
