date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),PC (poll),Reform (poll)
2024-07-18,17.71,16.78,18.81,38.27,37.15,39.55,6.21,6.0,6.6,5.54,5.0,5.92,14.02,13.1,14.92,16.52,16.1,17.0,18.0,37.0,6.0,6.0,15.0,17.0
2024-07-19,17.71,16.8,18.79,38.28,37.16,39.49,6.21,6.0,6.59,5.53,5.0,5.91,14.02,13.11,14.91,16.53,16.11,17.0,,,,,,
2024-07-20,17.71,16.81,18.78,38.29,37.18,39.42,6.21,6.0,6.59,5.51,5.0,5.89,14.02,13.14,14.9,16.53,16.12,17.0,,,,,,
2024-07-21,17.71,16.81,18.76,38.29,37.2,39.41,6.21,6.0,6.57,5.5,5.0,5.88,14.02,13.16,14.89,16.54,16.14,17.0,,,,,,
2024-07-22,17.71,16.81,18.76,38.3,37.22,39.39,6.21,6.0,6.56,5.49,5.0,5.86,14.03,13.18,14.87,16.54,16.15,17.0,,,,,,
2024-07-23,17.71,16.81,18.76,38.3,37.24,39.4,6.21,6.0,6.54,5.48,5.0,5.85,14.03,13.21,14.86,16.55,16.16,17.0,,,,,,
2024-07-24,17.71,16.82,18.76,38.31,37.26,39.39,6.21,6.0,6.53,5.47,5.0,5.84,14.03,13.23,14.86,16.55,16.17,17.0,,,,,,
2024-07-25,17.71,16.82,18.77,38.31,37.28,39.4,6.21,6.0,6.54,5.46,5.0,5.83,14.03,13.26,15.0,16.56,16.19,17.0,,,,,,
2024-07-26,17.71,16.83,18.77,38.31,37.32,39.42,6.21,6.0,6.54,5.45,5.0,5.82,14.04,13.28,15.0,16.56,16.2,17.0,,,,,,
2024-07-27,17.72,16.84,18.75,38.32,37.32,39.43,6.21,6.0,6.53,5.44,5.0,5.8,14.04,13.3,15.0,16.57,16.21,17.0,,,,,,
2024-07-28,17.72,16.85,18.73,38.32,37.33,39.43,6.21,6.0,6.52,5.44,5.0,5.79,14.05,13.32,15.0,16.57,16.21,17.0,,,,,,
2024-07-29,17.72,16.87,18.71,38.32,37.37,39.43,6.21,6.0,6.51,5.43,5.0,5.78,14.05,13.34,15.0,16.58,16.21,17.0,,,,,,
2024-07-30,17.73,16.89,18.7,38.32,37.37,39.44,6.21,6.0,6.51,5.42,5.0,5.77,14.06,13.36,15.0,16.58,16.22,17.0,19.0,38.0,6.0,6.0,13.0,16.0
2024-07-31,17.73,16.91,18.69,38.33,37.38,39.42,6.21,6.0,6.51,5.41,5.0,5.75,14.06,13.38,15.0,16.59,16.23,16.99,,,,,,
2024-08-01,17.74,16.93,18.68,38.33,37.38,39.41,6.21,6.0,6.52,5.4,5.0,5.74,14.07,13.4,15.0,16.59,16.23,16.99,,,,,,
2024-08-02,17.74,16.95,18.67,38.33,37.4,39.39,6.21,6.0,6.52,5.39,5.0,5.73,14.08,13.42,15.0,16.59,16.23,16.99,,,,,,
2024-08-03,17.74,16.97,18.67,38.33,37.41,39.37,6.21,6.0,6.52,5.39,5.0,5.71,14.09,13.45,15.0,16.59,16.24,16.99,,,,,,
2024-08-04,17.75,16.98,18.66,38.33,37.43,39.34,6.21,6.0,6.52,5.38,5.0,5.71,14.1,13.46,15.0,16.6,16.24,16.98,,,,,,
2024-08-05,17.75,17.0,18.65,38.33,37.45,39.32,6.21,6.0,6.53,5.37,5.0,5.7,14.11,13.46,15.0,16.6,16.25,16.98,,,,,,
2024-08-06,17.75,17.01,18.64,38.34,37.47,39.31,6.21,6.0,6.53,5.36,5.0,5.68,14.12,13.49,15.0,16.6,16.25,16.97,,,,,,
2024-08-07,17.75,17.02,18.63,38.34,37.49,39.32,6.21,6.0,6.53,5.35,5.0,5.67,14.13,13.53,15.0,16.6,16.25,16.97,,,,,,
