date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),PC (19-24),PC (19-24) (low),PC (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),Ukip (19-24),Ukip (19-24) (low),Ukip (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),PC (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,37.76,36.44,41.0,1.35,1.11,2.0,5.65,5.0,5.91,39.24,36.0,40.56,11.05,10.26,13.0,4.3,3.0,4.79,,,,36.0,41.0,6.0,1.0,10.0,5.0
2019-12-13,,,,,,,,,,,,,,,,,,,37.88,36.5,41.0,1.38,1.13,2.0,5.62,5.0,5.9,39.12,36.0,40.5,11.13,10.3,13.0,4.25,3.0,4.77,,,,,,,,,
2019-12-14,,,,,,,,,,,,,,,,,,,38.0,36.56,41.0,1.4,1.14,2.0,5.6,5.0,5.89,39.0,36.0,40.44,11.2,10.34,13.0,4.2,3.0,4.76,,,,,,,,,
2019-12-15,,,,,,,,,,,,,,,,,,,38.11,36.62,41.0,1.42,1.16,2.0,5.58,5.0,5.88,38.89,36.0,40.38,11.27,10.37,13.0,4.15,3.0,4.74,,,,,,,,,
2019-12-16,,,,,,,,,,,,,,,,,,,38.22,36.68,41.0,1.44,1.17,2.0,5.56,5.0,5.86,38.78,36.0,40.32,11.33,10.41,13.0,4.11,3.0,4.72,,,,,,,,,
2019-12-17,,,,,,,,,,,,,,,,,,,38.32,36.74,41.0,1.46,1.18,2.0,5.54,5.0,5.85,38.68,36.0,40.26,11.39,10.45,13.0,4.07,3.0,4.7,,,,,,,,,
2019-12-18,,,,,,,,,,,,,,,,,,,38.41,36.8,41.0,1.48,1.19,2.0,5.52,5.0,5.84,38.59,36.0,40.2,11.45,10.48,13.0,4.04,3.0,4.68,,,,,,,,,
2019-12-19,,,,,,,,,,,,,,,,,,,38.5,36.86,41.0,1.5,1.21,2.0,5.5,5.0,5.83,38.5,36.0,40.14,11.5,10.52,13.0,4.0,3.0,4.65,,,,,,,,,
2019-12-20,,,,,,,,,,,,,,,,,,,38.58,36.92,41.0,1.52,1.22,2.0,5.48,5.0,5.82,38.42,36.0,40.08,11.55,10.55,13.0,3.97,3.0,4.63,,,,,,,,,
2019-12-21,,,,,,,,,,,,,,,,,,,38.66,36.98,41.0,1.53,1.23,2.0,5.47,5.0,5.8,38.34,36.0,40.02,11.59,10.59,13.0,3.94,3.0,4.61,,,,,,,,,
2019-12-22,,,,,,,,,,,,,,,,,,,38.73,37.04,41.0,1.55,1.24,2.0,5.45,5.0,5.79,38.27,36.0,39.96,11.64,10.62,13.0,3.91,3.0,4.59,,,,,,,,,
2019-12-23,,,,,,,,,,,,,,,,,,,38.8,37.09,41.0,1.56,1.25,2.0,5.44,5.0,5.78,38.2,36.0,39.91,11.68,10.65,13.0,3.88,3.0,4.56,,,,,,,,,
