date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2024-07-23,17.96,16.99,18.84,43.6,42.35,44.82,11.79,11.04,12.52,10.13,8.08,12.4,10.41,9.52,11.32,19.0,46.0,11.0,7.0,9.0
2024-07-24,17.97,16.99,18.85,43.59,42.35,44.78,11.79,11.05,12.52,10.11,8.1,12.38,10.42,9.55,11.32,,,,,
2024-07-25,17.97,17.0,18.88,43.58,42.33,44.75,11.78,11.03,12.52,10.09,8.12,12.35,10.42,9.59,11.31,,,,,
2024-07-26,17.98,17.0,18.9,43.58,42.33,44.76,11.78,11.04,12.52,10.07,8.13,12.31,10.43,9.61,11.29,19.0,42.0,13.0,14.0,9.0
2024-07-27,17.98,17.0,18.91,43.57,42.32,44.76,11.78,11.05,12.52,10.05,8.14,12.26,10.43,9.61,11.28,,,,,
2024-07-28,17.98,17.0,18.91,43.57,42.32,44.74,11.78,11.06,12.52,10.03,8.16,12.2,10.43,9.62,11.26,,,,,
2024-07-29,17.99,17.0,18.92,43.56,42.32,44.71,11.78,11.06,12.52,10.01,8.17,12.14,10.44,9.62,11.25,,,,,
2024-07-30,17.99,17.0,18.92,43.55,42.31,44.68,11.78,11.07,12.52,9.99,8.17,12.09,10.44,9.62,11.24,16.0,42.0,13.0,13.0,12.0
2024-07-31,17.99,17.0,18.93,43.55,42.31,44.65,11.78,11.08,12.51,9.97,8.18,12.03,10.44,9.63,11.22,,,,,
2024-08-01,17.99,17.0,18.94,43.54,42.31,44.63,11.78,11.1,12.51,9.95,8.19,11.98,10.45,9.64,11.21,,,,,
2024-08-02,17.99,17.0,18.94,43.53,42.31,44.6,11.79,11.11,12.5,9.93,8.19,11.93,10.45,9.66,11.2,,,,,
2024-08-03,17.99,17.0,18.95,43.52,42.33,44.59,11.79,11.12,12.5,9.91,8.2,11.88,10.45,9.68,11.19,,,,,
2024-08-04,17.99,17.01,18.95,43.51,42.33,44.57,11.79,11.13,12.49,9.89,8.21,11.83,10.46,9.71,11.17,18.0,44.0,11.0,8.0,11.0
