date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2024-07-26,23.08,22.22,24.5,36.03,33.14,38.59,8.32,6.63,10.48,8.0,7.36,8.52,20.11,16.07,23.2,22.0,41.0,12.0,8.0,13.0
2024-07-27,23.1,22.23,24.52,35.97,33.13,38.54,8.31,6.65,10.47,7.99,7.36,8.52,20.15,16.11,23.2,,,,,
2024-07-28,23.12,22.24,24.53,35.92,33.11,38.5,8.29,6.66,10.44,7.99,7.36,8.53,20.18,16.15,23.2,,,,,
2024-07-29,23.14,22.26,24.55,35.86,33.1,38.46,8.28,6.73,10.4,7.98,7.36,8.53,20.21,16.23,23.19,,,,,
2024-07-30,23.17,22.27,24.56,35.81,33.08,38.41,8.27,6.76,10.36,7.98,7.36,8.53,20.24,16.38,23.16,23.0,36.0,8.0,9.0,21.0
2024-07-31,23.2,22.31,24.58,35.75,33.07,38.37,8.26,6.76,10.32,7.97,7.36,8.54,20.27,16.45,23.16,,,,,
2024-08-01,23.22,22.31,24.69,35.7,33.05,38.24,8.25,6.76,10.28,7.97,7.37,8.53,20.29,16.52,23.1,,,,,
2024-08-02,23.25,22.35,24.7,35.64,33.04,38.11,8.25,6.76,10.24,7.97,7.39,8.53,20.3,16.59,23.05,,,,,
2024-08-03,23.29,22.38,24.78,35.59,33.03,37.98,8.24,6.76,10.18,7.98,7.4,8.54,20.32,16.67,22.98,,,,,
2024-08-04,23.32,22.41,24.82,35.53,33.02,37.84,8.24,6.79,10.15,7.98,7.41,8.57,20.33,16.73,22.94,,,,,
2024-08-05,23.35,22.46,24.86,35.48,33.01,37.72,8.24,6.82,10.12,7.98,7.41,8.59,20.34,16.8,22.86,,,,,
2024-08-06,23.39,22.49,24.86,35.42,33.0,37.65,8.23,6.85,10.08,7.99,7.41,8.6,20.35,16.86,22.85,,,,,
2024-08-07,23.43,22.52,24.86,35.37,32.99,37.53,8.23,6.88,10.05,7.99,7.41,8.65,20.35,16.96,22.84,,,,,
2024-08-08,23.46,22.53,24.86,35.32,32.98,37.45,8.23,6.89,10.01,8.0,7.42,8.66,20.35,17.05,22.83,,,,,
2024-08-09,23.5,22.57,24.86,35.27,32.97,37.38,8.23,6.91,10.0,8.01,7.45,8.68,20.35,17.12,22.76,,,,,
2024-08-10,23.54,22.61,24.98,35.21,32.96,37.32,8.23,6.93,9.97,8.02,7.47,8.7,20.35,17.21,22.76,,,,,
2024-08-11,23.58,22.63,25.1,35.16,32.96,37.29,8.23,6.95,9.93,8.03,7.48,8.72,20.35,17.29,22.75,,,,,
2024-08-12,23.62,22.67,25.14,35.11,32.95,37.21,8.24,6.97,9.9,8.04,7.49,8.76,20.35,17.32,22.75,,,,,
2024-08-13,23.67,22.7,25.18,35.07,32.95,37.14,8.24,6.98,9.87,8.05,7.49,8.81,20.34,17.35,22.73,,,,,
2024-08-14,23.71,22.72,25.29,35.02,32.94,37.06,8.24,7.0,9.83,8.06,7.49,8.87,20.33,17.38,22.7,,,,,
2024-08-15,23.75,22.75,25.31,34.97,32.92,36.97,8.24,7.02,9.8,8.07,7.49,8.92,20.33,17.41,22.68,22.0,35.0,6.0,8.0,23.0
2024-08-16,23.79,22.77,25.34,34.93,32.9,36.89,8.25,7.03,9.77,8.08,7.49,8.97,20.32,17.43,22.65,,,,,
2024-08-17,23.83,22.78,25.37,34.88,32.88,36.81,8.25,7.05,9.74,8.09,7.49,9.0,20.31,17.46,22.62,,,,,
2024-08-18,23.87,22.78,25.39,34.84,32.87,36.74,8.25,7.07,9.72,8.1,7.5,9.0,20.31,17.48,22.61,,,,,
