date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),Reform (poll)
2024-07-30,12.81,12.02,13.41,31.3,30.54,31.73,8.05,8.0,8.2,5.03,4.49,5.77,31.01,29.32,32.69,9.36,7.32,11.44,14.0,32.0,8.0,4.0,34.0,5.0
2024-07-31,12.8,12.04,13.42,31.24,30.47,31.69,8.06,8.0,8.22,5.06,4.54,5.77,30.97,29.39,32.59,9.45,7.48,11.43,,,,,,
2024-08-01,12.79,12.07,13.43,31.17,30.4,31.64,8.07,8.0,8.25,5.09,4.58,5.77,30.93,29.45,32.45,9.53,7.63,11.42,,,,,,
2024-08-02,12.79,12.1,13.45,31.11,30.29,31.61,8.07,8.0,8.26,5.12,4.62,5.77,30.9,29.49,32.4,9.6,7.75,11.41,,,,,,
2024-08-03,12.79,12.12,13.47,31.04,30.24,31.59,8.08,8.0,8.28,5.15,4.65,5.77,30.88,29.51,32.31,9.67,7.86,11.36,,,,,,
2024-08-04,12.79,12.14,13.46,30.96,30.14,31.57,8.09,8.0,8.3,5.18,4.68,5.79,30.86,29.54,32.24,9.73,7.96,11.32,,,,,,
2024-08-05,12.8,12.19,13.45,30.88,29.98,31.54,8.09,8.0,8.31,5.21,4.72,5.8,30.85,29.57,32.2,9.79,8.07,11.29,,,,,,
2024-08-06,12.81,12.22,13.44,30.79,29.89,31.49,8.1,8.0,8.32,5.24,4.74,5.83,30.84,29.6,32.2,9.85,8.17,11.29,,,,,,
2024-08-07,12.83,12.25,13.43,30.69,29.72,31.46,8.11,8.0,8.32,5.28,4.8,5.87,30.84,29.63,32.16,9.9,8.26,11.28,,,,,,
2024-08-08,12.84,12.29,13.46,30.59,29.58,31.41,8.12,8.0,8.33,5.31,4.84,5.88,30.84,29.72,32.1,9.96,8.33,11.28,,,,,,
2024-08-09,12.86,12.31,13.49,30.49,29.45,31.34,8.13,8.01,8.34,5.34,4.89,5.95,30.84,29.81,32.05,10.01,8.5,11.27,,,,,,
2024-08-10,12.88,12.34,13.52,30.39,29.32,31.3,8.13,8.01,8.36,5.37,4.91,5.97,30.85,29.87,32.01,10.07,8.62,11.26,,,,,,
2024-08-11,12.9,12.38,13.53,30.29,29.2,31.21,8.14,8.01,8.38,5.4,4.94,5.97,30.85,29.92,31.98,10.12,8.73,11.24,,,,,,
2024-08-12,12.92,12.4,13.56,30.19,29.09,31.14,8.15,8.02,8.39,5.43,4.96,5.98,30.86,29.95,31.95,10.17,8.84,11.22,,,,,,
2024-08-13,12.94,12.44,13.56,30.1,28.98,31.11,8.16,8.02,8.4,5.46,5.0,5.98,30.87,29.98,31.92,10.21,8.96,11.21,,,,,,
2024-08-14,12.96,12.46,13.57,30.01,28.87,31.04,8.17,8.03,8.41,5.49,5.03,6.0,30.87,30.03,31.9,10.26,9.06,11.2,,,,,,
2024-08-15,12.98,12.48,13.58,29.93,28.74,30.99,8.17,8.03,8.43,5.51,5.04,5.99,30.88,30.06,31.83,10.3,9.17,11.19,13.0,31.0,8.0,6.0,29.0,11.0
2024-08-16,12.99,12.49,13.6,29.86,28.63,30.97,8.18,8.04,8.44,5.53,5.1,6.02,30.89,30.11,31.81,10.34,9.24,11.18,,,,,,
2024-08-17,13.01,12.51,13.6,29.79,28.56,30.95,8.19,8.04,8.44,5.55,5.13,6.04,30.89,30.14,31.79,10.38,9.31,11.16,,,,,,
2024-08-18,13.02,12.5,13.6,29.72,28.51,30.87,8.2,8.05,8.44,5.57,5.15,6.05,30.89,30.18,31.76,10.42,9.39,11.16,,,,,,
2024-08-19,13.03,12.52,13.61,29.66,28.44,30.86,8.2,8.05,8.45,5.59,5.14,6.07,30.89,30.21,31.73,10.46,9.48,11.16,,,,,,
2024-08-20,13.04,12.55,13.62,29.61,28.46,30.83,8.21,8.06,8.46,5.6,5.15,6.09,30.9,30.22,31.71,10.49,9.53,11.16,12.0,32.0,8.0,5.0,29.0,12.0
2024-08-21,13.05,12.56,13.62,29.56,28.41,30.79,8.22,8.07,8.46,5.62,5.16,6.09,30.9,30.24,31.67,10.53,9.63,11.15,,,,,,
2024-08-22,13.06,12.56,13.63,29.51,28.36,30.75,8.22,8.07,8.46,5.63,5.17,6.11,30.9,30.29,31.64,10.56,9.72,11.17,12.0,31.0,8.0,5.0,31.0,10.5
2024-08-23,13.06,12.56,13.63,29.47,28.3,30.71,8.23,8.08,8.48,5.64,5.2,6.12,30.89,30.3,31.61,10.59,9.79,11.18,,,,,,
2024-08-24,13.07,12.56,13.64,29.43,28.25,30.7,8.24,8.08,8.5,5.65,5.2,6.12,30.89,30.29,31.58,10.62,9.88,11.22,,,,,,
2024-08-25,13.07,12.56,13.64,29.4,28.2,30.69,8.24,8.09,8.51,5.66,5.22,6.11,30.89,30.27,31.56,10.65,9.92,11.24,,,,,,
2024-08-26,13.08,12.56,13.64,29.36,28.13,30.68,8.25,8.09,8.51,5.66,5.22,6.11,30.89,30.27,31.53,10.68,9.97,11.26,,,,,,
2024-08-27,13.08,12.57,13.64,29.33,28.06,30.66,8.26,8.09,8.51,5.67,5.22,6.11,30.89,30.29,31.51,10.7,10.05,11.28,,,,,,
2024-08-28,13.08,12.57,13.64,29.3,28.01,30.65,8.26,8.09,8.51,5.67,5.21,6.11,30.89,30.28,31.51,10.73,10.11,11.3,,,,,,
2024-08-29,13.09,12.58,13.64,29.28,27.94,30.64,8.27,8.1,8.51,5.68,5.2,6.11,30.89,30.28,31.49,10.75,10.13,11.32,12.0,30.0,9.0,6.0,31.0,9.0
2024-08-30,13.09,12.58,13.64,29.25,27.87,30.63,8.28,8.1,8.51,5.68,5.2,6.12,30.89,30.29,31.48,10.77,10.17,11.33,,,,,,
2024-08-31,13.09,12.59,13.64,29.22,27.81,30.62,8.28,8.1,8.51,5.69,5.2,6.12,30.89,30.3,31.48,10.78,10.22,11.32,,,,,,
2024-09-01,13.1,12.59,13.64,29.2,27.76,30.61,8.29,8.1,8.51,5.69,5.19,6.12,30.9,30.32,31.47,10.8,10.24,11.35,15.0,28.0,8.0,6.0,30.0,12.0
2024-09-02,13.1,12.59,13.64,29.18,27.73,30.6,8.29,8.11,8.52,5.69,5.18,6.12,30.9,30.33,31.46,10.81,10.24,11.37,,,,,,
2024-09-03,13.11,12.59,13.64,29.15,27.71,30.59,8.3,8.11,8.53,5.69,5.17,6.13,30.91,30.34,31.45,10.82,10.24,11.38,,,,,,
2024-09-04,13.11,12.6,13.64,29.13,27.7,30.58,8.31,8.12,8.54,5.7,5.16,6.13,30.92,30.35,31.45,10.82,10.23,11.37,,,,,,
2024-09-05,13.12,12.61,13.65,29.1,27.68,30.56,8.31,8.13,8.55,5.7,5.16,6.14,30.93,30.37,31.45,10.83,10.23,11.36,14.0,25.0,8.0,7.0,32.0,11.0
2024-09-06,13.13,12.62,13.66,29.07,27.66,30.53,8.32,8.13,8.56,5.7,5.16,6.14,30.94,30.38,31.45,10.83,10.22,11.37,,,,,,
2024-09-07,13.14,12.63,13.67,29.05,27.65,30.51,8.32,8.13,8.57,5.7,5.16,6.15,30.95,30.4,31.45,10.83,10.22,11.37,,,,,,
