date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),Reform (poll)
2024-07-30,12.81,12.1,13.4,31.3,30.73,31.76,8.05,8.0,8.19,5.03,4.49,5.71,31.01,29.13,32.8,9.36,7.17,11.43,14.0,32.0,8.0,4.0,34.0,5.0
2024-07-31,12.8,12.14,13.39,31.24,30.67,31.72,8.06,8.0,8.21,5.06,4.52,5.72,30.97,29.16,32.74,9.45,7.28,11.45,,,,,,
2024-08-01,12.79,12.15,13.4,31.17,30.58,31.7,8.07,8.0,8.24,5.09,4.57,5.72,30.93,29.18,32.65,9.53,7.39,11.48,,,,,,
2024-08-02,12.79,12.17,13.43,31.11,30.5,31.67,8.07,8.0,8.26,5.12,4.6,5.77,30.9,29.22,32.57,9.6,7.55,11.47,,,,,,
2024-08-03,12.79,12.2,13.43,31.04,30.36,31.63,8.08,8.0,8.28,5.15,4.64,5.77,30.88,29.27,32.51,9.67,7.67,11.44,,,,,,
2024-08-04,12.79,12.23,13.44,30.96,30.23,31.58,8.09,8.0,8.3,5.18,4.67,5.79,30.86,29.32,32.45,9.73,7.82,11.41,,,,,,
2024-08-05,12.8,12.26,13.46,30.88,30.08,31.53,8.09,8.0,8.3,5.21,4.7,5.79,30.85,29.38,32.39,9.79,7.96,11.39,,,,,,
2024-08-06,12.81,12.28,13.47,30.79,29.93,31.47,8.1,8.0,8.31,5.24,4.75,5.83,30.84,29.47,32.33,9.85,8.12,11.36,,,,,,
2024-08-07,12.83,12.31,13.46,30.69,29.8,31.4,8.11,8.0,8.32,5.28,4.79,5.86,30.84,29.55,32.28,9.9,8.28,11.35,,,,,,
2024-08-08,12.84,12.31,13.47,30.59,29.67,31.32,8.12,8.0,8.32,5.31,4.85,5.91,30.84,29.61,32.23,9.96,8.4,11.36,,,,,,
2024-08-09,12.86,12.35,13.48,30.49,29.51,31.22,8.13,8.0,8.33,5.34,4.91,5.91,30.84,29.69,32.18,10.01,8.52,11.37,,,,,,
2024-08-10,12.88,12.38,13.49,30.39,29.4,31.17,8.13,8.0,8.35,5.37,4.94,5.94,30.85,29.78,32.12,10.07,8.68,11.38,,,,,,
2024-08-11,12.9,12.4,13.51,30.29,29.27,31.16,8.14,8.0,8.35,5.4,4.96,5.98,30.85,29.84,32.07,10.12,8.78,11.37,,,,,,
2024-08-12,12.92,12.43,13.51,30.19,29.15,31.08,8.15,8.0,8.37,5.43,5.0,6.02,30.86,29.92,32.02,10.17,8.87,11.31,,,,,,
2024-08-13,12.94,12.47,13.51,30.1,29.02,30.99,8.16,8.0,8.38,5.46,5.04,6.05,30.87,29.97,31.97,10.21,8.94,11.26,,,,,,
2024-08-14,12.96,12.49,13.52,30.01,28.96,30.96,8.17,8.0,8.39,5.49,5.04,6.05,30.87,29.99,31.93,10.26,9.01,11.24,,,,,,
2024-08-15,12.98,12.5,13.55,29.93,28.89,30.94,8.17,8.0,8.4,5.51,5.04,6.07,30.88,30.04,31.89,10.3,9.09,11.23,13.0,31.0,8.0,6.0,29.0,11.0
2024-08-16,12.99,12.51,13.57,29.86,28.82,30.93,8.18,8.0,8.41,5.53,5.07,6.06,30.89,30.04,31.84,10.34,9.18,11.21,,,,,,
2024-08-17,13.01,12.52,13.58,29.79,28.71,30.91,8.19,8.0,8.42,5.55,5.11,6.08,30.89,30.08,31.81,10.38,9.29,11.19,,,,,,
2024-08-18,13.02,12.53,13.58,29.72,28.62,30.9,8.2,8.01,8.43,5.57,5.09,6.08,30.89,30.11,31.76,10.42,9.42,11.18,,,,,,
2024-08-19,13.03,12.53,13.58,29.66,28.57,30.88,8.2,8.01,8.44,5.59,5.1,6.09,30.89,30.13,31.73,10.46,9.52,11.18,,,,,,
2024-08-20,13.04,12.53,13.59,29.61,28.55,30.82,8.21,8.02,8.45,5.6,5.11,6.1,30.9,30.16,31.69,10.49,9.59,11.18,12.0,32.0,8.0,5.0,29.0,12.0
2024-08-21,13.05,12.52,13.6,29.56,28.47,30.8,8.22,8.02,8.46,5.62,5.13,6.1,30.9,30.17,31.66,10.53,9.64,11.19,,,,,,
2024-08-22,13.06,12.52,13.61,29.51,28.4,30.79,8.22,8.03,8.48,5.63,5.14,6.1,30.9,30.18,31.64,10.56,9.7,11.2,12.0,31.0,8.0,5.0,31.0,10.5
2024-08-23,13.06,12.53,13.62,29.47,28.34,30.77,8.23,8.04,8.48,5.64,5.13,6.11,30.89,30.2,31.6,10.59,9.8,11.22,,,,,,
2024-08-24,13.07,12.53,13.63,29.43,28.3,30.75,8.24,8.05,8.49,5.65,5.13,6.12,30.89,30.24,31.56,10.62,9.91,11.24,,,,,,
2024-08-25,13.07,12.53,13.63,29.4,28.26,30.72,8.24,8.06,8.5,5.66,5.12,6.13,30.89,30.27,31.52,10.65,9.96,11.26,,,,,,
2024-08-26,13.08,12.54,13.64,29.36,28.25,30.68,8.25,8.06,8.51,5.66,5.12,6.16,30.89,30.28,31.49,10.68,9.99,11.28,,,,,,
