date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),Reform (poll)
2024-07-11,21.46,20.61,22.68,35.79,33.62,37.5,11.34,11.0,12.0,8.25,7.29,8.92,,,,17.23,16.47,18.37,20.0,39.0,11.0,9.0,,16.0
2024-07-12,21.49,20.63,22.72,35.69,33.61,37.35,11.35,11.0,12.0,8.24,7.31,8.91,,,,17.29,16.47,18.46,,,,,,
2024-07-13,21.51,20.62,22.75,35.6,33.6,37.28,11.36,11.0,12.0,8.24,7.33,8.9,,,,17.34,16.48,18.53,,,,,,
2024-07-14,21.53,20.62,22.78,35.52,33.59,37.21,11.37,11.0,12.0,8.23,7.35,8.89,,,,17.39,16.48,18.59,,,,,,
2024-07-15,21.54,20.61,22.8,35.45,33.58,37.15,11.37,11.0,12.0,8.23,7.37,8.89,,,,17.44,16.49,18.65,,,,,,
2024-07-16,21.56,20.61,22.81,35.38,33.57,37.09,11.38,11.0,12.0,8.22,7.38,8.88,,,,17.49,16.49,18.7,,,,,,
2024-07-17,21.57,20.61,22.81,35.32,33.56,37.04,11.38,11.0,12.0,8.22,7.4,8.87,,,,17.53,16.5,18.74,,,,,,
2024-07-18,21.58,20.59,22.85,35.27,33.55,36.99,11.39,11.0,12.0,8.21,7.42,8.87,,,,17.57,16.5,18.78,,,,,,
2024-07-19,21.59,20.58,22.88,35.22,33.54,36.94,11.39,11.0,12.0,8.21,7.43,8.86,,,,17.6,16.5,18.81,,,,,,
2024-07-20,21.6,20.57,22.89,35.17,33.5,36.89,11.4,11.0,12.0,8.21,7.41,8.9,,,,17.64,16.51,18.94,,,,,,
2024-07-21,21.61,20.57,22.92,35.13,33.5,36.84,11.4,11.0,12.0,8.2,7.42,8.9,,,,17.67,16.51,18.95,,,,,,
2024-07-22,21.62,20.56,22.94,35.08,33.49,36.79,11.4,11.0,12.0,8.2,7.43,8.89,,,,17.7,16.52,18.96,,,,,,
2024-07-23,21.63,20.58,22.96,35.03,33.48,36.74,11.41,11.0,12.0,8.19,7.44,8.89,,,,17.73,16.54,18.96,,,,,,
2024-07-24,21.65,20.61,22.97,34.98,33.46,36.68,11.41,11.01,12.0,8.19,7.45,8.88,,,,17.76,16.58,18.97,,,,,,
2024-07-25,21.68,20.66,22.99,34.93,33.43,36.6,11.41,11.01,12.0,8.18,7.46,8.88,,,,17.79,16.62,18.97,22.0,36.0,11.0,7.0,,17.0
2024-07-26,21.71,20.72,23.0,34.87,33.4,36.52,11.42,11.01,12.0,8.18,7.47,8.87,,,,17.82,16.68,18.98,,,,,,
2024-07-27,21.74,20.73,23.04,34.8,33.35,36.41,11.43,11.02,12.0,8.17,7.48,8.85,,,,17.85,16.7,18.98,,,,,,
2024-07-28,21.78,20.74,23.09,34.73,33.29,36.3,11.43,11.03,12.0,8.16,7.49,8.84,,,,17.88,16.72,18.98,,,,,,
2024-07-29,21.82,20.88,23.14,34.66,33.2,36.18,11.44,11.04,12.0,8.16,7.5,8.82,,,,17.91,16.75,18.99,,,,,,
2024-07-30,21.87,20.98,23.22,34.58,33.15,36.06,11.45,11.04,12.0,8.15,7.5,8.81,,,,17.94,16.78,18.99,22.0,34.0,12.0,9.0,,17.0
2024-07-31,21.92,21.0,23.3,34.49,33.11,35.95,11.46,11.05,12.0,8.14,7.52,8.79,,,,17.97,16.82,18.99,,,,,,
2024-08-01,21.98,21.0,23.37,34.4,33.06,36.0,11.47,11.0,12.0,8.13,7.44,8.75,,,,18.0,16.87,19.16,,,,,,
2024-08-02,22.04,21.02,23.43,34.31,33.0,35.86,11.48,11.0,12.0,8.12,7.45,8.75,,,,18.04,16.9,19.16,,,,,,
2024-08-03,22.1,21.09,23.5,34.22,32.89,35.64,11.49,11.01,12.0,8.12,7.48,8.75,,,,18.07,16.93,19.25,,,,,,
2024-08-04,22.16,21.13,23.56,34.11,32.78,35.48,11.5,11.04,12.0,8.11,7.49,8.74,,,,18.11,16.98,19.26,,,,,,
2024-08-05,22.23,21.17,23.62,34.0,32.68,35.39,11.52,11.08,12.0,8.1,7.51,8.71,,,,18.14,17.0,19.29,24.0,33.0,12.0,8.0,,18.0
2024-08-06,22.3,21.17,23.69,33.89,32.58,35.33,11.54,11.11,12.0,8.09,7.54,8.68,,,,18.18,17.0,19.33,,,,,,
2024-08-07,22.38,21.17,23.77,33.76,32.43,35.04,11.56,11.16,12.0,8.08,7.55,8.65,,,,18.21,17.02,19.33,20.0,33.0,11.0,8.0,,21.0
2024-08-08,22.45,21.18,23.86,33.64,32.28,34.89,11.59,11.22,12.0,8.08,7.55,8.62,,,,18.25,17.04,19.38,,,,,,
2024-08-09,22.53,21.19,23.91,33.51,32.16,34.73,11.62,11.26,12.0,8.07,7.55,8.6,,,,18.29,17.08,19.44,,,,,,
2024-08-10,22.6,21.24,24.03,33.38,32.04,34.62,11.65,11.29,12.04,8.06,7.56,8.57,,,,18.32,17.12,19.5,,,,,,
2024-08-11,22.68,21.32,24.11,33.24,31.96,34.48,11.68,11.31,12.07,8.06,7.56,8.55,,,,18.36,17.16,19.54,,,,,,
2024-08-12,22.76,21.37,24.17,33.11,31.88,34.32,11.71,11.34,12.13,8.06,7.57,8.53,,,,18.4,17.17,19.59,,,,,,
2024-08-13,22.83,21.43,24.24,32.98,31.75,34.2,11.75,11.36,12.18,8.05,7.57,8.5,,,,18.43,17.19,19.62,,,,,,
2024-08-14,22.89,21.51,24.31,32.86,31.58,34.12,11.78,11.38,12.26,8.05,7.59,8.47,,,,18.46,17.2,19.64,,,,,,
2024-08-15,22.96,21.59,24.38,32.74,31.48,34.0,11.82,11.39,12.34,8.04,7.6,8.44,,,,18.49,17.22,19.63,,,,,,
2024-08-16,23.01,21.68,24.46,32.62,31.38,33.93,11.86,11.41,12.4,8.04,7.62,8.43,,,,18.51,17.32,19.55,,,,,,
