date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2020-01-25,,,,,,,,,,,,,,,,46.39,44.9,47.83,4.45,3.94,5.16,9.4,8.29,10.22,34.87,31.41,39.2,2.07,1.67,2.47,49.0,29.0,10.0,4.0,2.0
2020-01-26,,,,,,,,,,,,,,,,46.38,44.89,47.81,4.45,3.95,5.16,9.39,8.29,10.21,34.85,31.39,39.03,2.08,1.67,2.47,,,,,
2020-01-27,,,,,,,,,,,,,,,,46.38,44.88,47.79,4.45,3.96,5.16,9.38,8.28,10.2,34.82,31.37,38.86,2.09,1.69,2.47,,,,,
2020-01-28,,,,,,,,,,,,,,,,46.37,44.87,47.76,4.45,3.97,5.16,9.37,8.29,10.21,34.79,31.36,38.82,2.09,1.71,2.48,,,,,
2020-01-29,,,,,,,,,,,,,,,,46.37,44.86,47.74,4.46,3.97,5.16,9.36,8.3,10.21,34.77,31.35,38.82,2.1,1.73,2.5,,,,,
2020-01-30,,,,,,,,,,,,,,,,46.36,44.85,47.73,4.46,3.97,5.16,9.35,8.29,10.21,34.74,31.36,38.72,2.11,1.75,2.52,46.5,40.0,10.0,3.0,3.0
2020-01-31,,,,,,,,,,,,,,,,46.35,44.85,47.72,4.46,3.97,5.16,9.35,8.31,10.22,34.72,31.35,38.65,2.12,1.77,2.52,,,,,
2020-02-01,,,,,,,,,,,,,,,,46.34,44.9,47.7,4.46,3.96,5.16,9.36,8.33,10.22,34.7,31.34,38.59,2.12,1.79,2.53,48.0,30.0,9.5,5.0,1.5
2020-02-02,,,,,,,,,,,,,,,,46.32,44.92,47.69,4.46,3.95,5.15,9.36,8.36,10.24,34.69,31.3,38.52,2.13,1.79,2.53,,,,,
2020-02-03,,,,,,,,,,,,,,,,46.31,44.87,47.66,4.46,3.93,5.12,9.37,8.39,10.25,34.68,31.28,38.44,2.13,1.8,2.54,,,,,
2020-02-04,,,,,,,,,,,,,,,,46.29,44.82,47.61,4.45,3.91,5.06,9.38,8.43,10.26,34.67,31.29,38.36,2.14,1.8,2.54,,,,,
2020-02-05,,,,,,,,,,,,,,,,46.27,44.88,47.57,4.45,3.89,5.06,9.39,8.45,10.26,34.66,31.37,38.13,2.14,1.81,2.54,42.0,40.0,,,
2020-02-06,,,,,,,,,,,,,,,,46.25,44.8,47.55,4.45,3.9,5.06,9.41,8.47,10.27,34.66,31.46,38.18,2.14,1.81,2.54,,,,,
2020-02-07,,,,,,,,,,,,,,,,46.24,44.78,47.54,4.44,3.89,5.05,9.42,8.49,10.27,34.65,31.46,38.14,2.14,1.81,2.53,42.0,46.0,,,
2020-02-08,,,,,,,,,,,,,,,,46.22,44.76,47.52,4.44,3.87,5.07,9.44,8.49,10.27,34.65,31.55,38.08,2.14,1.81,2.54,,,,,
2020-02-09,,,,,,,,,,,,,,,,46.21,44.76,47.54,4.44,3.85,5.08,9.45,8.52,10.27,34.65,31.55,38.05,2.14,1.81,2.54,48.0,28.0,10.0,6.0,2.0
2020-02-10,,,,,,,,,,,,,,,,46.2,44.81,47.51,4.43,3.82,5.08,9.46,8.56,10.26,34.64,31.55,38.07,2.14,1.8,2.55,,,,,
2020-02-11,,,,,,,,,,,,,,,,46.19,44.86,47.51,4.43,3.81,5.08,9.48,8.59,10.26,34.64,31.56,38.08,2.14,1.77,2.56,,,,,
2020-02-12,,,,,,,,,,,,,,,,46.18,44.86,47.5,4.42,3.79,5.08,9.49,8.61,10.26,34.63,31.61,38.08,2.14,1.77,2.54,,,,,
2020-02-13,,,,,,,,,,,,,,,,46.17,44.82,47.54,4.41,3.78,5.09,9.5,8.64,10.27,34.63,31.63,37.98,2.14,1.77,2.55,47.0,32.0,7.0,4.0,2.0
2020-02-14,,,,,,,,,,,,,,,,46.17,44.83,47.56,4.41,3.78,5.1,9.51,8.68,10.29,34.62,31.6,38.02,2.14,1.77,2.56,,,,,
2020-02-15,,,,,,,,,,,,,,,,46.17,44.74,47.58,4.4,3.77,5.1,9.52,8.7,10.28,34.61,31.56,38.06,2.14,1.77,2.57,,,,,
2020-02-16,,,,,,,,,,,,,,,,46.17,44.74,47.65,4.4,3.76,5.09,9.53,8.7,10.28,34.59,31.56,38.08,2.14,1.77,2.55,,,,,
2020-02-17,,,,,,,,,,,,,,,,46.17,44.74,47.67,4.39,3.73,5.1,9.53,8.72,10.28,34.57,31.57,38.12,2.14,1.77,2.56,,,,,
2020-02-18,,,,,,,,,,,,,,,,46.17,44.74,47.71,4.39,3.72,5.1,9.53,8.74,10.27,34.55,31.51,38.09,2.14,1.77,2.57,,,,,
2020-02-19,,,,,,,,,,,,,,,,46.18,44.71,47.75,4.38,3.71,5.08,9.54,8.75,10.25,34.53,31.48,37.93,2.14,1.75,2.58,47.0,31.0,9.0,4.0,3.0
2020-02-20,,,,,,,,,,,,,,,,46.19,44.69,47.77,4.37,3.7,5.06,9.53,8.75,10.23,34.49,31.53,37.76,2.14,1.74,2.59,,,,,
2020-02-21,,,,,,,,,,,,,,,,46.21,44.66,47.8,4.36,3.67,5.07,9.53,8.75,10.24,34.45,31.55,37.61,2.14,1.72,2.6,,,,,
2020-02-22,,,,,,,,,,,,,,,,46.24,44.64,47.83,4.35,3.64,5.06,9.52,8.75,10.24,34.41,31.49,37.63,2.13,1.72,2.61,,,,,
2020-02-23,,,,,,,,,,,,,,,,46.27,44.63,47.9,4.34,3.61,5.06,9.51,8.74,10.23,34.35,31.38,37.65,2.13,1.71,2.6,,,,,
2020-02-24,,,,,,,,,,,,,,,,46.31,44.66,48.02,4.32,3.56,5.07,9.49,8.72,10.19,34.28,31.25,37.64,2.13,1.7,2.59,,,,,
2020-02-25,,,,,,,,,,,,,,,,46.37,44.7,48.13,4.3,3.51,5.09,9.47,8.55,10.18,34.19,31.12,37.62,2.12,1.67,2.58,,,,,
2020-02-26,,,,,,,,,,,,,,,,46.44,44.76,48.28,4.28,3.49,5.08,9.44,8.55,10.17,34.09,31.02,37.57,2.11,1.64,2.58,,,,,
2020-02-27,,,,,,,,,,,,,,,,46.53,44.81,48.43,4.26,3.48,5.07,9.4,8.54,10.15,33.97,30.81,37.49,2.1,1.6,2.58,,,,,
2020-02-28,,,,,,,,,,,,,,,,46.64,44.88,48.56,4.24,3.47,5.06,9.36,8.47,10.13,33.83,30.68,37.35,2.09,1.54,2.59,,,,,
2020-02-29,,,,,,,,,,,,,,,,46.76,44.97,48.89,4.21,3.47,5.05,9.31,8.39,10.09,33.67,30.54,37.2,2.08,1.52,2.58,,,,,
2020-03-01,,,,,,,,,,,,,,,,46.9,45.03,49.13,4.19,3.46,5.04,9.26,8.36,10.05,33.5,30.39,37.03,2.06,1.46,2.58,,,,,
2020-03-02,,,,,,,,,,,,,,,,47.06,45.14,49.26,4.16,3.44,5.03,9.21,8.23,10.01,33.31,30.21,36.8,2.04,1.43,2.58,,,,,
2020-03-03,,,,,,,,,,,,,,,,47.23,45.24,49.48,4.13,3.41,4.96,9.15,8.15,9.99,33.12,29.98,36.56,2.02,1.4,2.57,,,,,
2020-03-04,,,,,,,,,,,,,,,,47.4,45.39,49.66,4.11,3.39,4.93,9.09,8.12,9.96,32.93,29.78,36.46,2.0,1.36,2.61,45.0,28.0,11.0,6.0,3.0
2020-03-05,,,,,,,,,,,,,,,,47.58,45.52,49.82,4.09,3.38,4.92,9.02,8.01,9.91,32.75,29.74,36.4,1.98,1.33,2.61,,,,,
2020-03-06,,,,,,,,,,,,,,,,47.77,45.64,49.96,4.07,3.37,4.92,8.96,7.98,9.84,32.58,29.7,36.34,1.96,1.31,2.59,40.0,48.0,,,
2020-03-07,,,,,,,,,,,,,,,,47.94,45.8,50.07,4.05,3.36,4.89,8.9,7.95,9.8,32.43,29.59,36.28,1.93,1.29,2.59,50.0,29.0,11.0,2.0,1.0
2020-03-08,,,,,,,,,,,,,,,,48.11,45.92,50.08,4.03,3.37,4.87,8.84,7.87,9.77,32.3,29.5,36.23,1.91,1.26,2.57,,,,,
2020-03-09,,,,,,,,,,,,,,,,48.26,45.96,50.29,4.02,3.35,4.86,8.79,7.76,9.73,32.19,29.37,36.17,1.88,1.24,2.55,,,,,
2020-03-10,,,,,,,,,,,,,,,,48.41,46.08,50.5,4.01,3.36,4.84,8.73,7.72,9.69,32.11,29.24,36.05,1.85,1.21,2.52,,,,,
2020-03-11,,,,,,,,,,,,,,,,48.53,46.27,50.64,4.0,3.33,4.82,8.68,7.64,9.65,32.05,29.16,35.91,1.82,1.18,2.49,,,,,
2020-03-12,,,,,,,,,,,,,,,,48.65,46.46,50.8,4.0,3.31,4.79,8.63,7.6,9.61,32.01,29.14,35.61,1.79,1.17,2.47,,,,,
2020-03-13,,,,,,,,,,,,,,,,48.74,46.58,50.93,3.99,3.3,4.79,8.57,7.51,9.56,32.0,29.15,35.56,1.76,1.14,2.45,,,,,
2020-03-14,,,,,,,,,,,,,,,,48.82,46.67,51.04,3.98,3.3,4.77,8.52,7.45,9.53,32.0,29.2,35.37,1.73,1.11,2.41,52.0,30.0,9.0,4.0,
2020-03-15,,,,,,,,,,,,,,,,48.89,46.77,51.07,3.97,3.31,4.75,8.47,7.39,9.5,32.02,29.18,35.32,1.7,1.1,2.35,,,,,
2020-03-16,,,,,,,,,,,,,,,,48.94,46.89,51.09,3.96,3.31,4.71,8.42,7.38,9.46,32.05,29.3,35.42,1.66,1.08,2.29,,,,,
2020-03-17,,,,,,,,,,,,,,,,48.99,46.87,51.03,3.95,3.32,4.68,8.38,7.35,9.4,32.09,29.36,35.45,1.63,1.06,2.24,,,,,
2020-03-18,,,,,,,,,,,,,,,,49.02,46.85,51.04,3.94,3.31,4.68,8.33,7.35,9.37,32.12,29.48,35.4,1.6,1.04,2.16,,,,,
2020-03-19,,,,,,,,,,,,,,,,49.06,46.84,50.97,3.93,3.29,4.63,8.28,7.37,9.31,32.16,29.57,35.3,1.57,1.02,2.1,,,,,
2020-03-20,,,,,,,,,,,,,,,,49.08,46.92,50.9,3.92,3.3,4.6,8.24,7.33,9.25,32.2,29.64,35.26,1.54,1.01,2.07,,,,,
2020-03-21,,,,,,,,,,,,,,,,49.11,47.06,50.89,3.91,3.31,4.56,8.19,7.29,9.18,32.23,29.72,35.18,1.51,1.01,2.03,,,,,
2020-03-22,,,,,,,,,,,,,,,,49.13,47.16,50.89,3.9,3.31,4.53,8.15,7.27,9.12,32.26,29.81,35.06,1.48,1.0,2.0,,,,,
2020-03-23,,,,,,,,,,,,,,,,49.15,47.09,50.89,3.89,3.32,4.49,8.1,7.25,9.04,32.29,29.92,35.01,1.46,1.0,1.96,,,,,
2020-03-24,,,,,,,,,,,,,,,,49.17,47.11,50.84,3.88,3.33,4.45,8.06,7.23,8.99,32.31,30.04,35.03,1.43,1.0,1.91,,,,,
2020-03-25,,,,,,,,,,,,,,,,49.19,47.16,50.81,3.87,3.33,4.42,8.01,7.22,8.92,32.33,30.13,35.12,1.41,1.0,1.86,,,,,
2020-03-26,,,,,,,,,,,,,,,,49.21,47.28,50.82,3.86,3.33,4.4,7.97,7.22,8.84,32.34,30.21,35.2,1.38,1.0,1.81,,,,,
2020-03-27,,,,,,,,,,,,,,,,49.23,47.44,50.78,3.85,3.34,4.37,7.92,7.21,8.79,32.36,30.29,35.1,1.36,1.0,1.77,54.0,28.0,6.0,3.0,1.0
2020-03-28,,,,,,,,,,,,,,,,49.25,47.51,50.82,3.84,3.35,4.34,7.88,7.19,8.68,32.36,30.37,35.04,1.34,1.0,1.74,,,,,
2020-03-29,,,,,,,,,,,,,,,,49.28,47.55,50.91,3.83,3.38,4.31,7.84,7.13,8.57,32.37,30.46,35.0,1.33,1.0,1.71,,,,,
2020-03-30,,,,,,,,,,,,,,,,49.3,47.52,50.88,3.83,3.39,4.3,7.79,7.09,8.54,32.37,30.45,34.97,1.31,1.0,1.68,,,,,
2020-03-31,,,,,,,,,,,,,,,,49.32,47.57,50.86,3.82,3.41,4.29,7.75,7.07,8.47,32.37,30.51,34.83,1.3,1.01,1.65,,,,,
2020-04-01,,,,,,,,,,,,,,,,49.34,47.57,50.91,3.82,3.42,4.25,7.71,7.06,8.41,32.36,30.56,34.77,1.29,1.01,1.63,50.5,28.5,8.0,4.5,1.0
2020-04-02,,,,,,,,,,,,,,,,49.36,47.56,50.99,3.82,3.42,4.25,7.67,7.04,8.33,32.35,30.61,34.74,1.28,1.02,1.6,53.0,30.0,7.0,3.0,
2020-04-03,,,,,,,,,,,,,,,,49.38,47.55,51.0,3.82,3.43,4.24,7.62,7.03,8.27,32.35,30.63,34.72,1.28,1.03,1.61,,,,,
2020-04-04,,,,,,,,,,,,,,,,49.39,47.55,51.04,3.82,3.45,4.21,7.58,7.03,8.2,32.34,30.67,34.67,1.28,1.04,1.6,,,,,
2020-04-05,,,,,,,,,,,,,,,,49.4,47.59,51.03,3.82,3.43,4.2,7.54,7.02,8.13,32.33,30.71,34.64,1.28,1.03,1.62,,,,,
2020-04-06,,,,,,,,,,,,,,,,49.4,47.63,51.03,3.82,3.44,4.22,7.51,7.0,8.1,32.32,30.72,34.59,1.29,1.04,1.64,,,,,
2020-04-07,,,,,,,,,,,,,,,,49.39,47.67,51.03,3.82,3.48,4.23,7.47,6.95,8.07,32.32,30.72,34.53,1.29,1.04,1.65,,,,,
2020-04-08,,,,,,,,,,,,,,,,49.38,47.7,51.01,3.82,3.48,4.23,7.44,6.93,8.04,32.32,30.76,34.51,1.31,1.03,1.68,50.5,29.0,7.5,5.0,2.0
2020-04-09,,,,,,,,,,,,,,,,49.36,47.67,50.98,3.82,3.48,4.23,7.41,6.91,8.0,32.32,30.8,34.52,1.32,1.04,1.71,43.0,47.0,,,
2020-04-10,,,,,,,,,,,,,,,,49.33,47.64,50.95,3.83,3.48,4.22,7.39,6.91,7.96,32.33,30.81,34.48,1.34,1.04,1.74,,,,,
2020-04-11,,,,,,,,,,,,,,,,49.3,47.61,50.92,3.83,3.47,4.22,7.37,6.91,7.94,32.34,30.86,34.46,1.36,1.05,1.76,,,,,
2020-04-12,,,,,,,,,,,,,,,,49.26,47.57,50.91,3.83,3.47,4.2,7.35,6.9,7.9,32.36,30.9,34.46,1.38,1.06,1.79,,,,,
2020-04-13,,,,,,,,,,,,,,,,49.21,47.53,50.84,3.83,3.46,4.21,7.33,6.89,7.88,32.39,30.94,34.45,1.4,1.07,1.85,,,,,
2020-04-14,,,,,,,,,,,,,,,,49.16,47.49,50.77,3.83,3.46,4.22,7.31,6.89,7.86,32.41,30.97,34.47,1.42,1.08,1.88,,,,,
2020-04-15,,,,,,,,,,,,,,,,49.11,47.44,50.67,3.82,3.46,4.23,7.3,6.88,7.84,32.45,31.04,34.46,1.44,1.1,1.89,,,,,
2020-04-16,,,,,,,,,,,,,,,,49.05,47.39,50.61,3.82,3.46,4.24,7.29,6.88,7.81,32.49,31.11,34.45,1.46,1.12,1.91,49.0,35.0,7.0,3.0,1.0
2020-04-17,,,,,,,,,,,,,,,,48.99,47.34,50.55,3.82,3.45,4.22,7.27,6.88,7.78,32.53,31.19,34.46,1.49,1.14,1.93,52.0,31.0,8.0,3.0,
2020-04-18,,,,,,,,,,,,,,,,48.93,47.26,50.47,3.81,3.44,4.2,7.26,6.88,7.75,32.58,31.25,34.47,1.51,1.14,1.95,45.5,32.0,9.0,4.0,1.0
2020-04-19,,,,,,,,,,,,,,,,48.86,47.22,50.38,3.81,3.44,4.18,7.25,6.87,7.74,32.63,31.31,34.48,1.53,1.17,1.96,,,,,
2020-04-20,,,,,,,,,,,,,,,,48.79,47.16,50.27,3.81,3.43,4.16,7.24,6.86,7.72,32.7,31.38,34.51,1.55,1.18,1.98,,,,,
2020-04-21,,,,,,,,,,,,,,,,48.71,47.1,50.17,3.8,3.42,4.14,7.23,6.86,7.7,32.77,31.49,34.55,1.57,1.21,2.0,,,,,
2020-04-22,,,,,,,,,,,,,,,,48.62,47.01,50.07,3.8,3.41,4.14,7.22,6.86,7.69,32.85,31.56,34.6,1.59,1.23,2.04,50.0,33.0,7.0,3.0,
2020-04-23,,,,,,,,,,,,,,,,48.53,46.9,49.98,3.79,3.41,4.14,7.21,6.85,7.67,32.95,31.71,34.67,1.61,1.24,2.06,,,,,
2020-04-24,,,,,,,,,,,,,,,,48.43,46.8,49.89,3.79,3.4,4.12,7.2,6.85,7.65,33.05,31.86,34.73,1.63,1.25,2.06,,,,,
2020-04-25,,,,,,,,,,,,,,,,48.34,46.71,49.81,3.78,3.4,4.12,7.19,6.84,7.64,33.16,32.0,34.75,1.65,1.27,2.08,,,,,
2020-04-26,,,,,,,,,,,,,,,,48.23,46.64,49.76,3.78,3.4,4.12,7.19,6.83,7.63,33.27,32.15,34.81,1.67,1.31,2.1,50.0,33.0,7.0,4.0,
2020-04-27,,,,,,,,,,,,,,,,48.13,46.57,49.65,3.77,3.4,4.12,7.18,6.82,7.61,33.4,32.34,34.82,1.69,1.33,2.12,48.0,31.0,8.0,5.0,1.0
2020-04-28,,,,,,,,,,,,,,,,48.02,46.5,49.53,3.77,3.4,4.11,7.17,6.82,7.58,33.53,32.5,34.84,1.71,1.34,2.13,,,,,
2020-04-29,,,,,,,,,,,,,,,,47.9,46.42,49.4,3.76,3.41,4.09,7.16,6.82,7.55,33.67,32.69,34.92,1.73,1.36,2.14,,,,,
2020-04-30,,,,,,,,,,,,,,,,47.78,46.34,49.22,3.76,3.41,4.08,7.15,6.82,7.53,33.81,32.82,35.08,1.74,1.37,2.14,51.0,33.0,6.0,3.0,
2020-05-01,,,,,,,,,,,,,,,,47.66,46.26,49.03,3.76,3.41,4.06,7.15,6.81,7.5,33.96,32.96,35.24,1.76,1.38,2.14,,,,,
2020-05-02,,,,,,,,,,,,,,,,47.53,46.17,48.86,3.75,3.42,4.03,7.14,6.81,7.49,34.12,33.09,35.27,1.78,1.4,2.14,,,,,
2020-05-03,,,,,,,,,,,,,,,,47.41,46.1,48.7,3.75,3.42,4.02,7.14,6.82,7.48,34.28,33.25,35.49,1.79,1.43,2.14,,,,,
