date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),PC (poll),Reform (poll)
2024-07-18,17.44,16.74,18.32,35.96,32.49,38.88,6.17,6.0,6.43,5.52,5.13,5.84,15.84,13.66,18.35,16.48,16.17,16.83,17.0,31.0,6.0,6.0,19.5,16.5
2024-07-19,17.45,16.75,18.32,36.0,32.61,38.87,6.17,6.0,6.43,5.52,5.13,5.83,15.82,13.67,18.31,16.48,16.17,16.83,,,,,,
2024-07-20,17.45,16.75,18.32,36.04,32.67,38.87,6.17,6.0,6.42,5.51,5.13,5.82,15.8,13.69,18.27,16.49,16.18,16.83,,,,,,
2024-07-21,17.46,16.76,18.31,36.07,32.73,38.86,6.18,6.0,6.42,5.5,5.13,5.81,15.78,13.72,18.24,16.49,16.18,16.83,,,,,,
2024-07-22,17.46,16.77,18.31,36.1,32.79,38.86,6.18,6.0,6.41,5.5,5.12,5.8,15.77,13.72,18.2,16.49,16.18,16.83,,,,,,
2024-07-23,17.46,16.79,18.3,36.13,32.85,38.85,6.18,6.0,6.42,5.49,5.12,5.8,15.75,13.73,18.17,16.49,16.18,16.83,,,,,,
2024-07-24,17.47,16.8,18.28,36.16,32.9,38.85,6.18,6.0,6.42,5.48,5.12,5.79,15.74,13.74,18.14,16.5,16.19,16.83,,,,,,
2024-07-25,17.47,16.81,18.27,36.19,32.96,38.84,6.18,6.0,6.42,5.48,5.12,5.78,15.73,13.76,18.1,16.5,16.19,16.83,,,,,,
2024-07-26,17.47,16.82,18.26,36.22,33.01,38.84,6.19,6.0,6.42,5.47,5.12,5.77,15.71,13.77,18.06,16.5,16.2,16.83,,,,,,
2024-07-27,17.48,16.83,18.25,36.25,33.06,38.84,6.19,6.0,6.43,5.46,5.11,5.77,15.7,13.77,18.02,16.5,16.2,16.83,,,,,,
2024-07-28,17.48,16.84,18.25,36.28,33.11,38.83,6.19,6.0,6.43,5.46,5.11,5.76,15.69,13.77,17.98,16.5,16.2,16.83,,,,,,
2024-07-29,17.48,16.85,18.24,36.3,33.17,38.83,6.19,6.0,6.43,5.45,5.11,5.75,15.68,13.77,17.95,16.51,16.2,16.83,,,,,,
2024-07-30,17.49,16.85,18.24,36.32,33.23,38.82,6.19,6.0,6.43,5.45,5.11,5.75,15.67,13.78,17.91,16.51,16.21,16.82,19.0,38.0,6.0,6.0,13.0,16.0
2024-07-31,17.49,16.86,18.24,36.35,33.27,38.81,6.2,6.0,6.44,5.44,5.11,5.75,15.66,13.79,17.87,16.51,16.21,16.83,,,,,,
2024-08-01,17.49,16.88,18.24,36.37,33.31,38.78,6.2,6.0,6.44,5.44,5.1,5.75,15.65,13.8,17.84,16.52,16.22,16.83,,,,,,
2024-08-02,17.5,16.89,18.24,36.39,33.35,38.76,6.2,6.01,6.45,5.43,5.1,5.74,15.64,13.8,17.8,16.52,16.23,16.83,,,,,,
2024-08-03,17.5,16.89,18.23,36.4,33.39,38.75,6.21,6.01,6.46,5.43,5.1,5.72,15.62,13.81,17.77,16.53,16.23,16.82,,,,,,
2024-08-04,17.5,16.89,18.22,36.42,33.43,38.74,6.21,6.02,6.47,5.42,5.1,5.72,15.61,13.82,17.74,16.54,16.23,16.84,,,,,,
2024-08-05,17.51,16.89,18.21,36.43,33.47,38.72,6.22,6.02,6.48,5.42,5.1,5.71,15.6,13.82,17.7,16.55,16.24,16.87,,,,,,
2024-08-06,17.51,16.89,18.21,36.45,33.51,38.71,6.23,6.03,6.48,5.41,5.1,5.71,15.59,13.83,17.68,16.56,16.24,16.89,,,,,,
2024-08-07,17.51,16.89,18.21,36.46,33.55,38.69,6.23,6.03,6.49,5.41,5.09,5.7,15.57,13.84,17.64,16.57,16.26,16.92,,,,,,
2024-08-08,17.52,16.89,18.21,36.46,33.59,38.66,6.24,6.04,6.49,5.4,5.09,5.7,15.56,13.85,17.61,16.58,16.27,16.95,,,,,,
2024-08-09,17.52,16.9,18.2,36.47,33.63,38.64,6.25,6.05,6.51,5.39,5.09,5.69,15.54,13.85,17.57,16.6,16.28,16.99,,,,,,
2024-08-10,17.52,16.91,18.19,36.48,33.67,38.61,6.26,6.06,6.53,5.39,5.09,5.69,15.52,13.86,17.53,16.62,16.3,17.02,,,,,,
2024-08-11,17.53,16.92,18.19,36.48,33.71,38.57,6.27,6.08,6.54,5.38,5.09,5.68,15.51,13.86,17.49,16.63,16.3,17.06,,,,,,
2024-08-12,17.53,16.93,18.18,36.48,33.75,38.56,6.28,6.09,6.56,5.38,5.09,5.68,15.49,13.87,17.45,16.65,16.31,17.1,,,,,,
2024-08-13,17.53,16.93,18.18,36.49,33.8,38.56,6.29,6.09,6.57,5.37,5.09,5.67,15.47,13.87,17.41,16.68,16.32,17.16,17.0,38.0,7.0,5.0,15.0,16.0
2024-08-14,17.54,16.94,18.18,36.49,33.84,38.53,6.31,6.11,6.59,5.37,5.09,5.66,15.45,13.88,17.37,16.7,16.33,17.23,,,,,,
