date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-11-02,30.21,30.0,36.0,37.38,37.0,48.0,20.72,13.0,21.0,2.93,1.0,3.0,7.79,2.0,8.0,30.0,37.0,21.0,3.0,8.0
2019-11-03,30.33,30.0,36.0,37.6,37.0,48.0,20.57,13.0,21.0,2.89,1.0,3.0,7.67,2.0,8.0,,,,,
2019-11-04,30.47,30.0,36.0,37.86,37.0,48.0,20.38,13.0,21.0,2.84,1.0,3.0,7.53,2.0,8.0,,,,,
2019-11-05,30.63,30.0,36.0,38.15,37.0,48.0,20.17,13.0,21.0,2.79,1.0,3.0,7.37,2.0,8.0,,,,,
2019-11-06,30.8,30.0,36.0,38.46,37.0,48.0,19.94,13.0,21.0,2.73,1.0,3.0,7.2,2.0,8.0,,,,,
2019-11-07,30.98,30.0,36.0,38.79,37.0,48.0,19.7,13.0,21.0,2.67,1.0,3.0,7.02,2.0,8.0,,,,,
2019-11-08,31.16,30.0,36.0,39.13,37.0,48.0,19.45,13.0,21.0,2.61,1.0,3.0,6.84,2.0,8.0,,,,,
2019-11-09,31.34,30.0,36.0,39.46,37.0,48.0,19.21,13.0,21.0,2.55,1.0,3.0,6.66,2.0,8.0,,,,,
2019-11-10,31.52,30.0,36.0,39.79,37.0,48.0,18.97,13.0,21.0,2.49,1.0,3.0,6.48,2.0,8.0,,,,,
2019-11-11,31.7,30.0,36.0,40.11,37.0,48.0,18.73,13.0,21.0,2.43,1.0,3.0,6.3,2.0,8.0,,,,,
2019-11-12,31.87,30.0,36.0,40.43,37.0,48.0,18.51,13.0,21.0,2.38,1.0,3.0,6.13,2.0,8.0,,,,,
2019-11-13,32.04,30.0,36.0,40.73,37.0,48.0,18.29,13.0,21.0,2.32,1.0,3.0,5.96,2.0,8.0,,,,,
2019-11-14,32.19,30.0,36.0,41.02,37.0,48.0,18.07,13.0,21.0,2.27,1.0,3.0,5.81,2.0,8.0,,,,,
2019-11-15,32.35,30.0,36.0,41.31,37.0,48.0,17.87,13.0,21.0,2.22,1.0,3.0,5.65,2.0,8.0,,,,,
2019-11-16,32.5,30.0,36.0,41.58,37.0,48.0,17.67,13.0,21.0,2.17,1.0,3.0,5.5,2.0,8.0,,,,,
2019-11-17,32.64,30.0,36.0,41.85,37.0,48.0,17.47,13.0,21.0,2.12,1.0,3.0,5.36,2.0,8.0,,,,,
2019-11-18,32.79,30.0,36.0,42.11,37.0,48.0,17.28,13.0,21.0,2.07,1.0,3.0,5.21,2.0,8.0,,,,,
2019-11-19,32.93,30.0,36.0,42.37,37.0,48.0,17.09,13.0,21.0,2.02,1.0,3.0,5.07,2.0,8.0,,,,,
2019-11-20,33.07,30.0,36.0,42.63,37.0,48.0,16.91,13.0,21.0,1.98,1.0,3.0,4.93,2.0,8.0,,,,,
2019-11-21,33.21,30.0,36.0,42.89,37.0,48.0,16.72,13.0,21.0,1.93,1.0,3.0,4.79,2.0,8.0,,,,,
2019-11-22,33.36,30.0,36.0,43.15,37.0,48.0,16.53,13.0,21.0,1.88,1.0,3.0,4.64,2.0,8.0,,,,,
2019-11-23,33.5,30.0,36.0,43.42,37.0,48.0,16.33,13.0,21.0,1.83,1.0,3.0,4.5,2.0,8.0,,,,,
2019-11-24,33.65,30.0,36.0,43.69,37.0,48.0,16.13,13.0,21.0,1.78,1.0,3.0,4.35,2.0,8.0,,,,,
2019-11-25,33.81,30.0,36.0,43.98,37.0,48.0,15.93,13.0,21.0,1.73,1.0,3.0,4.19,2.0,8.0,,,,,
2019-11-26,33.96,30.0,36.0,44.27,37.0,48.0,15.71,13.0,21.0,1.68,1.0,3.0,4.04,2.0,8.0,,,,,
2019-11-27,34.13,30.0,36.0,44.57,37.0,48.0,15.49,13.0,21.0,1.62,1.0,3.0,3.87,2.0,8.0,,,,,
2019-11-28,34.3,30.0,36.0,44.89,37.0,48.0,15.27,13.0,21.0,1.57,1.0,3.0,3.7,2.0,8.0,,,,,
2019-11-29,34.48,30.0,36.0,45.21,37.0,48.0,15.03,13.0,21.0,1.51,1.0,3.0,3.52,2.0,8.0,,,,,
2019-11-30,34.66,30.0,36.0,45.54,37.0,48.0,14.79,13.0,21.0,1.45,1.0,3.0,3.34,2.0,8.0,,,,,
2019-12-01,34.84,30.0,36.0,45.87,37.0,48.0,14.55,13.0,21.0,1.39,1.0,3.0,3.16,2.0,8.0,,,,,
2019-12-02,35.02,30.0,36.0,46.21,37.0,48.0,14.3,13.0,21.0,1.33,1.0,3.0,2.98,2.0,8.0,,,,,
2019-12-03,35.2,30.0,36.0,46.54,37.0,48.0,14.06,13.0,21.0,1.27,1.0,3.0,2.8,2.0,8.0,,,,,
2019-12-04,35.37,30.0,36.0,46.85,37.0,48.0,13.83,13.0,21.0,1.21,1.0,3.0,2.63,2.0,8.0,,,,,
2019-12-05,35.53,30.0,36.0,47.14,37.0,48.0,13.62,13.0,21.0,1.16,1.0,3.0,2.47,2.0,8.0,,,,,
2019-12-06,35.67,30.0,36.0,47.4,37.0,48.0,13.43,13.0,21.0,1.11,1.0,3.0,2.33,2.0,8.0,,,,,
2019-12-07,35.79,30.0,36.0,47.62,37.0,48.0,13.28,13.0,21.0,1.07,1.0,3.0,2.21,2.0,8.0,36.0,48.0,13.0,1.0,2.0
2019-12-08,35.88,30.0,36.0,47.79,37.0,48.0,13.16,13.0,21.0,1.04,1.0,3.0,2.12,2.0,8.0,,,,,
