date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2010-07-27,,,,,,,,,,,,,,,,42.0,37.0,12.0,1.0,
2010-12-07,,,,,,,,,,,,,,,,44.0,38.0,11.0,1.0,
2010-12-22,44.0,44.0,44.0,38.0,38.0,38.0,11.0,11.0,11.0,1.0,1.0,1.0,,,,,,,,
2010-12-23,44.0,37.0,44.0,38.0,38.0,46.0,11.0,7.0,11.0,1.0,1.0,3.0,,,,,,,,
2010-12-24,43.97,37.0,44.0,38.03,38.0,46.0,10.99,7.0,11.0,1.01,1.0,3.0,,,,,,,,
2010-12-25,43.92,37.0,44.0,38.1,38.0,46.0,10.95,7.0,11.0,1.02,1.0,3.0,,,,,,,,
2010-12-26,43.81,37.0,44.0,38.22,38.0,46.0,10.89,7.0,11.0,1.05,1.0,3.0,,,,,,,,
2010-12-27,43.64,37.0,44.0,38.41,38.0,46.0,10.8,7.0,11.0,1.1,1.0,3.0,,,,,,,,
2010-12-28,43.41,37.0,44.0,38.67,38.0,46.0,10.66,7.0,11.0,1.17,1.0,3.0,,,,,,,,
2010-12-29,43.11,37.0,44.0,39.02,38.0,46.0,10.49,7.0,11.0,1.25,1.0,3.0,,,,,,,,
2010-12-30,42.74,37.0,44.0,39.44,38.0,46.0,10.28,7.0,11.0,1.36,1.0,3.0,,,,,,,,
2010-12-31,42.32,37.0,44.0,39.93,38.0,46.0,10.04,7.0,11.0,1.48,1.0,3.0,,,,,,,,
2011-01-01,41.84,37.0,44.0,40.47,38.0,46.0,9.76,7.0,11.0,1.62,1.0,3.0,,,,,,,,
2011-01-02,41.32,37.0,44.0,41.07,38.0,46.0,9.47,7.0,11.0,1.77,1.0,3.0,,,,,,,,
2011-01-03,40.78,37.0,44.0,41.69,38.0,46.0,9.16,7.0,11.0,1.92,1.0,3.0,,,,,,,,
2011-01-04,40.22,37.0,44.0,42.31,38.0,46.0,8.84,7.0,11.0,2.08,1.0,3.0,,,,,,,,
2011-01-05,39.68,37.0,44.0,42.93,38.0,46.0,8.53,7.0,11.0,2.23,1.0,3.0,,,,,,,,
2011-01-06,39.16,37.0,44.0,43.53,38.0,46.0,8.24,7.0,11.0,2.38,1.0,3.0,,,,,,,,
2011-01-07,38.68,37.0,44.0,44.07,38.0,46.0,7.96,7.0,11.0,2.52,1.0,3.0,,,,,,,,
2011-01-08,38.26,37.0,44.0,44.56,38.0,46.0,7.72,7.0,11.0,2.64,1.0,3.0,,,,,,,,
2011-01-09,37.89,37.0,44.0,44.98,38.0,46.0,7.51,7.0,11.0,2.75,1.0,3.0,,,,,,,,
2011-01-10,37.59,37.0,44.0,45.33,38.0,46.0,7.34,7.0,11.0,2.83,1.0,3.0,,,,,,,,
2011-01-11,37.36,37.0,44.0,45.59,38.0,46.0,7.2,7.0,11.0,2.9,1.0,3.0,,,,,,,,
2011-01-12,37.19,37.0,44.0,45.78,38.0,46.0,7.11,7.0,11.0,2.95,1.0,3.0,,,,,,,,
2011-01-13,37.08,37.0,44.0,45.9,38.0,46.0,7.05,7.0,11.0,2.98,1.0,3.0,,,,,,,,
2011-01-14,37.03,37.0,44.0,45.97,38.0,46.0,7.01,7.0,11.0,2.99,1.0,3.0,,,,,,,,
2011-01-15,37.0,37.0,44.0,46.0,38.0,46.0,7.0,7.0,11.0,3.0,1.0,3.0,,,,,,,,
2011-01-16,37.0,37.0,37.0,46.0,46.0,46.0,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,,
2011-01-31,,,,,,,,,,,,,,,,37.0,46.0,7.0,3.0,
2011-06-08,,,,,,,,,,,,,,,,32.0,49.0,9.0,2.0,
2011-09-27,,,,,,,,,,,,,,,,36.0,45.0,8.0,2.0,
2011-11-05,36.0,36.0,36.0,45.0,45.0,45.0,8.0,8.0,8.0,2.0,2.0,2.0,,,,,,,,
2011-11-06,41.0,41.0,41.0,42.0,42.0,42.0,9.0,9.0,9.0,1.0,1.0,1.0,,,,,,,,
2011-12-15,,,,,,,,,,,,,,,,41.0,42.0,9.0,1.0,
2012-01-19,41.0,41.0,41.0,42.0,42.0,42.0,9.0,9.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-01-20,41.08,41.0,45.0,41.88,36.0,42.0,8.96,7.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-01-21,41.97,41.0,45.0,40.55,36.0,42.0,8.52,7.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-01-22,44.03,41.0,45.0,37.45,36.0,42.0,7.48,7.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-01-23,44.92,41.0,45.0,36.12,36.0,42.0,7.04,7.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-01-24,45.0,45.0,45.0,36.0,36.0,36.0,7.0,7.0,7.0,1.0,1.0,1.0,,,,,,,,
2012-02-28,,,,,,,,,,,,,,,,45.0,36.0,7.0,1.0,
2012-06-12,,,,,,,,,,,,,,,,35.0,42.0,9.0,1.0,
2012-09-05,,,,,,,,,,,,,,,,30.0,49.0,10.0,2.0,
2012-12-03,,,,,,,,,,,,,,,,35.0,40.0,10.0,2.0,
2012-12-06,35.0,35.0,35.0,40.0,40.0,40.0,10.0,10.0,10.0,2.0,2.0,2.0,,,,,,,,
2012-12-07,35.0,31.0,35.0,40.0,40.0,48.0,10.0,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-08,34.99,31.0,35.0,40.02,40.0,48.0,10.0,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-09,34.96,31.0,35.0,40.07,40.0,48.0,10.01,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-10,34.92,31.0,35.0,40.16,40.0,48.0,10.02,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-11,34.86,31.0,35.0,40.28,40.0,48.0,10.04,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-12,34.78,31.0,35.0,40.45,40.0,48.0,10.06,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-13,34.68,31.0,35.0,40.65,40.0,48.0,10.08,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-14,34.56,31.0,35.0,40.88,40.0,48.0,10.11,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-15,34.43,31.0,35.0,41.14,40.0,48.0,10.14,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-16,34.29,31.0,35.0,41.41,40.0,48.0,10.18,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-17,34.15,31.0,35.0,41.7,40.0,48.0,10.21,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-18,34.0,31.0,35.0,42.0,40.0,48.0,10.25,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-19,33.85,31.0,35.0,42.31,40.0,48.0,10.29,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-20,33.69,31.0,35.0,42.61,40.0,48.0,10.33,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-21,33.54,31.0,35.0,42.92,40.0,48.0,10.37,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-22,33.39,31.0,35.0,43.23,40.0,48.0,10.4,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-23,33.23,31.0,35.0,43.54,40.0,48.0,10.44,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-24,33.08,31.0,35.0,43.85,40.0,48.0,10.48,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-25,32.92,31.0,35.0,44.15,40.0,48.0,10.52,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-26,32.77,31.0,35.0,44.46,40.0,48.0,10.56,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-27,32.61,31.0,35.0,44.77,40.0,48.0,10.6,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-28,32.46,31.0,35.0,45.08,40.0,48.0,10.63,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-29,32.31,31.0,35.0,45.39,40.0,48.0,10.67,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-30,32.15,31.0,35.0,45.69,40.0,48.0,10.71,10.0,11.0,2.0,2.0,2.0,,,,,,,,
2012-12-31,32.0,31.0,35.0,46.0,40.0,48.0,10.75,10.0,11.0,2.0,2.0,2.0,,,,,,,,
