date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2020-01-26,44.35,44.0,45.0,40.75,39.56,42.0,6.36,5.0,8.0,3.95,3.0,4.63,3.25,2.0,4.27,44.0,41.0,8.0,3.0,2.0
2020-01-27,44.35,44.0,45.0,40.73,39.55,42.0,6.35,5.0,8.0,3.96,3.0,4.64,3.26,2.0,4.28,,,,,
2020-01-28,44.34,44.0,45.0,40.72,39.54,42.0,6.35,5.0,8.0,3.97,3.0,4.64,3.28,2.0,4.29,,,,,
2020-01-29,44.34,44.0,45.0,40.71,39.53,42.0,6.34,5.0,8.0,3.97,3.0,4.65,3.29,2.0,4.3,,,,,
2020-01-30,44.34,44.0,45.0,40.7,39.52,42.0,6.34,5.0,8.0,3.98,3.0,4.65,3.3,2.0,4.31,,,,,
2020-01-31,44.34,44.0,45.0,40.69,39.52,42.0,6.34,5.0,8.0,3.99,3.0,4.66,3.31,2.0,4.31,,,,,
2020-02-01,44.34,44.0,45.0,40.68,39.51,42.0,6.33,5.0,8.0,3.99,3.0,4.66,3.32,2.0,4.32,,,,,
2020-02-02,44.34,44.0,45.0,40.68,39.5,42.0,6.33,5.0,8.0,4.0,3.0,4.66,3.33,2.0,4.32,45.0,42.0,5.0,4.0,3.0
2020-02-03,44.34,44.0,45.0,40.67,39.5,42.0,6.32,5.0,8.0,4.0,3.0,4.66,3.34,2.0,4.33,,,,,
2020-02-04,44.34,44.0,45.0,40.67,39.49,42.0,6.32,5.0,8.0,4.01,3.0,4.66,3.34,2.0,4.33,,,,,
2020-02-05,44.34,44.0,45.0,40.66,39.48,42.0,6.31,5.0,8.0,4.01,3.0,4.67,3.35,2.0,4.33,,,,,
2020-02-06,44.34,44.0,45.0,40.66,39.48,42.0,6.3,5.0,8.0,4.02,3.0,4.67,3.36,2.0,4.33,,,,,
2020-02-07,44.34,44.0,45.0,40.66,39.47,42.0,6.29,5.0,8.0,4.03,3.0,4.67,3.37,2.0,4.34,,,,,
