date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2010-07-27,,,,,,,,,,,,,,,,35.0,47.0,11.0,1.0,
2010-12-07,,,,,,,,,,,,,,,,32.0,49.0,8.0,2.0,
2010-12-22,32.0,32.0,32.0,49.0,49.0,49.0,8.0,8.0,8.0,2.0,2.0,2.0,,,,,,,,
2010-12-23,32.0,32.0,38.0,49.0,45.0,49.0,8.0,7.0,8.0,2.0,2.0,3.0,,,,,,,,
2010-12-24,32.02,32.0,38.0,48.99,45.0,49.0,8.0,7.0,8.0,2.0,2.0,3.0,,,,,,,,
2010-12-25,32.07,32.0,38.0,48.95,45.0,49.0,7.99,7.0,8.0,2.01,2.0,3.0,,,,,,,,
2010-12-26,32.16,32.0,38.0,48.89,45.0,49.0,7.97,7.0,8.0,2.03,2.0,3.0,,,,,,,,
2010-12-27,32.31,32.0,38.0,48.8,45.0,49.0,7.95,7.0,8.0,2.05,2.0,3.0,,,,,,,,
2010-12-28,32.5,32.0,38.0,48.66,45.0,49.0,7.92,7.0,8.0,2.08,2.0,3.0,,,,,,,,
2010-12-29,32.76,32.0,38.0,48.49,45.0,49.0,7.87,7.0,8.0,2.13,2.0,3.0,,,,,,,,
2010-12-30,33.08,32.0,38.0,48.28,45.0,49.0,7.82,7.0,8.0,2.18,2.0,3.0,,,,,,,,
2010-12-31,33.44,32.0,38.0,48.04,45.0,49.0,7.76,7.0,8.0,2.24,2.0,3.0,,,,,,,,
2011-01-01,33.85,32.0,38.0,47.76,45.0,49.0,7.69,7.0,8.0,2.31,2.0,3.0,,,,,,,,
2011-01-02,34.3,32.0,38.0,47.47,45.0,49.0,7.62,7.0,8.0,2.38,2.0,3.0,,,,,,,,
2011-01-03,34.76,32.0,38.0,47.16,45.0,49.0,7.54,7.0,8.0,2.46,2.0,3.0,,,,,,,,
2011-01-04,35.24,32.0,38.0,46.84,45.0,49.0,7.46,7.0,8.0,2.54,2.0,3.0,,,,,,,,
2011-01-05,35.7,32.0,38.0,46.53,45.0,49.0,7.38,7.0,8.0,2.62,2.0,3.0,,,,,,,,
2011-01-06,36.15,32.0,38.0,46.24,45.0,49.0,7.31,7.0,8.0,2.69,2.0,3.0,,,,,,,,
2011-01-07,36.56,32.0,38.0,45.96,45.0,49.0,7.24,7.0,8.0,2.76,2.0,3.0,,,,,,,,
2011-01-08,36.92,32.0,38.0,45.72,45.0,49.0,7.18,7.0,8.0,2.82,2.0,3.0,,,,,,,,
2011-01-09,37.24,32.0,38.0,45.51,45.0,49.0,7.13,7.0,8.0,2.87,2.0,3.0,,,,,,,,
2011-01-10,37.5,32.0,38.0,45.34,45.0,49.0,7.08,7.0,8.0,2.92,2.0,3.0,,,,,,,,
2011-01-11,37.69,32.0,38.0,45.2,45.0,49.0,7.05,7.0,8.0,2.95,2.0,3.0,,,,,,,,
2011-01-12,37.84,32.0,38.0,45.11,45.0,49.0,7.03,7.0,8.0,2.97,2.0,3.0,,,,,,,,
2011-01-13,37.93,32.0,38.0,45.05,45.0,49.0,7.01,7.0,8.0,2.99,2.0,3.0,,,,,,,,
2011-01-14,37.98,32.0,38.0,45.01,45.0,49.0,7.0,7.0,8.0,3.0,2.0,3.0,,,,,,,,
2011-01-15,38.0,32.0,38.0,45.0,45.0,49.0,7.0,7.0,8.0,3.0,2.0,3.0,,,,,,,,
2011-01-16,38.0,38.0,38.0,45.0,45.0,45.0,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,,
2011-01-31,,,,,,,,,,,,,,,,38.0,45.0,7.0,3.0,
2011-06-08,,,,,,,,,,,,,,,,31.0,55.0,6.0,2.0,
2011-09-27,,,,,,,,,,,,,,,,27.0,56.0,7.0,2.0,
2011-11-05,27.0,27.0,27.0,56.0,56.0,56.0,7.0,7.0,7.0,2.0,2.0,2.0,,,,,,,,
2011-11-06,32.0,32.0,32.0,52.0,52.0,52.0,8.0,8.0,8.0,2.0,2.0,2.0,,,,,,,,
2011-12-15,,,,,,,,,,,,,,,,32.0,52.0,8.0,2.0,
2012-01-19,32.0,32.0,32.0,52.0,52.0,52.0,8.0,8.0,8.0,2.0,2.0,2.0,,,,,,,,
2012-01-20,31.96,30.0,32.0,51.98,51.0,52.0,7.98,7.0,8.0,2.02,2.0,3.0,,,,,,,,
2012-01-21,31.52,30.0,32.0,51.76,51.0,52.0,7.76,7.0,8.0,2.24,2.0,3.0,,,,,,,,
2012-01-22,30.48,30.0,32.0,51.24,51.0,52.0,7.24,7.0,8.0,2.76,2.0,3.0,,,,,,,,
2012-01-23,30.04,30.0,32.0,51.02,51.0,52.0,7.02,7.0,8.0,2.98,2.0,3.0,,,,,,,,
2012-01-24,30.0,30.0,30.0,51.0,51.0,51.0,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,,
2012-02-28,,,,,,,,,,,,,,,,30.0,51.0,7.0,3.0,
2012-06-12,,,,,,,,,,,,,,,,24.0,58.0,5.0,3.0,
2012-09-05,,,,,,,,,,,,,,,,26.0,58.0,6.0,2.0,
2012-12-03,,,,,,,,,,,,,,,,28.0,57.0,5.0,1.0,
2012-12-06,28.0,28.0,28.0,57.0,57.0,57.0,5.0,5.0,5.0,1.0,1.0,1.0,,,,,,,,
2012-12-07,28.0,26.0,28.0,57.0,53.0,57.0,5.0,5.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-12-08,27.99,26.0,28.0,56.99,53.0,57.0,5.01,5.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-12-09,27.98,26.0,28.0,56.96,53.0,57.0,5.04,5.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-12-10,27.96,26.0,28.0,56.92,53.0,57.0,5.08,5.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-12-11,27.93,26.0,28.0,56.86,53.0,57.0,5.14,5.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-12-12,27.89,26.0,28.0,56.78,53.0,57.0,5.22,5.0,9.0,1.0,1.0,1.0,,,,,,,,
2012-12-13,27.84,26.0,28.0,56.68,53.0,57.0,5.32,5.0,9.0,1.0,1.0,1.0,,,,,,,,
