date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2020-01-26,59.34,58.14,61.0,20.7,20.28,21.0,11.61,9.0,13.0,5.4,4.56,6.0,2.0,2.0,2.0,58.0,21.0,13.0,6.0,2.0
2020-01-27,59.34,58.14,61.0,20.69,20.28,21.0,11.62,9.0,13.0,5.39,4.55,6.0,2.0,2.0,2.0,,,,,
2020-01-28,59.34,58.14,61.0,20.69,20.27,21.0,11.63,9.0,13.0,5.38,4.54,6.0,2.0,2.0,2.0,,,,,
2020-01-29,59.34,58.15,61.0,20.68,20.27,21.0,11.63,9.0,13.0,5.37,4.53,6.0,2.0,2.0,2.0,,,,,
2020-01-30,59.34,58.15,61.0,20.68,20.26,21.0,11.64,9.0,13.0,5.36,4.52,6.0,2.0,2.0,2.0,,,,,
2020-01-31,59.34,58.15,61.0,20.68,20.26,21.0,11.64,9.0,13.0,5.35,4.52,6.0,2.0,2.0,2.0,,,,,
2020-02-01,59.34,58.16,61.0,20.67,20.25,21.0,11.65,9.0,13.0,5.35,4.51,6.0,2.0,2.0,2.0,,,,,
2020-02-02,59.34,58.16,61.0,20.67,20.25,21.0,11.65,9.0,13.0,5.34,4.5,6.0,2.0,2.0,2.0,61.0,21.0,9.0,6.0,2.0
2020-02-03,59.35,58.16,61.0,20.67,20.25,21.0,11.65,9.0,13.0,5.34,4.5,6.0,2.0,2.0,2.0,,,,,
2020-02-04,59.35,58.16,61.0,20.67,20.25,21.0,11.65,9.0,13.0,5.33,4.49,6.0,2.0,2.0,2.0,,,,,
2020-02-05,59.35,58.17,61.0,20.66,20.24,21.0,11.64,9.0,13.0,5.33,4.48,6.0,2.0,2.0,2.0,,,,,
2020-02-06,59.36,58.17,61.0,20.66,20.24,21.0,11.64,9.0,13.0,5.32,4.48,6.0,2.0,2.0,2.0,,,,,
2020-02-07,59.37,58.17,61.0,20.66,20.24,21.0,11.64,9.0,13.0,5.31,4.47,6.0,2.0,2.0,2.0,,,,,
2020-02-08,59.37,58.18,61.0,20.65,20.23,21.0,11.63,9.0,13.0,5.31,4.46,6.0,2.0,2.0,2.0,,,,,
2020-02-09,59.38,58.18,61.0,20.65,20.23,21.0,11.62,9.0,13.0,5.3,4.45,6.0,2.0,2.0,2.0,,,,,
2020-02-10,59.39,58.18,61.0,20.65,20.22,21.0,11.62,9.0,13.0,5.29,4.44,6.0,2.0,2.0,2.0,59.0,20.0,13.0,4.0,2.0
2020-02-11,59.4,58.18,61.0,20.64,20.21,21.0,11.61,9.0,13.0,5.28,4.43,6.0,2.0,2.0,2.0,,,,,
2020-02-12,59.41,58.19,61.0,20.64,20.21,21.0,11.61,9.0,13.0,5.27,4.42,6.0,2.0,2.0,2.0,,,,,
2020-02-13,59.42,58.2,61.0,20.63,20.2,21.0,11.6,9.0,13.0,5.26,4.4,6.0,2.0,2.0,2.0,,,,,
