date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,35.81,33.04,40.07,37.35,35.2,39.87,10.6,9.87,10.95,6.64,6.0,7.65,5.95,4.93,6.8,1.0,1.0,1.0,1.97,1.0,2.69,40.0,35.0,10.0,6.0,7.0,1.0,1.0
2020-01-27,35.83,33.1,40.08,37.35,35.23,39.84,10.59,9.84,10.94,6.64,6.0,7.6,5.95,4.92,6.77,1.0,1.0,1.0,1.97,1.0,2.68,,,,,,,
2020-01-28,35.85,33.01,40.09,37.36,35.27,39.93,10.58,9.82,11.0,6.64,6.0,7.71,5.94,4.91,6.73,1.0,1.0,1.0,1.96,1.0,2.71,,,,,,,
2020-01-29,35.88,33.01,40.1,37.36,35.31,39.97,10.57,9.79,11.0,6.64,6.0,7.68,5.93,4.9,6.69,1.0,1.0,1.0,1.96,1.0,2.7,,,,,,,
2020-01-30,35.9,33.07,40.12,37.36,35.36,39.96,10.55,9.76,11.0,6.63,6.0,7.64,5.91,4.88,6.65,1.0,1.0,1.0,1.95,1.0,2.67,,,,,,,
2020-01-31,35.93,33.2,40.13,37.37,35.41,39.95,10.53,9.71,10.99,6.63,6.0,7.63,5.9,4.87,6.6,1.0,1.0,1.0,1.95,1.0,2.66,,,,,,,
2020-02-01,35.96,33.34,40.15,37.38,35.44,39.95,10.52,9.65,10.99,6.63,5.99,7.61,5.89,4.85,6.56,1.0,1.0,1.0,1.94,1.0,2.66,,,,,,,
2020-02-02,36.0,33.49,40.16,37.39,35.49,39.95,10.5,9.59,10.97,6.62,5.98,7.59,5.87,4.83,6.51,1.0,1.0,1.0,1.94,1.0,2.66,35.0,40.0,11.0,6.0,5.0,1.0,2.0
2020-02-03,36.03,33.59,40.18,37.4,35.53,39.94,10.48,9.52,10.96,6.61,5.97,7.57,5.86,4.82,6.5,1.0,1.0,1.0,1.93,1.0,2.63,,,,,,,
2020-02-04,36.07,33.63,40.21,37.42,35.58,40.0,10.45,9.35,10.94,6.6,5.96,7.57,5.84,4.78,6.5,1.0,1.0,1.0,1.92,1.0,2.6,,,,,,,
2020-02-05,36.1,33.71,40.23,37.44,35.62,40.0,10.43,9.29,10.91,6.59,5.94,7.52,5.83,4.76,6.5,1.0,1.0,1.0,1.92,1.0,2.57,,,,,,,
2020-02-06,36.14,33.8,40.24,37.46,35.67,40.0,10.4,9.24,10.88,6.58,5.92,7.46,5.81,4.74,6.5,1.0,1.0,1.0,1.91,1.0,2.54,,,,,,,
2020-02-07,36.18,33.87,40.25,37.48,35.71,40.0,10.37,9.19,10.85,6.57,5.89,7.43,5.79,4.72,6.5,1.0,1.0,1.0,1.9,1.0,2.51,,,,,,,
2020-02-08,36.23,33.96,40.27,37.51,35.76,40.0,10.34,9.14,10.82,6.55,5.86,7.39,5.77,4.71,6.49,1.0,1.0,1.0,1.89,1.0,2.5,,,,,,,
2020-02-09,36.27,34.0,40.27,37.54,35.81,39.99,10.3,9.1,10.81,6.53,5.83,7.37,5.75,4.69,6.49,1.0,1.0,1.0,1.88,1.0,2.48,,,,,,,
2020-02-10,36.32,34.05,40.29,37.58,35.86,39.99,10.27,9.05,10.8,6.52,5.79,7.34,5.73,4.67,6.49,1.0,1.0,1.0,1.87,1.0,2.48,32.0,37.0,11.0,8.0,6.0,1.0,3.0
2020-02-11,36.37,34.07,40.31,37.62,35.91,39.99,10.23,9.01,10.77,6.49,5.74,7.3,5.71,4.65,6.48,1.0,1.0,1.0,1.87,1.0,2.48,,,,,,,
2020-02-12,36.42,34.08,40.33,37.66,35.97,39.98,10.19,8.96,10.74,6.47,5.69,7.27,5.69,4.64,6.48,1.0,1.0,1.0,1.86,1.0,2.48,,,,,,,
2020-02-13,36.47,34.11,40.35,37.7,36.02,39.97,10.14,8.92,10.73,6.45,5.64,7.23,5.67,4.62,6.47,1.0,1.0,1.0,1.85,1.0,2.48,,,,,,,
2020-02-14,36.52,34.14,40.37,37.74,36.08,39.96,10.1,8.88,10.72,6.42,5.59,7.19,5.65,4.62,6.46,1.0,1.0,1.0,1.84,1.0,2.48,,,,,,,
2020-02-15,36.58,34.18,40.4,37.79,36.13,39.96,10.05,8.84,10.68,6.4,5.53,7.16,5.63,4.6,6.46,1.0,1.0,1.0,1.83,1.0,2.47,,,,,,,
2020-02-16,36.63,34.23,40.41,37.84,36.18,39.95,10.0,8.8,10.68,6.37,5.47,7.11,5.61,4.58,6.45,1.0,1.0,1.0,1.82,1.0,2.47,,,,,,,
2020-02-17,36.69,34.29,40.42,37.88,36.23,39.95,9.95,8.74,10.67,6.34,5.41,7.09,5.59,4.57,6.44,1.0,1.0,1.0,1.82,1.0,2.46,,,,,,,
2020-02-18,36.74,34.36,40.44,37.93,36.29,39.96,9.9,8.68,10.6,6.31,5.35,7.06,5.57,4.55,6.43,1.0,1.0,1.0,1.81,1.0,2.46,,,,,,,
2020-02-19,36.8,34.44,40.44,37.98,36.34,39.99,9.85,8.62,10.53,6.28,5.3,7.04,5.55,4.54,6.38,1.0,1.0,1.0,1.8,1.0,2.44,,,,,,,
2020-02-20,36.86,34.53,40.42,38.03,36.4,40.02,9.79,8.56,10.51,6.25,5.24,7.02,5.53,4.54,6.34,1.0,1.0,1.0,1.79,1.0,2.43,,,,,,,
