date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,69.73,65.58,75.66,14.29,12.98,15.0,6.31,5.0,7.0,3.29,1.98,4.0,2.38,1.25,4.0,0.33,0.0,0.93,2.01,1.18,2.93,68.0,15.0,7.0,4.0,2.0,1.0,2.0
2020-01-27,69.75,65.68,75.6,14.28,12.97,15.0,6.3,5.0,7.0,3.28,1.97,4.0,2.39,1.25,4.0,0.33,0.0,0.92,2.0,1.2,2.92,,,,,,,
2020-01-28,69.78,65.35,75.72,14.26,12.91,15.0,6.3,5.0,7.0,3.26,1.91,4.0,2.39,1.28,4.0,0.32,0.0,0.91,2.0,1.14,2.96,,,,,,,
2020-01-29,69.81,65.41,75.68,14.25,12.9,15.0,6.29,5.0,7.0,3.25,1.89,4.0,2.4,1.32,4.0,0.32,0.0,0.9,2.0,1.17,2.96,,,,,,,
2020-01-30,69.84,65.47,75.63,14.24,12.88,15.0,6.28,5.0,7.0,3.24,1.88,4.0,2.41,1.35,4.0,0.32,0.0,0.88,2.0,1.17,2.95,,,,,,,
2020-01-31,69.87,65.54,75.59,14.22,12.87,15.0,6.27,5.0,7.0,3.22,1.87,4.0,2.42,1.37,4.0,0.32,0.0,0.87,2.0,1.19,2.94,,,,,,,
2020-02-01,69.9,65.6,75.56,14.21,12.86,15.0,6.26,5.0,7.0,3.21,1.85,3.99,2.43,1.39,4.0,0.32,0.0,0.85,2.0,1.19,2.93,,,,,,,
2020-02-02,69.93,65.66,75.52,14.2,12.85,15.01,6.25,5.0,6.99,3.19,1.83,3.98,2.44,1.42,4.0,0.31,0.0,0.84,2.0,1.21,2.92,65.0,15.0,7.0,4.0,4.0,0.0,3.0
2020-02-03,69.96,65.7,75.47,14.18,12.85,15.01,6.24,5.01,6.99,3.17,1.82,3.97,2.44,1.42,3.99,0.31,0.0,0.82,2.0,1.21,2.92,,,,,,,
2020-02-04,69.99,65.16,75.53,14.17,12.83,15.01,6.23,5.01,6.99,3.15,1.79,3.98,2.45,1.32,4.0,0.31,0.0,0.81,2.0,1.2,2.97,,,,,,,
2020-02-05,70.02,65.23,75.49,14.16,12.83,15.02,6.22,5.02,6.99,3.13,1.77,3.97,2.46,1.33,4.0,0.31,0.0,0.8,2.0,1.22,2.96,,,,,,,
2020-02-06,70.05,65.31,75.45,14.15,12.84,15.03,6.21,5.02,6.99,3.11,1.75,3.96,2.47,1.33,4.0,0.31,0.0,0.78,2.0,1.24,2.95,,,,,,,
2020-02-07,70.09,65.41,75.4,14.14,12.83,15.03,6.2,5.03,6.98,3.09,1.73,3.96,2.48,1.35,3.99,0.31,0.0,0.77,2.0,1.26,2.93,,,,,,,
2020-02-08,70.12,65.52,75.33,14.13,12.84,15.04,6.19,5.03,6.97,3.07,1.72,3.94,2.49,1.35,3.99,0.31,0.0,0.76,2.0,1.27,2.91,,,,,,,
2020-02-09,70.15,65.64,75.26,14.12,12.85,15.05,6.18,5.04,6.96,3.05,1.7,3.92,2.5,1.36,3.98,0.31,0.0,0.74,2.0,1.28,2.88,,,,,,,
2020-02-10,70.18,65.76,75.19,14.11,12.87,15.07,6.17,5.05,6.95,3.02,1.69,3.9,2.51,1.38,3.97,0.31,0.0,0.73,2.0,1.29,2.87,76.0,13.0,5.0,2.0,1.0,0.0,1.0
2020-02-11,70.21,65.9,75.11,14.11,12.92,15.08,6.16,5.06,6.93,3.0,1.67,3.88,2.52,1.39,3.96,0.31,0.0,0.72,2.0,1.3,2.86,,,,,,,
2020-02-12,70.24,66.0,75.07,14.11,12.94,15.09,6.15,5.06,6.92,2.97,1.65,3.87,2.53,1.42,3.95,0.31,0.01,0.71,2.0,1.32,2.83,,,,,,,
