date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,50.71,49.84,51.56,29.38,28.5,30.35,5.95,5.32,6.52,4.34,3.51,5.24,4.65,4.0,5.0,1.0,1.0,1.0,3.65,3.32,3.98,51.0,29.0,6.0,4.0,5.0,1.0,3.0
2020-01-27,50.71,49.84,51.57,29.39,28.5,30.35,5.94,5.31,6.51,4.34,3.51,5.24,4.65,4.0,5.0,1.0,1.0,1.0,3.65,3.32,3.97,,,,,,,
2020-01-28,50.72,49.84,51.61,29.39,28.5,30.36,5.93,5.29,6.5,4.35,3.46,5.24,4.64,4.0,5.0,1.0,1.0,1.0,3.64,3.31,3.97,,,,,,,
2020-01-29,50.72,49.84,51.61,29.4,28.5,30.37,5.92,5.28,6.5,4.35,3.47,5.24,4.64,4.0,5.0,1.0,1.0,1.0,3.64,3.31,3.96,,,,,,,
2020-01-30,50.73,49.84,51.61,29.41,28.5,30.38,5.91,5.26,6.5,4.36,3.48,5.24,4.64,4.0,5.0,1.0,1.0,1.0,3.64,3.31,3.96,,,,,,,
2020-01-31,50.74,49.84,51.61,29.42,28.5,30.38,5.9,5.25,6.5,4.36,3.49,5.24,4.63,4.0,5.0,1.0,1.0,1.0,3.63,3.3,3.95,,,,,,,
2020-02-01,50.75,49.85,51.62,29.43,28.51,30.39,5.89,5.23,6.5,4.37,3.5,5.23,4.63,4.0,5.0,1.0,1.0,1.0,3.63,3.3,3.94,,,,,,,
2020-02-02,50.76,49.87,51.64,29.44,28.51,30.39,5.87,5.21,6.49,4.37,3.51,5.23,4.62,4.0,5.0,1.0,1.0,1.0,3.62,3.29,3.93,52.0,31.0,5.0,3.0,4.0,1.0,4.0
2020-02-03,50.77,49.89,51.65,29.45,28.55,30.4,5.86,5.2,6.47,4.37,3.52,5.23,4.62,3.99,5.0,1.0,1.0,1.0,3.62,3.29,3.92,,,,,,,
2020-02-04,50.79,49.92,51.66,29.46,28.59,30.41,5.84,5.18,6.44,4.38,3.54,5.22,4.61,3.99,4.99,1.0,1.0,1.0,3.61,3.28,3.91,,,,,,,
2020-02-05,50.8,49.96,51.67,29.48,28.6,30.42,5.83,5.16,6.41,4.38,3.56,5.19,4.6,3.98,4.99,1.0,1.0,1.0,3.6,3.28,3.9,,,,,,,
2020-02-06,50.82,50.02,51.7,29.49,28.62,30.43,5.81,5.14,6.38,4.38,3.57,5.17,4.59,3.98,4.99,1.0,1.0,1.0,3.6,3.27,3.89,,,,,,,
2020-02-07,50.85,50.05,51.7,29.51,28.66,30.44,5.79,5.12,6.35,4.38,3.57,5.17,4.59,3.97,4.98,1.0,1.0,1.0,3.59,3.26,3.87,,,,,,,
2020-02-08,50.87,50.07,51.75,29.52,28.7,30.45,5.77,5.11,6.31,4.38,3.58,5.17,4.58,3.97,4.98,1.0,1.0,1.0,3.58,3.26,3.86,,,,,,,
2020-02-09,50.9,50.1,51.79,29.54,28.73,30.46,5.75,5.09,6.29,4.38,3.59,5.17,4.57,3.96,4.98,1.0,1.0,1.0,3.57,3.24,3.83,,,,,,,
2020-02-10,50.93,50.14,51.84,29.55,28.75,30.46,5.73,5.07,6.28,4.38,3.6,5.16,4.56,3.95,4.98,1.0,1.0,1.0,3.56,3.24,3.82,49.0,28.0,7.0,6.0,5.0,,4.0
2020-02-11,50.96,50.2,51.89,29.57,28.76,30.47,5.71,5.05,6.26,4.38,3.61,5.13,4.55,3.94,4.97,1.0,1.0,1.0,3.55,3.23,3.82,,,,,,,
2020-02-12,51.0,50.26,51.95,29.59,28.77,30.47,5.69,5.03,6.25,4.38,3.62,5.11,4.54,3.93,4.96,1.0,1.0,1.0,3.53,3.21,3.8,,,,,,,
2020-02-13,51.03,50.3,52.0,29.61,28.78,30.49,5.66,5.01,6.23,4.38,3.62,5.1,4.53,3.93,4.95,1.0,1.0,1.0,3.52,3.2,3.78,,,,,,,
2020-02-14,51.07,50.34,52.05,29.62,28.81,30.51,5.64,4.98,6.21,4.38,3.62,5.09,4.52,3.92,4.95,1.0,1.0,1.0,3.51,3.19,3.76,,,,,,,
2020-02-15,51.11,50.39,52.08,29.64,28.84,30.52,5.62,4.95,6.19,4.37,3.63,5.08,4.51,3.92,4.94,1.0,1.0,1.0,3.49,3.17,3.76,,,,,,,
2020-02-16,51.15,50.42,52.1,29.66,28.88,30.53,5.59,4.92,6.17,4.37,3.64,5.07,4.5,3.93,4.94,1.0,1.0,1.0,3.47,3.15,3.75,,,,,,,
2020-02-17,51.19,50.44,52.18,29.68,28.92,30.53,5.57,4.89,6.16,4.37,3.66,5.07,4.49,3.92,4.93,1.0,1.0,1.0,3.46,3.12,3.74,,,,,,,
