date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Ukip,Ukip (low),Ukip (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,44.0,32.0,12.0,,3.0,,,2.0
2019-12-16,44.0,44.0,44.0,32.0,32.0,32.0,12.0,12.0,12.0,,,,3.0,3.0,3.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-17,44.0,44.0,49.0,32.0,29.0,32.0,12.0,10.0,12.0,,,,3.0,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-18,44.01,44.0,49.0,31.99,29.0,32.0,11.99,10.0,12.0,,,,3.0,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-19,44.05,44.0,49.0,31.97,29.0,32.0,11.98,10.0,12.0,,,,3.01,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-20,44.1,44.0,49.0,31.94,29.0,32.0,11.96,10.0,12.0,,,,3.02,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-21,44.18,44.0,49.0,31.89,29.0,32.0,11.93,10.0,12.0,,,,3.04,3.0,4.0,,,,,,,2.0,2.0,2.0,,,,,,,,
2019-12-22,44.28,44.0,48.99,31.83,29.01,32.6,11.89,10.0,12.0,,,,3.06,3.0,4.0,,,,,,,2.0,2.0,2.01,,,,,,,,
2019-12-23,44.41,44.0,49.0,31.76,29.0,33.0,11.83,10.0,12.0,,,,3.08,3.0,4.0,,,,,,,2.0,2.0,3.0,,,,,,,,
2019-12-24,44.56,44.0,48.99,31.67,29.0,32.76,11.76,9.95,12.0,,,,3.11,3.0,4.01,,,,,,,2.01,1.99,2.88,,,,,,,,
2019-12-25,44.73,44.01,48.96,31.58,29.02,32.32,11.67,9.83,11.98,,,,3.15,3.0,4.07,,,,,,,2.02,1.97,2.66,,,,,,,,
2019-12-26,44.92,44.03,48.91,31.48,29.04,32.08,11.55,9.75,11.96,,,,3.2,3.01,4.16,,,,,,,2.02,1.92,2.5,,,,,,,,
2019-12-27,45.14,44.06,48.86,31.38,29.08,32.06,11.42,9.68,11.91,,,,3.27,3.02,4.25,,,,,,,2.03,1.88,2.4,,,,,,,,
2019-12-28,45.35,44.1,48.8,31.28,29.11,32.09,11.27,9.61,11.86,,,,3.34,3.04,4.33,,,,,,,2.04,1.84,2.36,,,,,,,,
2019-12-29,45.57,44.15,48.74,31.18,29.15,32.07,11.12,9.57,11.79,,,,3.42,3.07,4.4,,,,,,,2.04,1.8,2.34,,,,,,,,
2019-12-30,45.78,44.21,48.69,31.09,29.18,32.08,10.97,9.55,11.71,,,,3.49,3.1,4.46,,,,,,,2.05,1.75,2.29,,,,,,,,
2019-12-31,45.97,44.28,48.73,31.0,29.21,32.08,10.83,9.5,11.62,,,,3.57,3.14,4.5,,,,,,,2.05,1.71,2.34,,,,,,,,
2020-01-01,46.14,44.35,48.69,30.93,29.24,32.06,10.7,9.49,11.51,,,,3.65,3.18,4.61,,,,,,,2.05,1.68,2.34,,,,,,,,
2020-01-02,46.3,44.44,48.66,30.86,29.27,32.05,10.58,9.46,11.4,,,,3.72,3.23,4.65,,,,,,,2.05,1.67,2.36,,,,,,,,
2020-01-03,46.45,44.54,48.63,30.79,29.29,32.02,10.47,9.41,11.27,,,,3.79,3.28,4.67,,,,,,,2.05,1.64,2.37,,,,,,,,
2020-01-04,46.58,44.62,48.63,30.73,29.31,31.98,10.37,9.32,11.14,,,,3.86,3.36,5.0,,,,,,,2.05,1.63,2.41,,,,,,,,
2020-01-05,46.69,44.79,48.6,30.66,29.33,31.93,10.28,9.32,11.01,,,,3.92,3.42,5.0,,,,,,,2.04,1.6,2.45,,,,,,,,
2020-01-06,46.8,44.84,48.57,30.61,29.35,31.82,10.19,9.3,10.92,,,,3.99,3.44,5.0,,,,,,,2.04,1.59,2.47,,,,,,,,
2020-01-07,46.89,44.93,48.54,30.56,29.37,31.76,10.12,9.25,10.86,,,,4.05,3.5,4.99,,,,,,,2.04,1.58,2.49,,,,,,,,
2020-01-08,46.97,45.04,48.5,30.51,29.39,31.74,10.04,9.18,10.75,,,,4.1,3.53,4.99,,,,,,,2.03,1.57,2.49,,,,,,,,
2020-01-09,47.04,45.14,48.48,30.47,29.39,31.73,9.98,9.16,10.63,,,,4.15,3.58,4.98,,,,,,,2.03,1.56,2.49,,,,,,,,
2020-01-10,47.1,45.25,48.45,30.43,29.41,31.7,9.91,9.1,10.52,,,,4.2,3.58,4.91,,,,,,,2.03,1.55,2.5,,,,,,,,
2020-01-11,47.16,45.37,48.43,30.4,29.42,31.67,9.85,8.94,10.48,,,,4.24,3.67,4.92,,,,,,,2.03,1.55,2.5,,,,,,,,
2020-01-12,47.2,45.49,48.45,30.37,29.41,31.65,9.8,8.84,10.42,,,,4.28,3.7,4.94,,,,,,,2.02,1.55,2.5,,,,,,,,
2020-01-13,47.24,45.59,48.48,30.35,29.35,31.6,9.75,8.78,10.38,,,,4.32,3.72,4.96,,,,,,,2.02,1.55,2.5,,,,,,,,
