date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),Reform (poll)
2019-12-12,57.29,55.21,59.92,21.8,20.71,22.87,12.68,10.58,14.07,5.15,4.56,5.87,1.69,1.36,2.0,53.0,24.0,15.0,4.0,1.0
2019-12-13,57.37,55.32,59.92,21.76,20.7,22.83,12.63,10.58,14.04,5.16,4.58,5.86,1.71,1.37,2.0,,,,,
2019-12-14,57.45,55.37,59.93,21.71,20.69,22.78,12.59,10.57,14.02,5.17,4.58,5.86,1.72,1.39,2.0,,,,,
2019-12-15,57.53,55.42,59.94,21.67,20.68,22.74,12.55,10.57,14.0,5.18,4.58,5.85,1.73,1.4,2.0,,,,,
2019-12-16,57.6,55.47,59.94,21.64,20.67,22.71,12.52,10.57,13.97,5.18,4.59,5.85,1.74,1.41,2.0,,,,,
2019-12-17,57.66,55.53,59.95,21.6,20.66,22.68,12.48,10.57,13.95,5.19,4.59,5.84,1.75,1.42,2.0,,,,,
2019-12-18,57.72,55.6,59.95,21.57,20.65,22.65,12.45,10.56,13.93,5.19,4.59,5.83,1.76,1.43,2.0,,,,,
2019-12-19,57.78,55.67,59.96,21.54,20.64,22.61,12.42,10.56,13.91,5.19,4.59,5.83,1.76,1.44,2.0,,,,,
2019-12-20,57.83,55.75,59.96,21.51,20.63,22.56,12.4,10.56,13.9,5.2,4.59,5.82,1.77,1.45,2.0,,,,,
2019-12-21,57.88,55.79,59.97,21.48,20.62,22.53,12.37,10.56,13.89,5.2,4.59,5.82,1.78,1.46,2.0,,,,,
2019-12-22,57.92,55.85,59.97,21.46,20.62,22.5,12.35,10.56,13.86,5.2,4.59,5.81,1.79,1.47,2.0,,,,,
2019-12-23,57.97,55.9,59.97,21.43,20.61,22.47,12.33,10.56,13.84,5.2,4.58,5.81,1.79,1.48,2.0,,,,,
2019-12-24,58.01,55.96,59.98,21.41,20.6,22.43,12.31,10.56,13.81,5.2,4.58,5.8,1.8,1.49,2.0,,,,,
2019-12-25,58.04,56.0,59.98,21.39,20.6,22.4,12.29,10.56,13.79,5.2,4.58,5.8,1.8,1.5,2.0,,,,,
2019-12-26,58.08,56.05,59.98,21.37,20.59,22.37,12.28,10.56,13.76,5.2,4.58,5.79,1.81,1.5,2.0,,,,,
2019-12-27,58.11,56.09,59.98,21.35,20.59,22.34,12.26,10.56,13.74,5.2,4.58,5.79,1.81,1.51,2.0,,,,,
2019-12-28,58.15,56.14,59.99,21.33,20.58,22.31,12.24,10.56,13.72,5.2,4.58,5.79,1.82,1.52,2.0,,,,,
2019-12-29,58.18,56.19,59.99,21.31,20.58,22.28,12.23,10.56,13.7,5.2,4.57,5.78,1.82,1.53,2.0,,,,,
2019-12-30,58.21,56.23,59.99,21.3,20.57,22.26,12.22,10.56,13.68,5.2,4.58,5.78,1.83,1.53,2.0,,,,,
2019-12-31,58.23,56.27,59.99,21.28,20.57,22.25,12.2,10.56,13.66,5.2,4.59,5.78,1.83,1.54,2.0,,,,,
2020-01-01,58.26,56.31,59.99,21.26,20.56,22.23,12.19,10.57,13.64,5.2,4.58,5.77,1.83,1.55,2.0,,,,,
2020-01-02,58.28,56.35,59.99,21.25,20.56,22.21,12.18,10.57,13.63,5.2,4.57,5.77,1.84,1.55,2.0,,,,,
2020-01-03,58.31,56.39,59.99,21.24,20.56,22.19,12.17,10.57,13.61,5.2,4.57,5.76,1.84,1.56,2.0,,,,,
2020-01-04,58.33,56.42,60.0,21.22,20.55,22.17,12.16,10.57,13.6,5.2,4.56,5.76,1.84,1.56,2.0,,,,,
2020-01-05,58.36,56.45,60.0,21.21,20.55,22.15,12.15,10.57,13.58,5.2,4.56,5.76,1.85,1.57,2.0,,,,,
2020-01-06,58.38,56.48,60.0,21.19,20.55,22.13,12.14,10.57,13.57,5.2,4.56,5.76,1.85,1.58,2.0,,,,,
2020-01-07,58.4,56.51,60.0,21.18,20.54,22.11,12.13,10.57,13.55,5.2,4.56,5.75,1.85,1.58,2.0,,,,,
2020-01-08,58.42,56.54,60.0,21.17,20.54,22.09,12.12,10.57,13.54,5.2,4.56,5.75,1.86,1.59,2.0,,,,,
2020-01-09,58.44,56.57,60.0,21.16,20.54,22.07,12.11,10.57,13.53,5.2,4.56,5.75,1.86,1.59,2.0,,,,,
2020-01-10,58.46,56.6,60.0,21.15,20.53,22.05,12.1,10.57,13.51,5.2,4.56,5.75,1.86,1.6,2.0,,,,,
2020-01-11,58.48,56.63,60.0,21.13,20.53,22.03,12.09,10.58,13.5,5.2,4.56,5.74,1.87,1.61,2.0,,,,,
2020-01-12,58.5,56.66,60.0,21.12,20.53,22.01,12.08,10.58,13.49,5.2,4.55,5.75,1.87,1.61,2.0,,,,,
2020-01-13,58.52,56.7,60.0,21.11,20.53,22.0,12.07,10.58,13.48,5.2,4.55,5.75,1.87,1.62,2.0,,,,,
2020-01-14,58.54,56.73,60.0,21.1,20.52,21.98,12.06,10.58,13.46,5.2,4.55,5.76,1.88,1.63,2.0,,,,,
2020-01-15,58.56,56.76,60.0,21.09,20.52,21.97,12.05,10.58,13.45,5.2,4.55,5.76,1.88,1.63,2.0,,,,,
2020-01-16,58.58,56.79,60.0,21.07,20.52,21.95,12.04,10.58,13.44,5.2,4.55,5.77,1.88,1.64,2.0,,,,,
2020-01-17,58.61,56.83,60.01,21.06,20.52,21.93,12.03,10.58,13.43,5.21,4.55,5.76,1.88,1.65,2.0,,,,,
2020-01-18,58.63,56.86,60.01,21.05,20.52,21.92,12.02,10.58,13.41,5.21,4.56,5.76,1.89,1.65,2.0,,,,,
2020-01-19,58.65,56.9,60.01,21.04,20.52,21.9,12.01,10.59,13.4,5.21,4.56,5.76,1.89,1.66,2.0,,,,,
2020-01-20,58.67,56.94,60.01,21.03,20.52,21.88,12.0,10.59,13.39,5.21,4.56,5.76,1.89,1.67,2.0,,,,,
2020-01-21,58.7,56.98,60.01,21.02,20.52,21.86,11.99,10.59,13.37,5.21,4.56,5.76,1.89,1.67,2.0,,,,,
2020-01-22,58.73,57.03,60.01,21.01,20.52,21.84,11.98,10.59,13.36,5.21,4.56,5.77,1.89,1.68,2.0,,,,,
2020-01-23,58.75,57.07,60.02,21.0,20.52,21.82,11.97,10.59,13.35,5.21,4.56,5.78,1.89,1.68,2.0,,,,,
2020-01-24,58.78,57.12,60.02,20.99,20.52,21.8,11.95,10.59,13.34,5.2,4.56,5.78,1.9,1.69,2.0,,,,,
2020-01-25,58.81,57.17,60.02,20.99,20.52,21.78,11.94,10.59,13.33,5.2,4.57,5.78,1.9,1.69,2.0,,,,,
2020-01-26,58.84,57.21,60.02,20.98,20.52,21.75,11.92,10.59,13.31,5.2,4.57,5.77,1.9,1.69,2.0,58.0,21.0,13.0,6.0,2.0
2020-01-27,58.87,57.25,60.03,20.97,20.52,21.73,11.91,10.59,13.3,5.2,4.57,5.77,1.9,1.7,2.0,,,,,
2020-01-28,58.9,57.35,60.03,20.96,20.53,21.7,11.9,10.6,13.29,5.2,4.57,5.74,1.89,1.7,2.0,,,,,
2020-01-29,58.94,57.4,60.03,20.95,20.53,21.68,11.88,10.6,13.28,5.19,4.58,5.72,1.89,1.7,2.0,,,,,
2020-01-30,58.97,57.47,60.04,20.95,20.54,21.65,11.86,10.6,13.21,5.19,4.58,5.73,1.89,1.7,2.0,,,,,
2020-01-31,59.0,57.53,60.04,20.94,20.56,21.63,11.85,10.6,13.18,5.19,4.58,5.74,1.89,1.7,2.0,,,,,
2020-02-01,59.04,57.6,60.05,20.94,20.57,21.62,11.83,10.6,13.13,5.18,4.57,5.73,1.89,1.7,2.0,,,,,
2020-02-02,59.08,57.66,60.06,20.94,20.57,21.62,11.81,10.6,13.08,5.18,4.55,5.72,1.89,1.69,2.0,61.0,21.0,9.0,6.0,2.0
2020-02-03,59.11,57.81,60.11,20.93,20.58,21.61,11.79,10.59,13.04,5.17,4.54,5.69,1.88,1.7,2.0,,,,,
2020-02-04,59.15,57.98,60.13,20.93,20.58,21.61,11.77,10.59,13.0,5.17,4.53,5.66,1.88,1.71,2.0,,,,,
2020-02-05,59.19,58.08,60.15,20.94,20.58,21.6,11.74,10.57,12.96,5.16,4.51,5.65,1.88,1.71,2.0,,,,,
2020-02-06,59.23,58.15,60.17,20.94,20.6,21.58,11.72,10.55,12.95,5.15,4.49,5.65,1.88,1.7,2.0,,,,,
2020-02-07,59.28,58.2,60.19,20.94,20.63,21.56,11.69,10.53,12.92,5.14,4.48,5.62,1.87,1.69,2.0,,,,,
2020-02-08,59.32,58.29,60.23,20.95,20.63,21.54,11.66,10.48,12.88,5.13,4.46,5.6,1.87,1.68,2.0,,,,,
2020-02-09,59.36,58.38,60.24,20.96,20.64,21.52,11.63,10.42,12.83,5.11,4.45,5.6,1.87,1.67,1.99,,,,,
2020-02-10,59.41,58.45,60.28,20.97,20.66,21.52,11.6,10.36,12.78,5.1,4.44,5.59,1.86,1.67,1.99,59.0,20.0,13.0,4.0,2.0
2020-02-11,59.46,58.53,60.35,20.98,20.67,21.51,11.57,10.3,12.73,5.08,4.43,5.58,1.86,1.66,1.98,,,,,
2020-02-12,59.51,58.6,60.38,20.99,20.69,21.55,11.53,10.25,12.67,5.06,4.41,5.56,1.85,1.66,1.98,,,,,
2020-02-13,59.56,58.69,60.4,21.01,20.72,21.58,11.5,10.2,12.61,5.04,4.39,5.52,1.85,1.65,1.98,,,,,
2020-02-14,59.61,58.78,60.43,21.03,20.73,21.61,11.46,10.17,12.58,5.02,4.38,5.5,1.84,1.65,1.97,,,,,
2020-02-15,59.66,58.85,60.46,21.04,20.74,21.62,11.43,10.13,12.5,5.0,4.33,5.47,1.84,1.64,1.98,,,,,
2020-02-16,59.71,58.91,60.54,21.06,20.75,21.64,11.39,10.1,12.45,4.97,4.3,5.45,1.83,1.63,1.97,,,,,
2020-02-17,59.76,58.95,60.57,21.08,20.77,21.67,11.35,10.08,12.39,4.95,4.29,5.43,1.82,1.63,1.97,,,,,
2020-02-18,59.81,58.98,60.63,21.1,20.79,21.69,11.32,10.06,12.34,4.92,4.27,5.4,1.82,1.62,1.98,,,,,
2020-02-19,59.86,59.02,60.71,21.13,20.81,21.72,11.28,10.05,12.31,4.9,4.26,5.37,1.81,1.61,1.98,,,,,
