date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (2019-24),Con (2019-24) (low),Con (2019-24) (high),Grn (2019-24),Grn (2019-24) (low),Grn (2019-24) (high),LDem (2019-24),LDem (2019-24) (low),LDem (2019-24) (high),Lab (2019-24),Lab (2019-24) (low),Lab (2019-24) (high),PC (2019-24),PC (2019-24) (low),PC (2019-24) (high),Reform (2019-24),Reform (2019-24) (low),Reform (2019-24) (high),SNP (2019-24),SNP (2019-24) (low),SNP (2019-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,,,,,,,,,,,,,,,,,,,,,,19.46,17.52,22.2,7.67,7.07,8.0,13.27,10.07,15.0,52.57,50.87,53.67,0.35,0.02,1.0,0.0,0.0,0.0,6.69,4.52,8.87,17.0,53.0,15.0,7.0,7.0,1.0,0.0
2020-01-27,,,,,,,,,,,,,,,,,,,,,,19.49,17.62,22.23,7.67,7.08,8.0,13.26,10.08,15.0,52.56,50.84,53.61,0.35,0.02,1.0,0.0,0.0,0.0,6.69,4.6,8.84,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,19.52,17.73,22.27,7.68,7.09,8.0,13.25,10.04,15.0,52.54,50.82,53.61,0.36,0.0,1.0,0.0,0.0,0.0,6.69,4.42,8.93,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,19.55,17.83,22.31,7.68,7.1,8.0,13.24,10.02,15.0,52.53,50.79,53.58,0.36,0.0,1.0,0.0,0.0,0.0,6.69,4.49,8.96,,,,,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,19.58,17.95,22.36,7.68,7.12,8.0,13.23,10.02,15.0,52.51,50.76,53.58,0.36,0.0,1.0,0.0,0.0,0.0,6.69,4.53,8.96,,,,,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,19.61,18.0,22.4,7.68,7.13,8.0,13.21,10.03,15.0,52.48,50.73,53.58,0.37,0.0,1.0,0.0,0.0,0.0,6.69,4.55,8.95,,,,,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,19.65,18.0,22.45,7.69,7.15,8.0,13.2,10.03,14.99,52.46,50.7,53.57,0.37,0.0,1.0,0.0,0.0,0.0,6.69,4.58,8.95,,,,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,19.69,18.0,22.5,7.69,7.17,8.01,13.18,10.03,14.99,52.43,50.66,53.55,0.37,0.01,1.0,0.0,0.0,0.01,6.69,4.61,8.94,22.0,51.0,10.0,8.0,9.0,0.0,0.0
2020-02-03,,,,,,,,,,,,,,,,,,,,,,19.74,18.0,22.55,7.69,7.19,8.01,13.16,10.03,14.98,52.4,50.62,53.54,0.38,0.01,1.0,0.0,0.0,0.01,6.7,4.63,8.93,,,,,,,
2020-02-04,,,,,,,,,,,,,,,,,,,,,,19.79,18.0,22.7,7.7,7.19,8.01,13.14,10.0,14.98,52.36,50.5,53.53,0.38,0.01,1.0,0.0,0.0,0.02,6.7,4.62,9.0,,,,,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,,19.84,18.0,22.77,7.7,7.21,8.02,13.11,10.0,14.98,52.32,50.45,53.5,0.39,0.02,1.0,0.01,0.0,0.03,6.71,4.69,9.0,,,,,,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,,19.9,18.01,22.83,7.71,7.22,8.03,13.09,10.0,14.96,52.28,50.39,53.5,0.39,0.03,1.0,0.01,0.0,0.03,6.71,4.75,9.0,,,,,,,
2020-02-07,,,,,,,,,,,,,,,,,,,,,,19.96,18.02,22.91,7.71,7.24,8.03,13.06,10.0,14.95,52.23,50.33,53.5,0.4,0.03,1.0,0.01,0.0,0.04,6.72,4.81,8.99,,,,,,,
2020-02-08,,,,,,,,,,,,,,,,,,,,,,20.02,18.04,22.98,7.72,7.25,8.04,13.02,10.01,14.93,52.18,50.26,53.49,0.41,0.04,1.0,0.01,0.0,0.06,6.73,4.87,8.99,,,,,,,
2020-02-09,,,,,,,,,,,,,,,,,,,,,,20.09,18.07,23.05,7.72,7.26,8.05,12.99,10.01,14.91,52.13,50.2,53.44,0.41,0.05,1.0,0.02,0.0,0.07,6.74,4.9,8.98,,,,,,,
2020-02-10,,,,,,,,,,,,,,,,,,,,,,20.17,18.12,23.12,7.73,7.27,8.05,12.96,10.02,14.89,52.08,50.13,53.32,0.42,0.06,1.0,0.02,0.0,0.08,6.75,4.94,8.96,19.0,54.0,15.0,8.0,4.0,0.0,0.0
2020-02-11,,,,,,,,,,,,,,,,,,,,,,20.25,18.18,23.2,7.73,7.28,8.06,12.92,10.03,14.86,52.02,50.05,53.22,0.42,0.07,1.0,0.02,0.0,0.09,6.76,4.99,8.95,,,,,,,
