date,Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (to 2024 election),SNP (to 2024 election) (low),SNP (to 2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (to 2024 election),PC (to 2024 election) (low),PC (to 2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,36.04,30.34,42.54,,,,37.41,33.19,42.98,,,,10.48,6.13,15.25,,,,6.6,2.05,11.71,,,,5.86,0.49,10.61,,,,1.0,-3.83,5.7,,,,1.93,-2.58,7.07,,,,40.0,35.0,10.0,6.0,7.0,1.0,1.0
2020-01-27,36.07,30.42,42.52,,,,37.43,33.22,42.94,,,,10.45,6.14,15.21,,,,6.59,2.05,11.62,,,,5.85,0.54,10.58,,,,1.0,-3.83,5.7,,,,1.92,-2.57,7.04,,,,,,,,,,
2020-01-28,36.1,30.5,42.49,,,,37.45,33.25,42.88,,,,10.43,6.15,15.19,,,,6.58,2.04,11.53,,,,5.84,0.59,10.54,,,,1.0,-3.83,5.7,,,,1.91,-2.55,7.0,,,,,,,,,,
2020-01-29,36.14,30.61,42.46,,,,37.47,33.27,42.79,,,,10.4,6.17,15.16,,,,6.57,2.04,11.42,,,,5.82,0.66,10.49,,,,1.0,-3.82,5.7,,,,1.91,-2.52,6.92,,,,,,,,,,
2020-01-30,36.18,30.74,42.41,,,,37.49,33.31,42.73,,,,10.37,6.2,15.14,,,,6.56,2.04,11.32,,,,5.8,0.72,10.45,,,,1.0,-3.83,5.69,,,,1.9,-2.45,6.8,,,,,,,,,,
2020-01-31,36.22,30.86,42.34,,,,37.52,33.37,42.72,,,,10.34,6.2,15.1,,,,6.54,2.05,11.21,,,,5.79,0.8,10.4,,,,1.0,-3.82,5.68,,,,1.89,-2.41,6.68,,,,,,,,,,
2020-02-01,36.26,31.01,42.29,,,,37.55,33.51,42.7,,,,10.31,6.19,15.05,,,,6.53,2.07,11.11,,,,5.77,0.89,10.35,,,,1.0,-3.78,5.66,,,,1.88,-2.38,6.55,,,,,,,,,,
2020-02-02,36.31,31.16,42.28,,,,37.58,33.68,42.68,,,,10.27,6.13,14.84,,,,6.51,2.14,11.06,,,,5.75,0.98,10.22,,,,1.0,-3.73,5.59,,,,1.88,-2.31,6.43,,,,35.0,40.0,11.0,6.0,5.0,1.0,2.0
2020-02-03,36.35,31.28,42.32,,,,37.61,33.79,42.63,,,,10.24,6.07,14.48,,,,6.49,2.16,10.95,,,,5.74,1.15,10.1,,,,1.0,-3.65,5.54,,,,1.87,-2.29,6.3,,,,,,,,,,
2020-02-04,36.4,31.43,42.34,,,,37.64,33.84,42.59,,,,10.2,6.01,14.3,,,,6.47,2.19,10.73,,,,5.72,1.23,9.97,,,,1.0,-3.58,5.45,,,,1.86,-2.33,6.11,,,,,,,,,,
