date,Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (to 2024 election),SNP (to 2024 election) (low),SNP (to 2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (to 2024 election),PC (to 2024 election) (low),PC (to 2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,69.36,65.0,73.75,,,,14.4,13.56,15.0,,,,6.4,5.56,7.0,,,,3.4,2.56,4.0,,,,2.39,1.28,4.0,,,,,,,,,,2.05,1.28,3.0,,,,68.0,15.0,7.0,4.0,2.0,1.0,2.0
2020-01-27,69.41,65.0,73.8,,,,14.39,13.55,15.0,,,,6.39,5.55,7.0,,,,3.39,2.55,4.0,,,,2.38,1.28,4.0,,,,,,,,,,2.04,1.28,3.0,,,,,,,,,,
2020-01-28,69.46,65.0,73.84,,,,14.38,13.54,15.0,,,,6.38,5.54,7.0,,,,3.38,2.54,4.0,,,,2.38,1.27,4.0,,,,,,,,,,2.03,1.27,3.0,,,,,,,,,,
2020-01-29,69.5,65.0,73.88,,,,14.37,13.53,15.0,,,,6.37,5.53,7.0,,,,3.37,2.53,4.0,,,,2.37,1.27,4.0,,,,,,,,,,2.03,1.27,3.0,,,,,,,,,,
2020-01-30,69.54,65.0,73.91,,,,14.36,13.52,15.0,,,,6.36,5.52,7.0,,,,3.36,2.52,4.0,,,,2.36,1.26,4.0,,,,,,,,,,2.02,1.26,3.0,,,,,,,,,,
2020-01-31,69.57,65.0,73.94,,,,14.35,13.52,15.0,,,,6.35,5.52,7.0,,,,3.35,2.52,4.0,,,,2.35,1.26,4.0,,,,,,,,,,2.02,1.26,3.0,,,,,,,,,,
2020-02-01,69.6,65.0,73.96,,,,14.35,13.51,15.0,,,,6.35,5.51,7.0,,,,3.35,2.51,4.0,,,,2.35,1.25,4.0,,,,,,,,,,2.01,1.25,3.0,,,,,,,,,,
2020-02-02,69.62,65.0,73.99,,,,14.34,13.5,15.0,,,,6.34,5.5,7.0,,,,3.34,2.5,4.0,,,,2.35,1.25,4.0,,,,,,,,,,2.01,1.25,3.0,,,,65.0,15.0,7.0,4.0,4.0,,3.0
2020-02-03,69.65,65.0,74.01,,,,14.34,13.5,15.0,,,,6.34,5.5,7.0,,,,3.34,2.5,4.0,,,,2.34,1.25,4.0,,,,,,,,,,2.01,1.25,3.0,,,,,,,,,,
2020-02-04,69.66,65.0,74.04,,,,14.33,13.49,15.0,,,,6.33,5.49,7.0,,,,3.33,2.49,4.0,,,,2.34,1.25,4.0,,,,,,,,,,2.0,1.25,3.0,,,,,,,,,,
