date,Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (to 2024 election),SNP (to 2024 election) (low),SNP (to 2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (to 2024 election),PC (to 2024 election) (low),PC (to 2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,47.65,47.3,48.0,,,,28.7,28.37,29.0,,,,11.01,10.22,11.55,,,,5.65,5.3,6.0,,,,4.7,4.28,5.0,,,,0.65,0.0,1.0,,,,1.3,1.0,1.63,,,,47.0,29.0,12.0,5.0,5.0,1.0,1.0
2020-01-27,47.65,47.3,48.0,,,,28.69,28.36,29.0,,,,11.0,10.23,11.54,,,,5.65,5.3,6.0,,,,4.69,4.28,5.0,,,,0.65,0.0,1.0,,,,1.31,1.0,1.64,,,,,,,,,,
2020-01-28,47.65,47.31,48.0,,,,28.69,28.36,29.0,,,,11.0,10.23,11.54,,,,5.65,5.31,6.0,,,,4.69,4.27,5.0,,,,0.66,0.0,1.0,,,,1.31,1.0,1.64,,,,,,,,,,
2020-01-29,47.66,47.32,48.0,,,,28.68,28.35,29.0,,,,11.0,10.24,11.53,,,,5.66,5.32,6.0,,,,4.68,4.27,5.0,,,,0.66,0.0,1.0,,,,1.32,1.0,1.65,,,,,,,,,,
2020-01-30,47.66,47.32,48.0,,,,28.68,28.35,29.0,,,,11.0,10.24,11.53,,,,5.66,5.32,6.0,,,,4.68,4.26,5.0,,,,0.66,0.0,1.0,,,,1.32,1.0,1.65,,,,,,,,,,
2020-01-31,47.66,47.32,48.0,,,,28.68,28.34,29.0,,,,11.0,10.24,11.52,,,,5.66,5.32,6.0,,,,4.68,4.26,5.0,,,,0.66,0.0,1.0,,,,1.32,1.0,1.66,,,,,,,,,,
2020-02-01,47.67,47.33,48.0,,,,28.67,28.34,29.0,,,,11.0,10.24,11.52,,,,5.67,5.33,6.0,,,,4.67,4.25,5.0,,,,0.66,0.0,1.0,,,,1.33,1.0,1.66,,,,,,,,,,
2020-02-02,47.67,47.33,48.0,,,,28.67,28.34,29.0,,,,10.99,10.25,11.51,,,,5.67,5.33,6.0,,,,4.67,4.25,5.0,,,,0.66,0.0,1.0,,,,1.33,1.0,1.66,,,,48.0,29.0,10.0,6.0,5.0,0.0,1.0
2020-02-03,47.67,47.34,48.0,,,,28.67,28.33,29.0,,,,10.99,10.25,11.51,,,,5.67,5.34,6.0,,,,4.67,4.25,5.0,,,,0.66,0.0,1.0,,,,1.33,1.0,1.67,,,,,,,,,,
2020-02-04,47.67,47.34,48.0,,,,28.67,28.33,29.0,,,,10.99,10.25,11.5,,,,5.67,5.34,6.0,,,,4.67,4.25,5.0,,,,0.66,0.0,1.0,,,,1.33,1.0,1.67,,,,,,,,,,
2020-02-05,47.68,47.34,48.0,,,,28.66,28.32,29.0,,,,10.98,10.25,11.5,,,,5.68,5.34,6.0,,,,4.66,4.24,5.0,,,,0.66,0.0,1.0,,,,1.34,1.0,1.68,,,,,,,,,,
2020-02-06,47.68,47.35,48.0,,,,28.66,28.32,29.0,,,,10.98,10.25,11.49,,,,5.68,5.35,6.0,,,,4.66,4.24,5.0,,,,0.66,0.0,1.0,,,,1.34,1.0,1.68,,,,,,,,,,
